id,section,title,body
3,,Use and Occupancy Classification,User note: Code change proposals to sections preceded by the designation [F] will be considered by the International Fire Code Development Committee during the 2016 (Group B) Code Development Cycle. See explanation on page iv.
301,Chapter 3 Use and Occupancy Classification,General,
301.1,Section 301 General,Scope,The provisions of this chapter shall control the classification of all buildings and structures as to use and occupancy.
302,Chapter 3 Use and Occupancy Classification,Classification,
302.1,Section 302 Classification,General,"Structures or portions of structures shall be classified with respect to occupancy in one or more of the groups listed in this section. A room or space that is intended to be occupied at different times for different purposes shall comply with all of the requirements that are applicable to each of the purposes for which the room or space will be occupied. Structures with multiple occupancies or uses shall comply with Section 508. Where a structure is proposed for a purpose that is not specifically provided for in this code, such structure shall be classified in the group that the occupancy most nearly resembles, according to the fire safety and relative hazard involved. Assembly (see Section 303): Groups A-1, A-2, A-3, A-4 and A-5. Business (see Section 304): Group B. Educational (see Section 305): Group E. Factory and Industrial (see Section 306): Groups F-1 and F-2. High Hazard (see Section 307): Groups H-1, H-2, H-3, H-4 and H-5. Institutional (see Section 308): Groups I-1, I-2, I-3 and I-4. Mercantile (see Section 309): Group M. Residential (see Section 310): Groups R-1, R-2, R-3 and R-4. Storage (see Section 311): Groups S-1 and S-2. Utility and Miscellaneous (see Section 312): Group U."
303,Chapter 3 Use and Occupancy Classification,Assembly Group A,
303.1,Section 303 Assembly Group A,Assembly Group A,"Assembly Group A occupancy includes, among others, the use of a building or structure, or a portion thereof, for the gathering of persons for purposes such as civic, social or religious functions; recreation, food or drink consumption or awaiting transportation."
303.1.1,Section 303 Assembly Group A,Small Buildings and Tenant Spaces,A building or tenant space used for assembly purposes with an occupant load of less than 50 persons shall be classified as a Group B occupancy.
303.1.2,Section 303 Assembly Group A,Small Assembly Spaces,The following rooms and spaces shall not be classified as Assembly occupancies: A room or space used for assembly purposes with an occupant load of less than 50 persons and accessory to another occupancy shall be classified as a Group B occupancy or as part of that occupancy. A room or space used for assembly purposes that is less than 750 square feet (70 m2) in area and accessory to another occupancy shall be classified as a Group B occupancy or as part of that occupancy.
303.1.3,Section 303 Assembly Group A,Associated With Group E Occupancies,A room or space used for assembly purposes that is associated with a Group E occupancy is not considered a separate occupancy.
