id,section,title,body
33,,Safeguards During Construction,User note: Code change proposals to sections preceded by the designation [F] will be considered by the International Fire Code Development Committee during the 2016 (Group B) Code Development Cycle. See explanation on page iv.
3301,Chapter 33 Safeguards During Construction,General,
3301.1,Section 3301 General,Scope,The provisions of this chapter shall govern safety during construction and the protection of adjacent public and private properties.
3301.2,Section 3301 General,Storage and Placement,"Construction equipment and materials shall be stored and placed so as not to endanger the public, the workers or adjoining property for the duration of the construction project."
3302,Chapter 33 Safeguards During Construction,Construction Safeguards,
3302.1,Section 3302 Construction Safeguards,"Alterations, Repairs and Additions","Required exits, existing structural elements, fire protection devices and sanitary safeguards shall be maintained at all times during alterations, repairs or additions to any building or structure. Exceptions: Where such required elements or devices are being altered or repaired, adequate substitute provisions shall be made. Maintenance of such elements and devices is not required when the existing building is not occupied."
3302.2,Section 3302 Construction Safeguards,Manner of Removal,"Waste materials shall be removed in a manner that prevents injury or damage to persons, adjoining properties and public rights-of-way."
3302.3,Section 3302 Construction Safeguards,Fire Safety During Construction,Fire safety during construction shall comply with the applicable requirements of this code and the applicable provisions of Chapter 33 of the International Fire Code.
3303,Chapter 33 Safeguards During Construction,Demolition,
3303.1,Section 3303 Demolition,Construction Documents,"Construction documents and a schedule for demolition shall be submitted where required by the building official. Where such information is required, no work shall be done until such construction documents or schedule, or both, are approved."
3303.2,Section 3303 Demolition,Pedestrian Protection,The work of demolishing any building shall not be commenced until pedestrian protection is in place as required by this chapter.
3303.3,Section 3303 Demolition,Means of Egress,A horizontal exit shall not be destroyed unless and until a substitute means of egress has been provided and approved.
3303.4,Section 3303 Demolition,Vacant Lot,"Where a structure has been demolished or removed, the vacant lot shall be filled and maintained to the existing grade or in accordance with the ordinances of the jurisdiction having authority."
3303.5,Section 3303 Demolition,Water Accumulation,Provision shall be made to prevent the accumulation of water or damage to any foundations on the premises or the adjoining property.
3303.6,Section 3303 Demolition,Utility Connections,Service utility connections shall be discontinued and capped in accordance with the approved rules and the requirements of the applicable governing authority.
3303.7,Section 3303 Demolition,Fire Safety During Demolition,Fire safety during demolition shall comply with the applicable requirements of this code and the applicable provisions of Chapter 33 of the International Fire Code.
3304,Chapter 33 Safeguards During Construction,Site Work,
3304.1,Section 3304 Site Work,Excavation and Fill,"Excavation and fill for buildings and structures shall be constructed or protected so as not to endanger life or property. Stumps and roots shall be removed from the soil to a depth of not less than 12 inches (305 mm) below the surface of the ground in the area to be occupied by the building. Wood forms that have been used in placing concrete, if within the ground or between foundation sills and the ground, shall be removed before a building is occupied or used for any purpose. Before completion, loose or casual wood shall be removed from direct contact with the ground under the building."
3304.1.1,Section 3304 Site Work,Slope Limits,Slopes for permanent fill shall be not steeper than one unit vertical in two units horizontal (50-percent slope). Cut slopes for permanent excavations shall be not steeper than one unit vertical in two units horizontal (50-percent slope). Deviation from the foregoing limitations for cut slopes shall be permitted only upon the presentation of a soil investigation report acceptable to the building official.
3304.1.2,Section 3304 Site Work,Surcharge,No fill or other surcharge loads shall be placed adjacent to any building or structure unless such building or structure is capable of withstanding the additional loads caused by the fill or surcharge. Existing footings or foundations that can be affected by any excavation shall be underpinned adequately or otherwise protected against settlement and shall be protected against lateral movement.
3304.1.3,Section 3304 Site Work,Footings on Adjacent Slopes,"For footings on adjacent slopes, see Chapter 18."
3304.1.4,Section 3304 Site Work,Fill Supporting Foundations,Fill to be used to support the foundations of any building or structure shall comply with Section 1804.6. Special inspections of compacted fill shall be in accordance with Section 1705.6.
3305,Chapter 33 Safeguards During Construction,Sanitary,
3305.1,Section 3305 Sanitary,Facilities Required,"Sanitary facilities shall be provided during construction, remodeling or demolition activities in accordance with the International Plumbing Code."
3306,Chapter 33 Safeguards During Construction,Protection of Pedestrians,
3306.1,Section 3306 Protection of Pedestrians,Protection Required,"Pedestrians shall be protected during construction, remodeling and demolition activities as required by this chapter and Table 3306.1. Signs shall be provided to direct pedestrian traffic. TABLE 3306.1 PROTECTION OF PEDESTRIANS HEIGHT OF CONSTRUCTION DISTANCE FROM CONSTRUCTION TO LOT LINE TYPE OF PROTECTION REQUIRED 8 feet or less Less than 5 feet Construction railings 5 feet or more None More than 8 feet Less than 5 feet Barrier and covered walkway 5 feet or more, but not more than one-fourth the height of construction Barrier and covered walkway 5 feet or more, but between one-fourth and one-half the height of construction Barrier 5 feet or more, but exceeding one-half the height of construction None For SI: 1 foot = 304.8 mm"
3306.2,Section 3306 Protection of Pedestrians,Walkways,"A walkway shall be provided for pedestrian travel in front of every construction and demolition site unless the applicable governing authority authorizes the sidewalk to be fenced or closed. Walkways shall be of sufficient width to accommodate the pedestrian traffic, but in no case shall they be less than 4 feet (1219 mm) in width. Walkways shall be provided with a durable walking surface. Walkways shall be accessible in accordance with Chapter 11 and shall be designed to support all imposed loads and in no case shall the design live load be less than 150 pounds per square foot (psf) (7.2 kN/m2)."
3306.3,Section 3306 Protection of Pedestrians,Directional Barricades,Pedestrian traffic shall be protected by a directional barricade where the walkway extends into the street. The directional barricade shall be of sufficient size and construction to direct vehicular traffic away from the pedestrian path.
3306.4,Section 3306 Protection of Pedestrians,Construction Railings,Construction railings shall be not less than 42 inches (1067 mm) in height and shall be sufficient to direct pedestrians around construction areas.
3306.5,Section 3306 Protection of Pedestrians,Barriers,Barriers shall be not less than 8 feet (2438 mm) in height and shall be placed on the side of the walkway nearest the construction. Barriers shall extend the entire length of the construction site. Openings in such barriers shall be protected by doors that are normally kept closed.
3306.6,Section 3306 Protection of Pedestrians,Barrier Design,Barriers shall be designed to resist loads required in Chapter 16 unless constructed as follows: Barriers shall be provided with 2-inch by 4-inch (51 mm by 102 mm) top and bottom plates. The barrier material shall be boards not less than 3/4-inch (19.1 mm) thick or wood structural panels not less than 1/4-inch (6.4 mm) thick. Wood structural use panels shall be bonded with an adhesive identical to that for exterior wood structural use panels. Wood structural use panels 1/4 inch (6.4 mm) or 5/16 inch (23.8 mm) in thickness shall have studs spaced not more than 2 feet (610 mm) on center. Wood structural use panels 3/8 inch (9.5 mm) or 1/2 inch (12.7 mm) in thickness shall have studs spaced not more than 4 feet (1219 mm) on center provided a 2-inch by 4-inch (51 mm by 102 mm) stiffener is placed horizontally at mid-height where the stud spacing is greater than 2 feet (610 mm) on center. Wood structural use panels 5/8 inch (15.9 mm) or thicker shall not span over 8 feet (2438 mm).
3306.7,Section 3306 Protection of Pedestrians,Covered Walkways,"Covered walkways shall have a clear height of not less than 8 feet (2438 mm) as measured from the floor surface to the canopy overhead. Adequate lighting shall be provided at all times. Covered walkways shall be designed to support all imposed loads. In no case shall the design live load be less than 150 psf (7.2 kN/m2) for the entire structure. Exception: Roofs and supporting structures of covered walkways for new, light-frame construction not exceeding two stories above grade plane are permitted to be designed for a live load of 75 psf (3.6kN/m2) or the loads imposed on them, whichever is greater. In lieu of such designs, the roof and supporting structure of a covered walkway are permitted to be constructed as follows: Footings shall be continuous 2-inch by 6-inch (51 mm by 152 mm) members. Posts not less than 4 inches by 6 inches (102 mm by 152 mm) shall be provided on both sides of the roof and spaced not more than 12 feet (3658 mm) on center. Stringers not less than 4 inches by 12 inches (102 mm by 305 mm) shall be placed on edge upon the posts. Joists resting on the stringers shall be not less than 2 inches by 8 inches (51 mm by 203 mm) and shall be spaced not more than 2 feet (610 mm) on center. The deck shall be planks not less than 2 inches (51 mm) thick or wood structural panels with an exterior exposure durability classification not less than 23/32 inch (18.3 mm) thick nailed to the joists. Each post shall be knee braced to joists and stringers by members not less than 2 inches by 4 inches (51 mm by 102 mm); 4 feet (1219 mm) in length. A curb that is not less than 2 inches by 4 inches (51 mm by 102 mm) shall be set on edge along the outside edge of the deck."
3306.8,Section 3306 Protection of Pedestrians,"Repair, Maintenance and Removal","Pedestrian protection required by this chapter shall be maintained in place and kept in good order for the entire length of time pedestrians are subject to being endangered. The owner or the owner's authorized agent, upon the completion of the construction activity, shall immediately remove walkways, debris and other obstructions and leave such public property in as good a condition as it was before such work was commenced."
3306.9,Section 3306 Protection of Pedestrians,Adjacent to Excavations,"Every excavation on a site located 5 feet (1524 mm) or less from the street lot line shall be enclosed with a barrier not less than 6 feet (1829 mm) in height. Where located more than 5 feet (1524 mm) from the street lot line, a barrier shall be erected where required by the building official. Barriers shall be of adequate strength to resist wind pressure as specified in Chapter 16."
3307,Chapter 33 Safeguards During Construction,Protection of Adjoining Property,
3307.1,Section 3307 Protection of Adjoining Property,Protection Required,"Adjoining public and private property shall be protected from damage during construction, alteration, repair, demolition or raze of a premises at the expense of the person causing the work. Protection must be provided for lots, and for all elements of a building or other structure, including, but not limited to, footings, foundations, party walls, chimneys, vents, skylights, porches, decks, roofs, roof outlets, roof structures and flashing. Provisions shall be made to control water runoff and erosion during construction or demolition or raze activities. This section shall also apply where (1) the work will cause operable chimneys or vents on adjoining premises to become non-compliant with the Chimney Provisions (as defined in Section 3307.1.1) or (2) the work will cause the live load of the roof of an adjoining or adjacent premises to exceed the design capacity as a result of the increased snow drift load."
new_3307.1.1,Section 3307 Protection of Adjoining Property,Definitions,"For purposes of Section 3307, the following terms shall have the meaning stated: PROTECTIVE WORK. Work required by Section 3307.1. ORIGINAL WORK SITE. The premises or portion thereof where the work causing the required Protective Work is performed. PROTECTIVE WORK REQUIRING ACCESS. Protective Work that requires access to adjoining or adjacent premises to be completed. PARTY WALL. A wall that straddles, or is in close proximity to, a lot line, which is used for structural support by two or more adjoining buildings or structures. CHIMNEY PROVISIONS. Section 2113 (Masonry Chimneys), Chapter 5 of the Fuel Gas Code (Chimneys and Vents), Chapter 8 of the Mechanical Code (Chimneys and Vents), Chapter 10 of the Residential Code (Chimneys and Fireplaces) and Section 903.1 of the Plumbing Code."
new_3307.1.2,Section 3307 Protection of Adjoining Property,Notice Requirements for Protective Work,Persons proposing work on an Original Work Site that requires or potentially requires Protective Work on an adjoining or adjacent premises shall comply with the notice requirements set forth in Section 106.2.18.3 as applicable.
new_3307.1.3,Section 3307 Protection of Adjoining Property,Protective Work Requiring Access,"In situations involving Protective Work Requiring Access, the person requiring access to the adjoining or adjacent premises for the purpose of performing Protective Work, or determining whether Protective Work is required, shall be responsible for obtaining a legal right of access from the owner of the adjoining or adjacent premises, as applicable, or a court order authorizing such access in accordance with the requirements of Section 106.2.18.4. Exceptions: A limited or temporary right of access is expressly granted in Section 3307.2.2 or 3307.4.1 for the specific Protective Work required; A revised work plan is submitted to the Department that eliminates the need for Protective Work Requiring Access; or A written agreement signed by the person proposing work on a Original Work Site that requires or potentially requires Protective Work on an adjoining or adjacent premises, and the owner of such premises that denies access and acknowledges the owner's obligation to be responsible for any Protective Work Requiring Access."
new_3307.1.3.1,Section 3307 Protection of Adjoining Property,Where Responsibility for Protective Work Requiring Access Shifts to Owner of Adjoining Premises,"Where the owner of the premises adjoining a Original Work Site (or adjacent to the Original Work Site in the case of snow drift loads) is responsible for Protective Work on the owner's premises, then said owner shall execute such measures to make safe the said owner's premises, and to obtain any necessary permits for the Protective Work from the Department, without delay so as not to impede or materially delay the construction work subject to the permit application that required the Protective Work. Any permit application filed by the owner in these circumstances shall be exempted from the notification requirements in Section 106.2.18.3."
new_3307.1.3.1.1,Section 3307 Protection of Adjoining Property,Access to Original Work Site,"Where the owner of the premises adjoining or adjacent to the Original Work Site is responsible for Protective Work on the owner's premises, and the Protective Work requires access to the Original Work Site, the owner of the adjoining or adjacent premises, as applicable, shall obtain written permission to gain such access from the owner of the Original Work Site. If the owner of the Original Work Site fails to grant written permission (conditional or unconditional) for entry to the owner of the adjoining or adjacent premises to undertake the Protective Work then any Protective Work requiring access to the Original Work Site shall be the responsibility of the owner of the Original Work Site, who shall execute such measures to make safe the Original Work Site."
new_3307.2.1,Section 3307 Protection of Adjoining Property,Responsibility of Person Doing Construction Work,"Where construction work occurs that could affect the structural integrity of a party wall, the person causing the work shall preserve the party wall from injury and ensure the structural stability of the party wall, subject to the provisions for Protective Work Requiring Access in Section 3307.1.3."
new_3307.2.1.1,Section 3307 Protection of Adjoining Property,Underpinning,"Proper underpinning of existing party walls which require underpinning shall be provided in accordance with applicable sections of the Construction Codes, including Sections 1705.19 and 1804.2."
new_3307.2.2,Section 3307 Protection of Adjoining Property,Limited Access Authorized,"Where a party wall requires underpinning as a result of the proposed work, a limited right of access to adjoining premises is authorized where the following conditions are met: The underpinning can be provided by the owner undertaking the work from said owner's premises, even if the footing extends onto the adjoining owner's premises; Extension of the footing is required to stabilize and support the adjoining owner's building or structure, and to avoid unreasonable delay in excavation and development of the permitted project; and The owner undertaking the work has provided notice to the owner of the adjoining premises in accordance with Section 106.2.18 where required. Where the conditions set forth in Section 3307.2.2. are met, the person doing the work is not required to obtain a right of access to the adjoining or adjacent premises, as required by Section 3307.1.3."
new_3307.2.3,Section 3307 Protection of Adjoining Property,Demolition or Raze,"During a demolition or raze, the person undertaking the work must maintain fire and life safety and structural integrity of the party wall. If any party wall or portion thereof which is left standing and exposed after a building is demolished or razed is deemed unsafe or dangerous by the code official, then the owner of the building that is being demolished or razed shall either remove and reconstruct, or anchor, brace, or buttress all of those portions of the party wall deemed unsafe or dangerous, and shall do all other work necessary to enclose properly the building or structure left standing."
new_3307.2.4,Section 3307 Protection of Adjoining Property,Party Wall Weatherization,The party wall shall be properly maintained and weatherized in accordance with Sections 3307.2.4.1 through 3307.2.4.3 as applicable.
new_3307.2.4.1,Section 3307 Protection of Adjoining Property,Temporary Protection,"If the party wall is to remain exposed for 60 days or less, the exposed portions of the wall shall be protected from weather damage by tarpaulins, waterproof paper, or other temporary means approved for use by the code official. Such temporary protection shall be maintained in a weatherproof condition."
