id,section,title,body
1,,Scope and Administration,
divider_1,Chapter 1 Scope and Administration,— Scope and Application,
101,Chapter 1 Scope and Administration,General,
101.2,Section 101 General,Scope and Intent,"The scope and intent of the Existing Building Code shall be governed by Chapter 1 of the Building Code, Title 12-A DCMR"
new_101.2,Section 101 General,101.2,"Administration and enforcement of the Existing Building Code shall be governed by Chapter 1 of the Building Code, Title 12-A DCMR."
102,Chapter 1 Scope and Administration,Applicability,
divider_2,Chapter 1 Scope and Administration,— Administration and Enforcement,
103,Chapter 1 Scope and Administration,Department of Building Safety,
104,Chapter 1 Scope and Administration,Duties and Powers of Code Official,
105,Chapter 1 Scope and Administration,Permits,
106,Chapter 1 Scope and Administration,Construction Documents,
107,Chapter 1 Scope and Administration,Temporary Structures and Uses,
108,Chapter 1 Scope and Administration,Fees,
109,Chapter 1 Scope and Administration,Inspections,
110,Chapter 1 Scope and Administration,Certificate of Occupancy,
111,Chapter 1 Scope and Administration,Service Utilities,
112,Chapter 1 Scope and Administration,Board of Appeals,
113,Chapter 1 Scope and Administration,Violations,
114,Chapter 1 Scope and Administration,Stop Work Order,
115,Chapter 1 Scope and Administration,Unsafe Buildings and Equipment,
116,Chapter 1 Scope and Administration,Emergency Measures,
117,Chapter 1 Scope and Administration,Demolition,
