id,section,title,body
10,,Change of Occupancy,
1001,Chapter 10 Change of Occupancy,General,
1001.1,Section 1001 General,Scope,"The provisions of this chapter shall apply where a change of occupancy occurs, as defined in Section 202."
1001.2,Section 1001 General,Certificate of Occupancy,A change of occupancy or a change of occupancy within a space where there is a different fire protection system threshold requirement in Chapter 9 of the International Building Code shall not be made to any structure without the approval of the code official. A certificate of occupancy shall be issued where it has been determined that the requirements for the change of occupancy have been met.
1001.2.1,Section 1001 General,Change of Use,Any work undertaken in connection with a change in use that does not involve a change of occupancy classification or a change to another group within an occupancy classification shall conform to the applicable requirements for the work as classified in Chapter 5 and to the requirements of Sections 1002 through 1011. Exception: As modified in Section 1205 for historic buildings.
1001.2.2,Section 1001 General,Change of Occupancy Classification or Group,"Where the occupancy classification of a building changes, the provisions of Sections 1002 through 1012 shall apply. This includes a change of occupancy classification and a change to another group within an occupancy classification."
1001.2.2.1,Section 1001 General,Partial Change of Occupancy,"Where the occupancy classification or group of a portion of an existing building is changed, Section 1012 shall apply."
1001.3,Section 1001 General,Certificate of Occupancy Required,A certificate of occupancy shall be issued where a change of occupancy occurs that results in a different occupancy classification as determined by the International Building Code.
1002,Chapter 10 Change of Occupancy,Special Use and Occupancy,
1002.1,Section 1002 Special Use and Occupancy,Compliance With the Building Code,"Where the character or use of an existing building or part of an existing building is changed to one of the following special use or occupancy categories as defined in the International Building Code, the building shall comply with all of the applicable requirements of the International Building Code: Covered and open mall buildings. Atriums. Motor vehicle-related occupancies. Aircraft-related occupancies. Motion picture projection rooms. Stages and platforms. Special amusement buildings. Incidental use areas. Hazardous materials. Ambulatory care facilities. Group I-2 occupancies."
1002.2,Section 1002 Special Use and Occupancy,Underground Buildings,An underground building in which there is a change of use shall comply with the requirements of the International Building Code applicable to underground structures.
1003,Chapter 10 Change of Occupancy,Building Elements and Materials,
1003.1,Section 1003 Building Elements and Materials,General,Building elements and materials in portions of buildings undergoing a change of occupancy classification shall comply with Section 1012.
1004,Chapter 10 Change of Occupancy,Fire Protection,
1004.1,Section 1004 Fire Protection,General,Fire protection requirements of Section 1012 shall apply where a building or portions thereof undergo a change of occupancy classification or where there is a change of occupancy within a space where there is a different fire protection system threshold requirement in Chapter 9 of the International Building Code.
1005,Chapter 10 Change of Occupancy,Means of Egress,
1005.1,Section 1005 Means of Egress,General,Means of egress in portions of buildings undergoing a change of occupancy classification shall comply with Section 1012.
1006,Chapter 10 Change of Occupancy,Accessibility,
1006.1,Section 1006 Accessibility,General,Accessibility in portions of buildings undergoing a change of occupancy classification shall comply with Section 1012.8.
1007,Chapter 10 Change of Occupancy,Structural,
1007.1,Section 1007 Structural,Gravity Loads,Buildings or portions thereof subject to a change of occupancy where such change in the nature of occupancy results in higher uniform or concentrated loads based on Table 1607.1 of the International Building Code shall comply with the gravity load provisions of the International Building Code. Exception: Structural elements whose stress is not increased by more than 5 percent.
1007.2,Section 1007 Structural,Snow and Wind Loads,Buildings and structures subject to a change of occupancy where such change in the nature of occupancy results in higher wind or snow risk categories based on Table 1604.5 of the International Building Code shall be analyzed and shall comply with the applicable wind or snow load provisions of the International Building Code. Exception: Where the new occupancy with a higher risk category is less than or equal to 10 percent of the total building floor area. The cumulative effect of the area of occupancy changes shall be considered for the purposes of this exception.
1007.3,Section 1007 Structural,Seismic Loads,Existing buildings with a change of occupancy shall comply with the seismic provisions of Sections 1007.3.1 and 1007.3.2.
1007.3.1,Section 1007 Structural,Compliance With International Building Code-Level Seismic Forces,"Where a building or portion thereof is subject to a change of occupancy that results in the building being assigned to a higher risk category based on Table 1604.5 of the International Building Code, the building shall comply with the requirements for International Building Code-level seismic forces as specified in Section 301.1.4.1 for the new risk category. Exceptions: Where approved by the code official, specific detailing provisions required for a new structure are not required to be met where it can be shown that an equivalent level of performance and seismic safety is obtained for the applicable risk category based on the provision for reduced International Building Code-level seismic forces as specified in Section 301.1.4.2. Where the area of the new occupancy with a higher hazard category is less than or equal to 10 percent of the total building floor area and the new occupancy is not classified as Risk Category IV. For the purposes of this exception, buildings occupied by two or more occupancies not included in the same risk category, shall be subject to the provisions of Section 1604.5.1 of the International Building Code. The cumulative effect of the area of occupancy changes shall be considered for the purposes of this exception. Unreinforced masonry bearing wall buildings in Risk Category III when assigned to Seismic Design Category A or B shall be allowed to be strengthened to meet the requirements of Appendix Chapter A1 of this code [Guidelines for the Seismic Retrofit of Existing Buildings (GSREB)]."
1007.3.2,Section 1007 Structural,Access to Risk Category IV,"Where a change of occupancy is such that compliance with Section 1007.3.1 is required and the building is assigned to Risk Category IV, the operational access to the building shall not be through an adjacent structure, unless that structure conforms to the requirements for Risk Category IV structures. Where operational access is less than 10 feet (3048 mm) from either an interior lot line or from another structure, access protection from potential falling debris shall be provided by the owner of the Risk Category IV structure."
1008,Chapter 10 Change of Occupancy,Electrical,
1008.1,Section 1008 Electrical,Special Occupancies,"Where the occupancy of an existing building or part of an existing building is changed to one of the following special occupancies as described in NFPA 70, the electrical wiring and equipment of the building or portion thereof that contains the proposed occupancy shall comply with the applicable requirements of NFPA 70 whether or not a change of occupancy group is involved: Hazardous locations. Commercial garages, repair, and storage. Aircraft hangars. Gasoline dispensing and service stations. Bulk storage plants. Spray application, dipping, and coating processes. Health care facilities. Places of assembly. Theaters, audience areas of motion picture and television studios, and similar locations. Motion picture and television studios and similar locations. Motion picture projectors. Agricultural buildings."
1008.2,Section 1008 Electrical,Unsafe Conditions,"Where the occupancy of an existing building or part of an existing building is changed, all unsafe conditions shall be corrected without requiring that all parts of the electrical system comply with NFPA 70."
1008.3,Section 1008 Electrical,Service Upgrade,"Where the occupancy of an existing building or part of an existing building is changed, electrical service shall be upgraded to meet the requirements of NFPA 70 for the new occupancy."
1008.4,Section 1008 Electrical,Number of Electrical Outlets,"Where the occupancy of an existing building or part of an existing building is changed, the number of electrical outlets shall comply with NFPA 70 for the new occupancy."
