id,section,title,body
11,,Additions,
1101,Chapter 11 Additions,General,
1101.1,Section 1101 General,Scope,"An addition to a building or structure shall comply with the International Codes as adopted for new construction without requiring the existing building or structure to comply with any requirements of those codes or of these provisions, except as required by this chapter. Where an addition impacts the existing building or structure, that portion shall comply with this code."
1101.2,Section 1101 General,Creation or Extension of Nonconformity,"An addition shall not create or extend any nonconformity in the existing building to which the addition is being made with regard to accessibility, structural strength, fire safety, means of egress, or the capacity of mechanical, plumbing, or electrical systems."
1101.3,Section 1101 General,Other Work,Any repair or alteration work within an existing building to which an addition is being made shall comply with the applicable requirements for the work as classified in Chapter 5.
1102,Chapter 11 Additions,Heights and Areas,
1102.1,Section 1102 Heights and Areas,Height Limitations,No addition shall increase the height of an existing building beyond that permitted under the applicable provisions of Chapter 5 of the International Building Code for new buildings.
1102.2,Section 1102 Heights and Areas,Area Limitations,No addition shall increase the area of an existing building beyond that permitted under the applicable provisions of Chapter 5 of the International Building Code for new buildings unless fire separation as required by the International Building Code is provided. Exception: In-filling of floor openings and nonoccupiable appendages such as elevator and exit stairway shafts shall be permitted beyond that permitted by the International Building Code.
1102.3,Section 1102 Heights and Areas,Fire Protection Systems,"Existing fire areas increased by the addition shall comply with Chapter 9 of the Building Code for buildings that are under the jurisdiction of the Building Code. Existing fire areas increased by the addition shall comply with Section 313 of the Residential Code for buildings under the jurisdiction of the Residential Code. Exceptions: An automatic sprinkler system shall not be required in Group R-3 occupancies under the jurisdiction of the Building Code where the addition is less than 50 percent of the building area of the existing building and the water service is not being replaced. An automatic sprinkler system shall not be required for buildings under the jurisdiction of the Residential Code where the addition is less than 50 percent of the building area of the existing building and the water service is not being replaced. An automatic sprinkler system shall not be required in Group R-3 occupancies under the jurisdiction of the Building Code where the existing water service cannot provide adequate flow and pressure without the installation of a tank or pump, unless the water service is otherwise being replaced. An automatic sprinkler system shall not be required for buildings under the jurisdiction of the Residential Code where the existing water service cannot provide adequate flow and pressure without the installation of a tank or pump, unless the water service is otherwise being replaced."
1103,Chapter 11 Additions,Structural,
1103.1,Section 1103 Structural,Compliance With the International Building Code,Additions to existing buildings or structures are new construction and shall comply with the International Building Code.
1103.2,Section 1103 Structural,Additional Gravity Loads,Existing structural elements supporting any additional gravity loads as a result of additions shall comply with the International Building Code. Exceptions: Structural elements whose stress is not increased by more than 5 percent. Buildings of Group R occupancy with no more than five dwelling units or sleeping units used solely for residential purposes where the existing building and the addition comply with the conventional light-frame construction methods of the International Building Code or the provisions of the International Residential Code.
1103.3,Section 1103 Structural,Lateral Force-Resisting System,"The lateral force-resisting system of existing buildings to which additions are made shall comply with Sections 1103.3.1, 1103.3.2 and 1103.3.3. Exceptions: Buildings of Group R occupancy with no more than five dwelling or sleeping units used solely for residential purposes where the existing building and the addition comply with the conventional light-frame construction methods of the International Building Code or the provisions of the International Residential Code. Any existing lateral load-carrying structural element whose demand-capacity ratio with the addition considered is not more than 10 percent greater than its demand-capacity ratio with the addition ignored shall be permitted to remain unaltered. For purposes of this exception, comparisons of demand-capacity ratios and calculation of design lateral loads, forces and capacities shall account for the cumulative effects of additions and alterations since original construction. For purposes of calculating demand-capacity ratios, the demand shall consider applicable load combinations involving International Building Code-level seismic forces in accordance with Section 301.1.4.1."
1103.3.1,Section 1103 Structural,Vertical Addition,Any element of the lateral force-resisting system of an existing building subjected to an increase in vertical or lateral loads from the vertical addition shall comply with the International Building Code wind provisions and the International Building Code-level seismic forces specified in Section 301.1.4.1 of this code.
1103.3.2,Section 1103 Structural,Horizontal Addition,"Where horizontal additions are structurally connected to an existing structure, all lateral force-resisting elements of the existing structure affected by such addition shall comply with the International Building Code wind provisions and the IBC-level seismic forces specified in Section 301.1.4.1 of this code."
