id,section,title,body
15,,Construction Safeguards,
1501,Chapter 15 Construction Safeguards,General,
1501.1,Section 1501 General,Scope,The provisions of Chapter 33 of the Building Code shall govern safety during construction that is under the jurisdiction of this code and the protection of adjacent public and private properties.
1502,Chapter 15 Construction Safeguards,Protection of Adjoining Property,
1503,Chapter 15 Construction Safeguards,"Temporary Use of Streets, Alleys and Public Property",
1504,Chapter 15 Construction Safeguards,Fire Extinguishers,
1505,Chapter 15 Construction Safeguards,Means of Egress,
1506,Chapter 15 Construction Safeguards,Standpipe Systems,
1507,Chapter 15 Construction Safeguards,Automatic Sprinkler System,
1508,Chapter 15 Construction Safeguards,Accessibility,
1509,Chapter 15 Construction Safeguards,Water Supply for Fire Protection,
