id,section,title,body
2,,Definitions,
201,Chapter 2 Definitions,General,
201.1,Section 201 General,Scope,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
201.2,Section 201 General,Interchangeability,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Terms Defined in Other Codes,"Where terms are not defined in this code and are defined in the other International Codes, such terms shall have the meanings ascribed to them in those codes."
201.4,Section 201 General,Terms Not Defined,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies."
202,Chapter 2 Definitions,General Definitions,
addition_,Section 202 General Definitions,Addition,"An extension or increase in the building area, aggregate floor area, number of stories or height of a building or structure."
alteration_,Section 202 General Definitions,Alteration,"Any construction or renovation to an existing structure other than a repair or addition. Alterations are classified as Level 1, Level 2 and Level 3."
approved_,Section 202 General Definitions,Approved,Acceptable to the code official or authority having jurisdiction.
change_of_occupancy_,Section 202 General Definitions,Change of Occupancy,"A change in the use of the building or a portion of a building. A change of occupancy shall include any change of occupancy classification, any change from one group to another group within an occupancy classification or any change in use within a group for a specific occupancy classification."
code_official_,Section 202 General Definitions,Code Official,The officer or other designated authority charged with the administration and enforcement of this code.
dangerous_,Section 202 General Definitions,Dangerous,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation, or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under service loads."
deferred_submittal_,Section 202 General Definitions,Deferred Submittal,Those portions of the design that are not submitted at the time of the application and that are to be submitted to the code official within a specified period.
equipment_or_fixture_,Section 202 General Definitions,Equipment or Fixture,"Any plumbing, heating, electrical, ventilating, air conditioning, refrigerating, and fire protection equipment, and elevators, dumb waiters, escalators, boilers, pressure vessels and other mechanical facilities or installations that are related to building services. Equipment or fixture shall not include manufacturing, production, or process equipment, but shall include connections from building service to process equipment."
existing_building_,Section 202 General Definitions,Existing Building,Any building or structure that has been erected and legally occupied (excluding buildings occupied pursuant to a temporary certificate of occupancy).
facility_,Section 202 General Definitions,Facility,"All or any portion of buildings, structures, site improvements, elements and pedestrian or vehicular routes located on a site."
new_fire_resistance_rating_,Section 202 General Definitions,Fire Resistance Rating,"The period of time a building element, component or assembly maintains the ability to confine a fire, continues to perform a given structural function, or both, as determined by the tests, or the methods based on tests, prescribed in Section 703 of the Building Code. The fire resistance rating of existing building assemblies which have not been rated in accordance with Section 703 of the Building Code shall be determined in accordance with the procedures set forth in Guidelines on Fire Ratings of Archaic Materials and Assemblies, published in the Existing Building Code as Resource A."
flood_hazard_area_,Section 202 General Definitions,Flood Hazard Area,"The greater of the following two areas: The area within a flood plain subject to a 1-percent or greater chance of flooding in any year. The area designated as a flood hazard area on a community's flood hazard map, or otherwise legally designated."
historic_building_,Section 202 General Definitions,Historic Building,"Any building or structure that is one or more of the following: Listed, or certified as eligible for listing, by the State Historic Preservation Officer or the Keeper of the National Register of Historic Places, in the National Register of Historic Places. Designated as historic under an applicable state or local law. Certified as a contributing resource within a National Register, state designated or locally designated historic district."
load_bearing_element_,Section 202 General Definitions,Load-Bearing Element,"Any column, girder, beam, joist, truss, rafter, wall, floor or roof sheathing that supports any vertical load in addition to its own weight or any lateral load."
noncombustible_material_,Section 202 General Definitions,Noncombustible Material,"A material that, under the conditions anticipated, will not ignite or burn when subjected to fire or heat. Materials that pass ASTM E 136 are considered noncombustible materials."
primary_function_,Section 202 General Definitions,Primary Function,"A primary function is a major activity for which the facility is intended. Areas that contain a primary function include, but are not limited to, the customer services lobby of a bank, the dining area of a cafeteria, the meeting rooms in a conference center, as well as offices and other work areas in which the activities of the public accommodation or other private entity using the facility are carried out. Mechanical rooms, boiler rooms, supply storage rooms, employee lounges or locker rooms, janitorial closets, entrances, corridors and restrooms are not areas containing a primary function."
registered_design_professional_in_responsible_charge_,Section 202 General Definitions,Registered Design Professional in Responsible Charge,"A registered design professional engaged by the owner to review and coordinate certain aspects of the project, as determined by the code official, for compatibility with the design of the building or structure, including submittal documents prepared by others, deferred submittal documents and phased submittal documents."
rehabilitation_,Section 202 General Definitions,Rehabilitation,"Any work, as described by the categories of work defined herein, undertaken in an existing building."
rehabilitation_seismic_,Section 202 General Definitions,"Rehabilitation, Seismic",Work conducted to improve the seismic lateral force resistance of an existing building.
relocatable_building_,Section 202 General Definitions,Relocatable Building,A partially or completely assembled building constructed and designed to be reused multiple times and transported to different building sites.
repair_,Section 202 General Definitions,Repair,The reconstruction or renewal of any part of an existing building for the purpose of its maintenance or to correct damage.
reroofing_,Section 202 General Definitions,Reroofing,"The process of recovering or replacing an existing roof covering. See ""Roof recover"" and ""Roof replacement."""
roof_recover_,Section 202 General Definitions,Roof Recover,The process of installing an additional roof covering over a prepared existing roof covering without removing the existing roof covering.
roof_repair_,Section 202 General Definitions,Roof Repair,Reconstruction or renewal of any part of an existing roof for the purposes of its maintenance.
roof_replacement_,Section 202 General Definitions,Roof Replacement,"The process of removing the existing roof covering, repairing any damaged substrate and installing a new roof covering."
seismic_loading_,Section 202 General Definitions,Seismic Loading,"The forces prescribed herein, related to the response of the structure to earthquake motions, to be used in the analysis and design of the structure and its components."
substantial_damage_,Section 202 General Definitions,Substantial Damage,"For the purpose of determining compliance with the flood provisions of this code, damage of any origin sustained by a structure whereby the cost of restoring the structure to its before-damaged condition would equal or exceed 50 percent of the market value of the structure before the damage occurred."
substantial_improvement_,Section 202 General Definitions,Substantial Improvement,"For the purpose of determining compliance with the flood provisions of this code, any repair, alteration, addition, or improvement of a building or structure, the cost of which equals or exceeds 50 percent of the market value of the structure, before the improvement or repair is started. If the structure has sustained substantial damage, any repairs are considered substantial improvement regardless of the actual repair work performed. The term does not, however, include either: Any project for improvement of a building required to correct existing health, sanitary, or safety code violations identified by the code official and that is the minimum necessary to ensure safe living conditions; or Any alteration of a historic structure, provided that the alteration will not preclude the structure's continued designation as a historic structure."
substantial_structural_damage_,Section 202 General Definitions,Substantial Structural Damage,"A condition where one or both of the following apply: The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 33 percent from its predamage condition. The capacity of any vertical component carrying gravity load, or any group of such components, that supports more than 30 percent of the total area of the structure's floor(s) and roof(s) has been reduced more than 20 percent from its predamage condition and the remaining capacity of such affected elements, with respect to all dead and live loads, is less than 75 percent of that required by this code for new buildings of similar structure, purpose and location."
technically_infeasible_,Section 202 General Definitions,Technically Infeasible,"An alteration of a facility that has little likelihood of being accomplished because the existing structural conditions require the removal or alteration of a load-bearing member that is an essential part of the structural frame, or because other existing physical or site constraints prohibit modification or addition of elements, spaces or features which are in full and strict compliance with the minimum requirements for new construction and which are necessary to provide accessibility."
