id,section,title,body
11,,Accessibility,
1101,Chapter 11 Accessibility,General,
1101.1,Section 1101 General,Scope,This chapter governs the design and construction of buildings for accessibility.
1101.1.1,Section 1101 General,Criteria,"Buildings shall be designed and constructed in accordance with the Florida Building Code, Accessibility."
1101.2,Section 1101 General,Design,Reserved.
1102,Chapter 11 Accessibility,Definitions,RESERVED
1103,Chapter 11 Accessibility,Scoping Requirements,RESERVED
1104,Chapter 11 Accessibility,Accessible Route,RESERVED
1105,Chapter 11 Accessibility,Accessible Entrances,RESERVED
1106,Chapter 11 Accessibility,Parking and Passenger Loading Facilities,RESERVED
1107,Chapter 11 Accessibility,Dwelling Units and Sleeping Units,RESERVED
1108,Chapter 11 Accessibility,Special Occupancies,RESERVED
1109,Chapter 11 Accessibility,Other Features and Facilities,RESERVED
1110,Chapter 11 Accessibility,Recreational Facilities,RESERVED
1111,Chapter 11 Accessibility,Signage,RESERVED
