id,section,title,body
22,,Steel,
2201,Chapter 22 Steel,General,
2201.1,Section 2201 General,Scope,"The provisions of this chapter govern the quality, design, fabrication and erection of steel used structurally in buildings or structures.Exception: Buildings and structures located within the high-velocity hurricane zone shall comply with the provisions of Sections 2204 through 2209 and 2214 through 2224."
2202,Chapter 22 Steel,Definitions,
2202.1,Section 2202 Definitions,Definitions,"The following terms are defined in Chapter 2:STEEL CONSTRUCTION, COLD-FORMED.STEEL ELEMENT, STRUCTURAL.STEEL JOIST."
2203,Chapter 22 Steel,Identification and Protection of Steel for Structural Purposes,
2203.1,Section 2203 Identification and Protection of Steel for Structural Purposes,Identification,"Identification of structural steel elements shall be in accordance with AISC 360. Identification of cold-formed steel members shall be in accordance with AISI S100. Identification of cold-formed steel light-frame construction shall also comply with the requirements contained in AISI S240 or AISI S220, as applicable. Other steel furnished for structural load-carrying purposes shall be properly identified for conformity to the ordered grade in accordance with the specified ASTM standard or other specification and the provisions of this chapter. Steel that is not readily identifiable as to grade from marking and test records shall be tested to determine conformity to such standards."
2203.2,Section 2203 Identification and Protection of Steel for Structural Purposes,Protection,"Painting of structural steel elements shall be in accordance with AISC 360. Painting of open-web steel joists and joist girders shall be in accordance with SJI 200 and SJI 100. Individual structural members and assembled panels of cold-formed steel construction shall be protected against corrosion in accordance with the requirements contained in AISI S100. Protection of cold-formed steel light-frame construction shall be in accordance with AISI S240 or AISI S220, as applicable."
2204,Chapter 22 Steel,Connections,
2204.1,Section 2204 Connections,Welding,"The details of design, workmanship and technique for welding and qualification of welding personnel shall be in accordance with the specifications listed in Sections 2205, 2206, 2207, 2208, 2210 and 2211 (see Section 2222 for HVHZ) and 2211 (see Section 2222 for HVHZ)."
2204.2,Section 2204 Connections,Bolting,"The design, installation and inspection of bolts shall be in accordance with the requirements of Sections 2205, 2206, 2207, 2210 and 2211."
2204.3,Section 2204 Connections,Anchor Rods,Anchor rods shall be set in accordance with the approved construction documents. The protrusion of the threaded ends through the connected material shall fully engage the threads of the nuts but shall not be greater than the length of the threads on the bolts.
2205,Chapter 22 Steel,Structural Steel,
2205.1,Section 2205 Structural Steel,General,"The design, fabrication and erection of structural steel elements in buildings, structures and portions thereof shall be in accordance with AISC 360."
2206,Chapter 22 Steel,Composite Structural Steel and Concrete Structures,
2206.1,Section 2206 Composite Structural Steel and Concrete Structures,General,"Systems of structural steel elements acting compositely with reinforced concrete shall be designed in accordance with AISC 360 and ACI 318, excluding ACI 318 Chapter 14."
2207,Chapter 22 Steel,Steel Joists,
2207.1,Section 2207 Steel Joists,General,"The design, manufacture and use of open-web steel joists and joist girders shall be in accordance with either SJI 200 or SJI 100, as applicable."
2207.2,Section 2207 Steel Joists,Design,"The registered design professional shall indicate on the construction documents the steel joist and steel joist girder designations from the specifications listed in Section 2207.1; and shall indicate the requirements for joist and joist girder design, layout, end supports, anchorage, bridging design that differs from the SJI specifications listed in Section 2207.1, bridging termination connections and bearing connection design to resist uplift and lateral loads. These documents shall indicate special requirements as follows: Special loads including: Concentrated loads. Nonuniform loads. Net uplift loads. Axial loads. End moments. Connection forces. Special considerations including: Profiles for joist and joist girder configurations that differ from those defined by the SJI specifications listed in Section 2207.1. Oversized or other nonstandard web openings. Extended ends. Live and total load deflection criteria for joists and joist girder configurations that differ from those defined by the SJI specifications listed in Section 2207.1."
2207.3,Section 2207 Steel Joists,Calculations,"The steel joist and joist girder manufacturer shall design the steel joists and steel joist girders in accordance with the SJI specifications listed in Section 2207.1 to support the load requirements of Section 2207.2. The registered design professional shall be permitted to require submission of the steel joist and joist girder calculations as prepared by a registered design professional responsible for the product design. Where requested by the registered design professional, the steel joist manufacturer shall submit design calculations with a cover letter bearing the seal and signature of the joist manufacturer's registered design professional. In addition to the design calculations submitted under seal and signature, the following shall be included: Bridging design that differs from the SJI specifications listed in Section 2207.1, such as cantilevered conditions and net uplift. Connection design for: Connections that differ from the SJI specifications listed in Section 2207.1, such as flush-framed or framed connections. Field splices. Joist headers."
2207.4,Section 2207 Steel Joists,Steel Joist Drawings,"Steel joist placement plans shall be provided to show the steel joist products as specified on the approved construction documents and are to be utilized for field installation in accordance with specific project requirements as stated in Section 2207.2. Steel joist placement plans shall include, at a minimum, the following: Listing of applicable loads as stated in Section 2207.2 and used in the design of the steel joists and joist girders as specified in the approved construction documents. Profiles for joist and joist girder configurations that differ from those defined by the SJI specifications listed in Section 2207.1. Connection requirements for: Joist supports. Joist girder supports. Field splices. Bridging attachments. Live and total load deflection criteria for joists and joist girder configurations that differ from those defined by the SJI specifications listed in Section 2207.1. Size, location and connections for bridging. Joist headers. Steel joist placement plans do not require the seal and signature of the joist manufacturer's registered design professional."
2207.5,Section 2207 Steel Joists,Certification,"At completion of manufacture, the steel joist manufacturer shall submit a certificate of compliance to the owner or the owner's authorized agent for submittal to the building official as specified in Section 1704.5 stating that work was performed in accordance with approved construction documents and with SJI specifications listed in Section 2207.1."
2208,Chapter 22 Steel,Steel Cable Structures,
2208.1,Section 2208 Steel Cable Structures,General,"The design, fabrication and erection including related connections, and protective coatings of steel cables for buildings shall be in accordance with ASCE 19."
2209,Chapter 22 Steel,Steel Storage Racks,
2209.1,Section 2209 Steel Storage Racks,Storage Racks,"The design, testing and utilization of storage racks made of cold-formed or hot-rolled steel structural members shall be in accordance with RMI/ANSI MH 16.1."
2209.2,Section 2209 Steel Storage Racks,Cantilevered Steel Storage Racks,"The design, testing and utilization of cantilevered storage racks made of cold-formed or hot-rolled steel structural members shall be in accordance with RMI ANSI/MH 16.3."
2210,Chapter 22 Steel,Cold-Formed Steel,
2210.1,Section 2210 Cold-Formed Steel,General,The design of cold-formed carbon and low-alloy steel structural members shall be in accordance with AISI S100. The design of cold-formed stainless-steel structural members shall be in accordance with ASCE 8. Cold-formed steel light-frame construction shall also comply with Section 2211.
2210.1.1,Section 2210 Cold-Formed Steel,Steel Decks,The design and construction of cold-formed steel decks shall be in accordance with this section.
2210.1.1.1,Section 2210 Cold-Formed Steel,Noncomposite Steel Floor Decks,Noncomposite steel floor decks shall be permitted to be designed and constructed in accordance with ANSI/SDI-NC1.0.
