id,section,title,body
31,,Special Construction,
3101,Chapter 31 Special Construction,General,
3101.1,Section 3101 General,Scope,"The provisions of this chapter shall govern special building construction including membrane structures, temporary structures, pedestrian walkways and tunnels, automatic vehicular gates, awnings and canopies, marquees, signs, towers and antennas, and exterior elevated flooring systems."
3102,Chapter 31 Special Construction,Membrane Structures,
3102.1,Section 3102 Membrane Structures,General,"The provisions of Sections 3102.1 through 3102.8 shall apply to air-supported, air-inflated, membrane-covered cable, membrane-covered frame and tensile membrane structures, collectively known as membrane structures, erected for a period of 180 days or longer. Those erected for a shorter period of time shall comply with the Florida Fire Prevention Code. Membrane structures covering water storage facilities, water clarifiers, water treatment plants, sewage treatment plants, greenhouses and similar facilities not used for human occupancy are required to meet only the requirements of Sections 3102.3.1 and 3102.7. Membrane structures erected on a building, balcony, deck or other structure for any period of time shall comply with this section."
3102.1.1,Section 3102 Membrane Structures,Tensile Membrane Structures,"Tensile membrane structures, including permanent and temporary structures, shall be designed and constructed in accordance with ASCE 55. The provisions in Sections 3102.3 through 3102.6 shall apply."
3102.2,Section 3102 Membrane Structures,Definitions,"The following terms are defined in Chapter 2:AIR-INFLATED STRUCTURE.AIR-SUPPORTED STRUCTURE.Double skin.Single skin.CABLE-RESTRAINED, AIR-SUPPORTED STRUCTURE.MEMBRANE-COVERED CABLE STRUCTURE.MEMBRANE-COVERED FRAME STRUCTURE.NONCOMBUSTIBLE MEMBRANE STRUCTURE.TENSILE MEMBRANE STRUCTURE."
3102.3,Section 3102 Membrane Structures,Type of Construction,"Noncombustible membrane structures shall be classified as Type IIB construction. Noncombustible frame or cable-supported structures covered by an approved membrane in accordance with Section 3102.3.1 shall be classified as Type IIB construction. Heavy timber frame-supported structures covered by an approved membrane in accordance with Section 3102.3.1 shall be classified as Type IV construction. Other membrane structures shall be classified as Type V construction.Exception: Plastic less than 30 feet (9144 mm) above any floor used in greenhouses, where occupancy by the general public is not authorized, and for aquaculture pond covers is not required to meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701."
3102.3.1,Section 3102 Membrane Structures,Membrane and Interior Liner Material,"Membranes and interior liners shall be either noncombustible as set forth in Section 703.5 or meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701 and the manufacturer's test protocol.Exception: Plastic less than 20 mil (0.5 mm) in thickness used in greenhouses, where occupancy by the general public is not authorized, and for aquaculture pond covers is not required to meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701."
3102.4,Section 3102 Membrane Structures,Allowable Floor Areas,The area of a membrane structure shall not exceed the limitations specified in Section 506.
3102.5,Section 3102 Membrane Structures,Maximum Height,Membrane structures shall not exceed one story nor shall such structures exceed the height limitations in feet specified in Section 504.3.Exception: Noncombustible membrane structures serving as roofs only.
3102.6,Section 3102 Membrane Structures,Mixed Construction,Membrane structures shall be permitted to be utilized as specified in this section as a portion of buildings of other types of construction. Height and area limits shall be as specified for the type of construction and occupancy of the building.
3102.6.1,Section 3102 Membrane Structures,Noncombustible Membrane,"A noncombustible membrane shall be permitted for use as the roof or as a skylight of any building or atrium of a building of any type of construction provided the membrane is not less than 20 feet (6096 mm) above any floor, balcony or gallery."
3102.6.1.1,Section 3102 Membrane Structures,Membrane,"A membrane meeting the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701 shall be permitted to be used as the roof or as a skylight on buildings of Type IIB, III, IV and V construction, provided the membrane is not less than 20 feet (6096 mm) above any floor, balcony or gallery."
3102.7,Section 3102 Membrane Structures,Engineering Design,"The structure shall be designed and constructed to sustain dead loads, loads due to tension or inflation, live loads including wind and flood loads and in accordance with Chapter 16."
3102.7.1,Section 3102 Membrane Structures,Lateral Restraint,"For membrane-covered frame structures, the membrane shall not be considered to provide lateral restraint in the calculation of the capacities of the frame members."
3102.8,Section 3102 Membrane Structures,Inflation Systems,Air-supported and air-inflated structures shall be provided with primary and auxiliary inflation systems to meet the minimum requirements of Sections 3102.8.1 through 3102.8.3.
3102.8.1,Section 3102 Membrane Structures,Equipment Requirements,This inflation system shall consist of one or more blowers and shall include provisions for automatic control to maintain the required inflation pressures. The system shall be so designed as to prevent overpressurization of the system.
3102.8.1.1,Section 3102 Membrane Structures,Auxiliary Inflation System,"In addition to the primary inflation system, in buildings larger than 1,500 square feet (140 m2) in area, an auxiliary inflation system shall be provided with sufficient capacity to maintain the inflation of the structure in case of primary system failure. The auxiliary inflation system shall operate automatically when there is a loss of internal pressure and when the primary blower system becomes inoperative."
3102.8.1.2,Section 3102 Membrane Structures,Blower Equipment,"Blower equipment shall meet all of the following requirements:Blowers shall be powered by continuous-rated motors at the maximum power required for any flow condition as required by the structural design.Blowers shall be provided with inlet screens, belt guards and other protective devices as required by the building official to provide protection from injury.Blowers shall be housed within a weather-protecting structure.Blowers shall be equipped with backdraft check dampers to minimize air loss when inoperative.Blower inlets shall be located to provide protection from air contamination. The location of inlets shall be approved."
3102.8.2,Section 3102 Membrane Structures,Standby Power,"Wherever an auxiliary inflation system is required, an approved standby power-generating system shall be provided. The system shall be equipped with a suitable means for automatically starting the generator set upon failure of the normal electrical service and for automatic transfer and operation of all of the required electrical functions at full power within 60 seconds of such service failure. Standby power shall be capable of operating independently for not less than 4 hours."
3102.8.3,Section 3102 Membrane Structures,Support Provisions,"A system capable of supporting the membrane in the event of deflation shall be provided for in air-supported and air-inflated structures having an occupant load of 50 or more or where covering a swimming pool regardless of occupant load. The support system shall be capable of maintaining membrane structures used as a roof for Type I construction not less than 20 feet (6096 mm) above floor or seating areas. The support system shall be capable of maintaining other membranes not less than 7 feet (2134 mm) above the floor, seating area or surface of the water."
3103,Chapter 31 Special Construction,Temporary Structures,
3103.1,Section 3103 Temporary Structures,General,"The provisions of Sections 3103.1 through 3103.4 shall apply to structures erected for a period of less than 180 days. Special event structures, tents, umbrella structures and other membrane structures erected for a period of less than 180 days shall also comply with the Florida Fire Prevention Code. Those erected for a longer period of time shall comply with applicable sections of this code."
3103.1.1,Section 3103 Temporary Structures,Conformance,"Temporary structures and uses shall conform to the structural strength, fire safety, means of egress, accessibility, light, ventilation and sanitary requirements of this code as necessary to ensure public health, safety and general welfare."
3103.1.2,Section 3103 Temporary Structures,Permit Required,"Temporary structures that cover an area greater than 120 square feet (11.16 m2), including connecting areas or spaces with a common means of egress or entrance that are used or intended to be used for the gathering together of 10 or more persons, shall not be erected, operated or maintained for any purpose without obtaining a permit from the building official."
3103.2,Section 3103 Temporary Structures,Construction Documents,A permit application and construction documents shall be submitted for each installation of a temporary structure. The construction documents shall include a site plan indicating the location of the temporary structure and information delineating the means of egress and the occupant load.
3103.3,Section 3103 Temporary Structures,Location,Temporary structures shall be located in accordance with the requirements of Table 705.5 based on the fire-resistance rating of the exterior walls for the proposed type of construction.
3103.4,Section 3103 Temporary Structures,Means of Egress,Temporary structures shall conform to the means of egress requirements of Chapter 10 and shall have an exit access travel distance of 100 feet (30 480 mm) or less.
3104,Chapter 31 Special Construction,Pedestrian Walkways and Tunnels,
3104.1,Section 3104 Pedestrian Walkways and Tunnels,General,"This section shall apply to connections between buildings such as pedestrian walkways or tunnels, located at, above or below grade level, that are used as a means of travel by persons. The pedestrian walkway shall not contribute to the building area or the number of stories or height of connected buildings."
3104.1.1,Section 3104 Pedestrian Walkways and Tunnels,Application,Pedestrian walkways shall be designed and constructed in accordance with Sections 3104.2 through 3104.9. Tunnels shall be designed and constructed in accordance with Sections 3104.2 and 3104.10.
3104.2,Section 3104 Pedestrian Walkways and Tunnels,Separate Structures,Buildings connected by pedestrian walkways or tunnels shall be considered to be separate structures.Exceptions:Buildings that are on the same lot and considered as portions of a single building in accordance with Section 503.1.2.Reserved.
3104.3,Section 3104 Pedestrian Walkways and Tunnels,Construction,"The pedestrian walkway shall be of noncombustible construction.Exceptions:Combustible construction shall be permitted where connected buildings are of combustible construction.Fire-retardant-treated wood, in accordance with Section 603.1, Item 1.3, shall be permitted for the roof construction of the pedestrian walkway where connected buildings are a minimum of Type I or II construction."
3104.4,Section 3104 Pedestrian Walkways and Tunnels,Contents,Only materials and decorations approved by the building official shall be located in the pedestrian walkway.
