id,section,title,body
1,,Scope and Administration,
divider_1_1,Chapter 1 Scope and Administration,Scope and Application,
101,Chapter 1 Scope and Administration,Scope and General Requirements,
101.1,Section 101 Scope and General Requirements,Title,"These regulations shall be known as the Florida Building Code, Existing Building, hereinafter referred to as ""this code."" In addition to the provisions of this chapter, the provisions of Chapter 1, Florida Building Code, Building, shall govern the administration and enforcement of this code."
101.2,Section 101 Scope and General Requirements,Scope,"The provisions of the Florida Building Code, Existing Building shall apply to the repair, alteration, change of occupancy, addition to and the relocation of existing buildings. The provisions of the Florida Building Code, Existing Building shall also apply to existing buildings that are subject to Milestone Inspections, as defined in Chapter 2 and as required in Chapter 18. Exception: For the purpose of public educational facilities and state licensed facilities, see Chapter 4, Special Occupancy, of the Florida Building Code, Building."
101.3,Section 101 Scope and General Requirements,Intent,"The intent of this code is to provide flexibility to permit the use of alternative approaches to achieve compliance with minimum requirements to safeguard the public health, safety and welfare insofar as they are affected by the repair, alteration, change of occupancy, addition and relocation of existing buildings."
101.4,Section 101 Scope and General Requirements,Applicability,"This code shall apply to the repair, alteration, change of occupancy, addition and relocation of existing buildings, regardless of occupancy, subject to the criteria of Sections 101.4.1 and 101.4.2. This code shall also apply to existing buildings that are subject to Milestone Inspections, as defined in Chapter 2 and as required in Chapter 18."
101.4.1,Section 101 Scope and General Requirements,Buildings Not Previously Occupied,"A building or portion of a building that has not been previously occupied or used for its intended purpose in accordance with the laws in existence at the time of its completion shall be permitted to comply with the provisions of the laws in existence at the time of its original permit unless such permit has expired. Subsequent permits shall comply with the Florida Building Code, Building or Florida Building Code, Residential, as applicable, for new construction."
101.4.2,Section 101 Scope and General Requirements,Buildings Previously Occupied,"The legal occupancy of any building existing on the date of adoption of this code shall be permitted to continue without change, except as is specifically covered in this code, the Florida Fire Prevention Code, or as is deemed necessary by the code official for the general safety and welfare of the occupants and the public."
101.5,Section 101 Scope and General Requirements,Safeguards During Construction,"Construction work covered in this code, including any related demolition, shall comply with the requirements of Chapter 15."
101.6,Section 101 Scope and General Requirements,Appendices,Reserved.
101.7,Section 101 Scope and General Requirements,Correction of Violations of Other Codes,"Repairs or alterations mandated by any property, housing, or fire safety maintenance code or mandated by any licensing rule or ordinance adopted pursuant to law shall conform only to the requirements of that code, rule, or ordinance and shall not be required to conform to this code unless the code requiring such repair or alteration so provides."
101.8,Section 101 Scope and General Requirements,Existing Mechanical Equipment,An agency or local government may not require that existing mechanical equipment located on or above the surface of a roof be installed in compliance with the requirements of the Florida Building Code except during reroofing when the equipment is being replaced or moved and is not in compliance with the provisions of the Florida Building Code relating to roof-mounted mechanical units.
102,Chapter 1 Scope and Administration,Applicability,RESERVED
divider_1_2,Chapter 1 Scope and Administration,Administration and Enforcement,
103,Chapter 1 Scope and Administration,Department of Building Safety,RESERVED
104,Chapter 1 Scope and Administration,Duties and Powers of Code Official,RESERVED
105,Chapter 1 Scope and Administration,Permits,RESERVED
106,Chapter 1 Scope and Administration,Construction Documents,RESERVED
107,Chapter 1 Scope and Administration,Temporary Structures and Uses,RESERVED
108,Chapter 1 Scope and Administration,Fees,RESERVED
109,Chapter 1 Scope and Administration,Inspections,RESERVED
110,Chapter 1 Scope and Administration,Certificate of Occupancy,RESERVED
111,Chapter 1 Scope and Administration,Service Utilities,RESERVED
112,Chapter 1 Scope and Administration,Board of Appeals,RESERVED
113,Chapter 1 Scope and Administration,Violations,
113.1,Section 113 Violations,Application,The application of this section is limited in scope to buildings that are required to comply with the requirements of Chapter 18.
113.2,Section 113 Violations,Unlawful Acts,"It shall be unlawful for any person, firm or corporation to repair, alter, extend, add, move, remove, demolish or change the occupancy of any building or equipment regulated by this code or cause same to be done in conflict with or in violation of any of the provisions of this code."
113.3,Section 113 Violations,Notice of Violation,"The code official is authorized to serve a notice of violation or order on the person responsible for the repair, alteration, extension, addition, moving, removal, demolition or change in the occupancy of a building in violation of the provisions of this code or in violation of a permit or certificate issued under the provisions of this code. Such order shall direct the discontinuance of the illegal action or condition and the abatement of the violation."
113.4,Section 113 Violations,Prosecution of Violation,"If the notice of violation is not complied with promptly, the code official is authorized to request the legal counsel of the jurisdiction to institute the appropriate proceeding at law or in equity to restrain, correct or abate such violation or to require the removal or termination of the unlawful occupancy of the building or structure in violation of the provisions of this code or of the order or direction made pursuant thereto."
113.5,Section 113 Violations,Violation Penalties,Any person who violates a provision of this code or fails to comply with any of the requirements thereof or who repairs or alters or changes the occupancy of a building or structure in violation of the approved construction documents or directive of the code official or of a permit or certificate issued under the provisions of this code shall be subject to penalties as prescribed by law.
113.6,Section 113 Violations,Failure to Timely Submit the Milestone Inspection Report,"If an owner or association of a building or structure fails to timely submit the milestone inspection report to the Building Official or seek an extension request, the Building Official shall elect the choice of either a Special Magistrate or Code Enforcement Board as set forth under Florida Statutes, Section 162, et al., to conduct a hearing to address such failure. In the event an owner fails to comply with the repair and/or modification requirements as determined from the milestone inspection report as set forth herein, the structure may be deemed to be unsafe and unfit for occupation. Such findings shall be reviewed by the building official and shall be sent to the Special Magistrate, Code Enforcement Board, or Unsafe Structures Board, as appropriate."
113.7,Section 113 Violations,Revocation,"The building official may revoke, at any time, or refuse to accept a milestone inspection report if the building official determines that the written inspection report contains any misrepresentation of the actual conditions of the building or structure."
114,Chapter 1 Scope and Administration,Stop Work Order,RESERVED
115,Chapter 1 Scope and Administration,Unsafe Buildings and Equipment,
115.1,Section 115 Unsafe Buildings and Equipment,Application,The application of this section is limited in scope to buildings that are required to comply with the requirements of Chapter 18.
115.2,Section 115 Unsafe Buildings and Equipment,Unsafe Conditions,"Buildings that are or hereafter become unsafe, insanitary or deficient because of inadequate means of egress facilities, inadequate light and ventilation, or that constitute a fire hazard, or are otherwise dangerous to human life or the public welfare, or that involve illegal or improper occupancy or inadequate maintenance, shall be deemed an unsafe condition. Unsafe buildings shall be taken down and removed or made safe as the code official deems necessary and as provided for in this code. A vacant building that is not secured against unauthorized entry shall be deemed unsafe.—If an owner of the building fails to submit proof to the local enforcement agency that repairs have been scheduled or have commenced for substantial structural deterioration identified in a phase two milestone inspection report within the required timeframe, the local enforcement agency must review and determine if the building is unsafe for human occupancy."
115.3,Section 115 Unsafe Buildings and Equipment,Record,The code official shall cause a report to be filed on an unsafe condition. The report shall state the occupancy of the structure and the nature of the unsafe condition.
115.4,Section 115 Unsafe Buildings and Equipment,Notice,"If an unsafe condition is found, the code official shall serve on the owner of the building or the owner's authorized agent a written notice that describes the condition deemed unsafe and specifies the required repairs or improvements to be made to abate the unsafe condition, or that requires the unsafe building to be demolished within a stipulated time. Such notice shall require the person thus notified to declare immediately to the code official acceptance or rejection of the terms of the order."
115.5,Section 115 Unsafe Buildings and Equipment,Method of Service,"Such notice shall be deemed properly served where a copy thereof is served in accordance with one of the following methods: A copy is delivered to the owner or the owner's authorized agent personally. A copy is sent by certified or registered mail addressed to the owner at the last known address with the return receipt requested. A copy is delivered in any other manner as prescribed by local law. If the certified or registered letter is returned showing that the letter was not delivered, a copy thereof shall be posted in a conspicuous place in or about the structure affected by such notice. Service of such notice in the foregoing manner on the owner's authorized agent shall constitute service of notice on the owner."
