id,section,title,body
26,,General Plumbing Requirements,
P2601,Chapter 26 General Plumbing Requirements,General,
P2601.1,Chapter 26 General Plumbing Requirements,Scope,"The provisions of this chapter shall govern the installation of plumbing not specifically covered in other chapters applicable to plumbing systems. The installation of plumbing, appliances, equipment and systems not addressed by this code shall comply with the applicable provisions of the Florida Building Code, Plumbing."
P2601.2,Chapter 26 General Plumbing Requirements,Connections to Drainage System,"Plumbing fixtures, drains, appurtenances and appliances used to receive or discharge liquid wastes or sewage shall be directly connected to the sanitary drainage system of the building or premises, in accordance with the requirements of this code. This section shall not be construed to prevent indirect waste connections where required by the code.Exception: Bathtubs, showers, lavatories, clothes washers and laundry trays shall not be required to discharge to the sanitary drainage system where such fixtures discharge to systems complying with Sections P2910 and P2911."
P2601.3,Chapter 26 General Plumbing Requirements,Flood Hazard Areas,"In flood hazard areas as established by Table R301.2(1), plumbing fixtures, drains, and appliances shall be located or installed in accordance with Section R322.1.6."
P2602,Chapter 26 General Plumbing Requirements,Individual Water Supply and Sewage Disposal,
P2602.1,Chapter 26 General Plumbing Requirements,General,"The water-distribution and drainage system of any building or premises where plumbing fixtures are installed shall be connected to a public water supply or sewer system, respectively, if available. Where either a public water supply or sewer system, or both, are not available, or connection to them is not feasible, an individual water supply or individual (private) sewage-disposal system, or both, shall be provided. Individual water supplies shall be constructed and installed in accordance with the applicable state and local laws. Where such laws do not address all of the requirements set forth in NGWA-01, individual water supplies shall comply with NGWA-01 for those requirements not addressed by state and local laws."
P2602.2,Chapter 26 General Plumbing Requirements,Flood-Resistant Installation,In flood hazard areas as established by Table R301.2(1):Water supply systems shall be designed and constructed to prevent infiltration of floodwaters.Pipes for sewage disposal systems shall be designed and constructed to prevent infiltration of floodwaters into the systems and discharges from the systems into floodwaters.
P2603,Chapter 26 General Plumbing Requirements,Structural and Piping Protection,
P2603.1,Chapter 26 General Plumbing Requirements,General,"In the process of installing or repairing any part of a plumbing and drainage installation, the finished floors, walls, ceilings, tile work or any other part of the building or premises that must be changed or replaced shall be left in a safe structural condition in accordance with the requirements of the building portion of this code."
P2603.2,Chapter 26 General Plumbing Requirements,Drilling and Notching,"Wood-framed structural members shall not be drilled, notched or altered in any manner except as provided in Sections R502.2, R602.3, R802.7 and R802.7.1. Holes in load-bearing members of cold-formed steel light-frame construction shall be made only in accordance with Sections R505.1, R603.1 and R804.1. In accordance with the provisions in Sections R505.1, R603.1 and R804.1, cutting and notching of flanges and lips of load-bearing members of cold-formed steel light-frame construction shall be prohibited. Structural insulated panels (SIPs) shall be drilled and notched or altered in accordance with the provisions of Section R613.7."
P2603.2.1,Chapter 26 General Plumbing Requirements,Protection Against Physical Damage,"In concealed locations, where piping, other than cast-iron or galvanized steel, is installed through holes or notches in studs, joists, rafters or similar members less than 11/4 inches (31.8 mm) from the nearest edge of the member, the pipe shall be protected by steel shield plates. Such shield plates shall have a thickness of not less than 0.0575 inch (1.463 mm) (No. 16 Gage). Such plates shall cover the area of the pipe where the member is notched or bored, and shall extend not less than 2 inches (51 mm) above sole plates and below top plates."
P2603.3,Chapter 26 General Plumbing Requirements,Protection Against Corrosion,"Metallic piping, except for cast iron, ductile iron and galvanized steel, shall not be placed in direct contact with steel framing members, concrete or masonry. Metallic piping shall not be placed in direct contact with corrosive soil. Where sheathing is used to prevent direct contact, the sheathing material thickness shall be 0.010 inch (0.254 mm) and shall be made of plastic. Where sheathing protects piping that penetrates concrete or masonry walls or floors, the sheathing shall be installed in a manner that allows movement of the piping within the sheathing.Exception: Sleeving is not required for installation of CPVC into concrete or similar material."
P2603.3.1,Chapter 26 General Plumbing Requirements,Penetration,"Protective sleeves around piping penetrating concrete slab-on-grade floors shall not be of cellulose-containing materials. If soil treatment is used for subterranean termite protection, the sleeve shall have a maximum wall thickness of 0.010 inch, and be sealed within the slab using a noncorrosive clamping device to eliminate the annular space between the pipe and the sleeve. No termiticides shall be applied inside the sleeve."
P2603.4,Chapter 26 General Plumbing Requirements,Pipes Through Foundation Walls,"A pipe that passes through a foundation wall shall be provided with a relieving arch, or a pipe sleeve shall be built into the foundation wall. The sleeve shall be two pipe sizes greater than the pipe passing through the wall."
P2603.5,Chapter 26 General Plumbing Requirements,Freezing,"In localities having a winter design temperature of 32°F (0°C) or lower as shown in Table R301.2(1) of this code, a water, soil or waste pipe shall not be installed outside of a building, in exterior walls, in attics or crawl spaces, or in any other place subjected to freezing temperature unless adequate provision is made to protect it from freezing by insulation or heat or both. Water service pipe shall be installed not less than 12 inches (305 mm) deep and not less than 6 inches (152 mm) below the frost line."
P2603.5.1,Chapter 26 General Plumbing Requirements,Sewer Depth,Reserved.
P2604,Chapter 26 General Plumbing Requirements,Trenching and Backfilling,
P2604.1,Chapter 26 General Plumbing Requirements,Trenching and Bedding,"Where trenches are excavated such that the bottom of the trench forms the bed for the pipe, solid and continuous load-bearing support shall be provided between joints. Where over-excavated, the trench shall be backfilled to the proper grade with compacted earth, sand, fine gravel or similar granular material. Piping shall not be supported on rocks or blocks at any point. Rocky or unstable soil shall be over-excavated by two or more pipe diameters and brought to the proper grade with suitable compacted granular material."
P2604.2,Chapter 26 General Plumbing Requirements,Water Service and Building Sewer in Same Trench,"Where the water service piping and building sewer piping is installed in same trench, the installation shall be in accordance with Section P2906.4.1."
P2604.3,Chapter 26 General Plumbing Requirements,Backfilling,"Backfill shall be free from discarded construction material and debris. Backfill shall be free from rocks, broken concrete and frozen chunks until the pipe is covered by not less than 12 inches (305 mm) of tamped earth. Backfill shall be placed evenly on both sides of the pipe and tamped to retain proper alignment. Loose earth shall be carefully placed in the trench in 6-inch (152 mm) layers and tamped in place."
P2604.4,Chapter 26 General Plumbing Requirements,Protection of Footings,"Trenching installed parallel to footings and walls shall not extend into the bearing plane of a footing or wall. The upper boundary of the bearing plane is a line that extends downward, at an angle of 45 degrees from horizontal, from the outside bottom edge of the footing or wall."
P2605,Chapter 26 General Plumbing Requirements,Support,
