id,section,title,body
45,,Private Swimming Pools,
R4501,Chapter 45 Private Swimming Pools,General,
R4501.1.1,Chapter 45 Private Swimming Pools,"Tense, Gender and Number","For the purpose of this code, certain abbreviations, terms, phrases, words, and their derivatives shall be construed as set forth in this section. Words used in the present tense include the future. Words in the masculine gender include the feminine and neuter. Words in the feminine and neuter gender include the masculine. The singular number includes the plural and the plural number includes the singular."
R4501.1.2,Chapter 45 Private Swimming Pools,Words Not Defined,"Words not defined herein shall have the meanings stated in the Florida Building Code, Building; Florida Building Code, Mechanical; Florida Building Code, Plumbing; Florida Building Code, Fuel Gas; or Florida Fire Prevention Code. Words not defined in the Florida Building Code shall have the meanings stated in Webster's Third New International Dictionary of the English Language Unabridged."
R4501.2,Chapter 45 Private Swimming Pools,Definitions,"ABOVEGROUND/ONGROUND POOL. See ""Swimming Pool."" ADMINISTRATIVE AUTHORITY. The individual official, board, department or agency established and authorized by a state, county, city or other political subdivision created by law to administer and enforce the provisions of the swimming pool code as adopted or amended. APPROVED. Accepted or acceptable under an applicable specification stated or cited in this code, or accepted as suitable for the proposed use under procedures and power of the administrative authority. APPROVED SAFETY COVER. A manually or power-applied safety pool cover that meets all of the performance standards of ASTM International in compliance with ASTM F1346. APPROVED TESTING AGENCY. An organization primarily established for the purpose of testing to approved standards and approved by the administrative authority. BACKWASH PIPING. See ""Filter waste discharge piping."" BARRIER. A fence, dwelling wall or nondwelling wall or any combination thereof which completely surrounds the swimming pool and obstructs access to the swimming pool, especially access from the residence or from the yard outside the barrier. BODY FEED. Filter aid fed into a diatomite-type filter throughout the filtering cycle. CARTRIDGE FILTER. A filter using cartridge-type filter elements. CHEMICAL PIPING. Piping which conveys concentrated chemical solutions from a feeding apparatus to the circulation piping. CIRCULATION PIPING SYSTEM. Piping between the pool structure and the mechanical equipment. Usually includes suction piping, face piping and return piping. COMBINATION VALVE. A multipart valve intended to perform more than one function. DESIGN HEAD. Total head requirement of the circulation system at the design rate of flow. DIATOMITE (DIATOMACEOUS EARTH). A type of filter aid. DIATOMITE-TYPE FILTER. A filter designed to be used with filter aid. DIRECT ACCESS FROM THE HOME. Means any opening which discharges into the ""perimeter"" of the pool or any opening in an exterior dwelling wall, or interior wall (for indoor pools) which faces the pool. EXIT ALARM. A device that makes audible, continuous alarm sounds when any door or window which permits access from the residence to any pool that is without an intervening enclosure is opened or left ajar. FACE PIPING. Piping, with all valves and fittings, which is used to connect the filter system together as a unit. FILTER. Any apparatus by which water is clarified. FILTER AID. A nonpermanent type of filter medium or aid such as diatomite, alum, etc. FILTER CARTRIDGE. A disposable or renewable filter element which generally employs no filter aid. FILTER ELEMENT. That part of a filter which retains the filter medium. FILTER MEDIUM. Fine material which entraps the suspended particles and removes them from the water. FILTER RATE. Average rate of flow per square foot of filter area. FILTER ROCK. Specially graded rock and gravel used to support filter sand. FILTER SAND. A specially graded type of permanent filter medium. FILTER SEPTUM. That part of the filter element in a diatomite-type filter upon which a cake of diatomite or other nonpermanent filter aid may be deposited. FILTER WASTE DISCHARGE PIPING. Piping that conducts waste water from a filter to a drainage system. Connection to drainage system is made through an air gap or other approved methods. FRESH WATER. Those waters having a specific conductivity less than a solution containing 6,000 ppm of sodium chloride. HIGH RATE SAND FILTER. A sand filter designed for flows in excess of 5 gpm per square foot. HOT TUB. See ""Swimming pool."" INGROUND POOL. See ""Swimming pool."" INLET FITTING. Fitting or fixture through which circulated water enters the pool. MAIN SUCTION OUTLET. Outlet at the deep portion of the pool through which the main flow of water leaves the pool when being drained or circulated. MEDICALLY FRAIL ELDERLY PERSON. Any person who is at least 65 years of age and has a medical problem that affects balance, vision, or judgment, including but not limited to a heart condition, diabetes, or Alzheimer's disease or any related disorder. MESH SAFETY BARRIER. A combination of materials, including fabric, posts, and other hardware to form a barrier around a swimming pool. POOL. See ""Swimming pool."" POOL DEPTHS. The distance between the floor of pool and the maximum operating water level. POOL PERIMETER. The limits of the pool deck, its surrounding area including yard area on same property, and any dwelling or nondwelling wall or any combination thereof which completely surrounds the pool. POOL PLUMBING. All chemical, circulation, filter waste discharge piping, deck drainage and water filling system. PORTABLE POOL. A prefabricated pool which may be erected at the point of intended use and which may be subsequently disassembled and reerected at a new location. Generally installed on the surface of the ground and without excavation. PRECOAT. In a diatomite-type filter, the initial coating or filter aid placed on the filter septum at the start of the filter cycle. RAPID SAND FILTER. A filter designed to be used with sand as the filter medium and for flows not to exceed 5 gpm per square feet. RECEPTOR. An approved plumbing fixture or device of such material, shape and capacity as to adequately receive the discharge from indirect waste piping, so constructed and located as to be readily cleaned. RESIDENTIAL. Situated on the premises of a detached one-family or two-family dwelling or a one-family townhouse not more than three stories high. RETURN PIPING. That portion of the circulation piping which extends from the outlet side of the filters to the pool. SALINE WATER. Those waters having a specific conductivity in excess of a solution containing 6,000 ppm of sodium chloride. SEPARATION TANK. A device used to clarify filter rinse or waste water. Sometimes called a reclamation tank. SKIM FILTER. A surface skimmer combined with a vacuum diatomite filter. SPA, NONPORTABLE. See ""Swimming pool."" SPA, PORTABLE. Nonpermanent structure intended for recreational bathing, in which all controls and water heating and water circulating equipment are an integral part of the product and which is cord-connected and not permanently electrically wired. SUCTION PIPING. That portion of the circulation piping located between the pool structure and the inlet side of the pump and usually includes main outlet piping, skimmer piping, vacuum piping and surge tank piping. SURFACE SKIMMER. A device generally located in the pool wall which skims the pool surface by drawing pool water over a self-adjusting weir. SWIMMING POOL, INDOOR. A swimming pool which is totally contained within a structure and surrounded on all four sides by walls of said structure. SWIMMING POOL, OUTDOOR. Any swimming pool which is not an indoor pool. SWIMMING POOL, PRIVATE. Any structure, located in a residential area, that is intended for swimming or recreational bathing and contains water over 24 inches (610 mm) deep including but not limited to inground, aboveground, and onground swimming pools, hot tubs, and nonportable spas. SWIMMING POOL, PUBLIC. A water-tight structure of concrete, masonry, fiberglass, stainless steel or plastic which is located either indoors or outdoors, used for bathing or swimming by humans, and filled with a filtered and disinfected water supply, together with buildings, appurtenances and equipment used in connection therewith. A public swimming pool or public pool shall mean a conventional pool, spa-type pool, wading pool, special purpose pool or water recreation attraction, to which admission may be gained with or without payment of a fee and includes, pools operated by or serving camps, churches, cities, counties, day care centers, group home facilities for eight or more clients, health spas, institutions, parks, state agencies, schools, subdivisions, or the cooperative living-type projects of five or more living units, such as apartments, boarding houses, hotels, mobile home parks, motels, recreational vehicle parks and townhouses. SWIMMING POOL, RESIDENTIAL. See ""Swimming pool, private."" TURNOVER TIME. The time in hours required for the circulation system to filter and recirculate a volume of water equal to the pool volume. VACUUM FITTING. A fitting in the pool which is used as a convenient outlet for connecting the underwater suction cleaning equipment. VACUUM PIPING. The piping from the suction side of a pump connected to a vacuum fitting located at the pool and below the water level. WASTE PIPING. See ""Filter waste discharge piping."" WIDTH AND/OR LENGTH. Actual water dimension taken from wall to wall at the maximum operating water level. YOUNG CHILD. Any person under the age of 6 years."
R4501.3,Chapter 45 Private Swimming Pools,Mechanical Requirements,"Unless otherwise specified in this code, all piping, equipment and materials used in the process piping system of swimming pools that are built in place shall conform to the Florida Building Code, Plumbing."
R4501.4.1,Chapter 45 Private Swimming Pools,Compliance,"All materials, piping, valves, equipment or appliances entering into the construction of swimming pools or portions thereof shall be of a type complying with this code or of a type recommended and approved by a nationally recognized testing agency or conforming to other recognized standards acceptable to the administrative authority."
R4501.4.2,Chapter 45 Private Swimming Pools,Items Not Covered,"For any items not specifically covered in these requirements, the administrative authority is hereby authorized to require that all equipment, materials, methods of construction and design features shall be proven to function adequately, effectively and without excessive maintenance and operational difficulties."
R4501.4.2.1,Chapter 45 Private Swimming Pools,Flood Hazard Areas,Pools installed in flood hazard areas established in Section R322 shall comply with Section R322.2.4 (A Zones) or R322.3.3.1 in coastal high-hazard areas (V Zones).
R4501.4.3,Chapter 45 Private Swimming Pools,Applicant Responsibility,"It shall be the responsibility of the applicant to provide such data, tests or other adequate proof that the device, material or product will satisfactorily perform the function for which it is intended, before such item shall be approved or accepted for tests."
