id,section,title,body
6,,Wall Construction,
R601,Chapter 6 Wall Construction,General,
R601.1,Chapter 6 Wall Construction,Application,The provisions of this chapter shall control the design and construction of walls and partitions for buildings.Exception: Buildings and structures located within the High-Velocity Hurricane Zone shall comply with the provisions of Chapter 44.
R601.2,Chapter 6 Wall Construction,Requirements,Wall construction shall be capable of accommodating all loads imposed in accordance with Section R301 and of transmitting the resulting loads to the supporting structural elements.
R601.2.1,Chapter 6 Wall Construction,Compressible Floor-Covering Materials,"Compressible floor-covering materials that compress more than 1/32 inch (0.8 mm) when subjected to 50 pounds (23 kg) applied over 1 inch square (645 mm) of material and are greater than 1/8 inch (3.2 mm) in thickness in the uncompressed state shall not extend beneath walls, partitions or columns, which are fastened to the floor."
R602,Chapter 6 Wall Construction,Wood Wall Framing,
R602.1,Chapter 6 Wall Construction,General,Wood and wood-based products used for load-supporting purposes shall conform to the applicable provisions of this section.
R602.1.1,Chapter 6 Wall Construction,Sawn Lumber,"Sawn lumber shall be identified by a grade mark of an accredited lumber grading or inspection agency and have design values certified by an accreditation body that complies with DOC PS 20. In lieu of a grade mark, a certification of inspection issued by a lumber grading or inspection agency meeting the requirements of this section shall be accepted."
R602.1.2,Chapter 6 Wall Construction,End-Jointed Lumber,"Approved end-jointed lumber identified by a grade mark conforming to Section R602.1 shall be permitted to be used interchangeably with solid-sawn members of the same species and grade. End-jointed lumber used in an assembly required elsewhere in this code to have a fire-resistance rating shall have the designation ""Heat Resistant Adhesive"" or ""HRA"" included in its grade mark."
R602.1.3,Chapter 6 Wall Construction,Structural Glued-Laminated Timbers,"Glued-laminated timbers shall be manufactured and identified as required in ANSI A190.1, ANSI 117 and ASTM D3737."
R602.1.4,Chapter 6 Wall Construction,Structural Log Members,Structural log members shall comply with the provisions of ICC 400.
R602.1.5,Chapter 6 Wall Construction,Structural Composite Lumber,Structural capacities for structural composite lumber shall be established and monitored in accordance with ASTM D5456.
R602.1.6,Chapter 6 Wall Construction,Cross-Laminated Timber,Cross-laminated timber shall be manufactured and identified as required by ANSI/APA PRG 320.
R602.1.7,Chapter 6 Wall Construction,Engineered Wood Rim Board,Engineered wood rim boards shall conform to ANSI/APA PRR 410 or shall be evaluated in accordance with ASTM D7672. Structural capacities shall be in accordance with either ANSI/APA PRR 410 or established in accordance with ASTM D7672. Rim boards conforming to ANSI/APA PRR 410 shall be marked in accordance with that standard.
R602.1.8,Chapter 6 Wall Construction,Wood Structural Panels,"Wood structural panel sheathing shall conform to DOC PS 1, DOC PS 2 or, when manufactured in Canada, CSA O437 or CSA O325. Panels shall be identified for grade, bond classification, and performance category by a grade mark or certificate of inspection issued by an approved agency."
R602.1.9,Chapter 6 Wall Construction,Particleboard,Particleboard shall conform to ANSI A208.1. Particleboard shall be identified by the grade mark or certificate of inspection issued by an approved agency.
R602.1.10,Chapter 6 Wall Construction,Fiberboard,"Fiberboard shall conform to ASTM C208. Fiberboard sheathing, where used structurally, shall be identified by an approved agency as conforming to ASTM C208."
R602.1.11,Chapter 6 Wall Construction,Structural Insulated Panels,Structural insulated panels shall be manufactured and identified in accordance with ANSI/APA PRS 610.1.
R602.2,Chapter 6 Wall Construction,Grade,"Studs shall be a minimum No. 3, standard or stud grade lumber.Exception: Bearing studs not supporting floors and nonbearing studs shall be permitted to be utility grade lumber, provided the studs are spaced in accordance with Section R602.3."
R602.3,Chapter 6 Wall Construction,Design and Construction,"Exterior walls of woodframe construction shall be designed in accordance with Section R301.2.1.1 or ANSI AWC NDS.Table R602.3(1) Fastening Schedule. ReservedFigure R602.3(1) Typical Wall, Floor and Roof Framing. Reserved.Table R602.3(2) Alternate Attachments to Table R602.3(1). Reserved.Figure R602.3(2) Framing Details. Reserved.Table R602.3(3) Requirements for Wood Structural Panel Wall Sheathing Used to Resist Wind Pressures. Reserved.Table R602.3(4) Allowable Spans for Particleboard Wall Sheathing. Reserved.Table R602.3(5) Size, Height and Spacing of Wood Studs. Reserved."
R602.3.1,Chapter 6 Wall Construction,"Stud Size, Height and Spacing",Reserved.
R602.3.2,Chapter 6 Wall Construction,Top Plate,Reserved.Table R602.3.2 Single Top-Plate Splice Connection Details. Reserved.
R602.3.3,Chapter 6 Wall Construction,Bearing Studs,Reserved.
R602.3.4,Chapter 6 Wall Construction,Bottom (Sole) Plate,Reserved.
R602.3.5,Chapter 6 Wall Construction,Braced Wall Panel Uplift Load Path,Reserved.
R602.4,Chapter 6 Wall Construction,Interior Load-Bearing Walls,Reserved.
R602.5,Chapter 6 Wall Construction,Interior Nonbearing Walls,Reserved.
R602.6,Chapter 6 Wall Construction,Drilling and Notching of Studs,Reserved.Figure R602.6(1) Notching and Bored Hole Limitations for Exterior Walls and Bearing Walls. Reserved.Figure R602.6(2) Notching and Bored Hole Limitations for Interior Nonbearing Walls. Reserved.
R602.6.1,Chapter 6 Wall Construction,Drilling and Notching of Top Plate,Reserved.Figure R602.6.1 Top Plate Framing to Accommodate Piping. Reserved.
R602.7,Chapter 6 Wall Construction,Headers,Reserved.Table R602.7(1) Girder Spans and Header Spans for Exterior Bearing Walls. Reserved.Table R602.7(2) Girder Spans and Header Spans for Interior Bearing Walls. Reserved.Table R602.7(3) Girder and Header Spans for Open Porches. Reserved.
R602.7.1,Chapter 6 Wall Construction,Single Member Headers,Reserved.Figure R602.7.1(1) Single Member Header in Exterior Bearing Wall. Reserved.Figure R602.7.1(2) Alternative Single Member Header Without Cripple. Reserved.
R602.7.2,Chapter 6 Wall Construction,Rim Board Headers,Reserved.Figure R602.7.2 Rim Board Header Construction. Reserved.
R602.7.3,Chapter 6 Wall Construction,Wood Structural Panel Box Headers,Reserved.Table R602.7.3 Maximum Spans for Wood Structural Panel Box Headers. Reserved.Figure R602.7.3 Typical Wood Structural Panel Box Header Construction. Reserved.
R602.7.4,Chapter 6 Wall Construction,Nonbearing Walls,Reserved.
R602.7.5,Chapter 6 Wall Construction,Supports for Headers,Reserved.Table R602.7.5 Minimum Number of Full Height Studs at Each End of Headers in Exterior Walls. Reserved.
