id,section,title,body
8,,Roof-Ceiling Construction,
R801,Chapter 8 Roof-Ceiling Construction,General,
R801.1,Chapter 8 Roof-Ceiling Construction,Application,The provisions of this chapter shall control the design and construction of the roof-ceiling system for buildings.Exception: Buildings and structures located within the High-Velocity Hurricane Zone shall comply with the provisions of Chapter 44.
R801.2,Chapter 8 Roof-Ceiling Construction,Requirements,Roof and ceiling construction shall be capable of accommodating all loads imposed in accordance with Section R301 and of transmitting the resulting loads to the supporting structural elements.
R801.3,Chapter 8 Roof-Ceiling Construction,Roof Drainage,"In areas where expansive or collapsible soils are known to exist, all dwellings shall have a controlled method of water disposal from roofs that will collect and discharge roof drainage to the ground surface not less than 5 feet (1524 mm) from foundation walls or to an approved drainage system."
R802,Chapter 8 Roof-Ceiling Construction,Wood Roof Framing,
R802.1,Chapter 8 Roof-Ceiling Construction,General,Wood and wood-based products used for load-supporting purposes shall conform to the applicable provisions of this section.
R802.1.1,Chapter 8 Roof-Ceiling Construction,Sawn Lumber,"Sawn lumber shall be identified by a grade mark of an accredited lumber grading or inspection agency and have design values certified by an accreditation body that complies with DOC PS 20. In lieu of a grade mark, a certificate of inspection issued by a lumber grading or inspection agency meeting the requirements of this section shall be accepted."
R802.1.1.1,Chapter 8 Roof-Ceiling Construction,End-Jointed Lumber,"Approved end-jointed lumber identified by a grade mark conforming to Section R802.1.1 shall be permitted to be used interchangeably with solid-sawn members of the same species and grade. End-jointed lumber used in an assembly required elsewhere in this code to have a fire-resistance rating shall have the designation ""Heat-Resistant Adhesive"" or ""HRA"" included in its grade mark."
R802.1.2,Chapter 8 Roof-Ceiling Construction,Structural Glued Laminated Timbers,"Glued laminated timbers shall be manufactured and identified as required in ANSI A190.1, ANSI 117 and ASTM D3737."
R802.1.3,Chapter 8 Roof-Ceiling Construction,Structural Log Members,Structural log members shall comply with the provisions of ICC 400.
R802.1.4,Chapter 8 Roof-Ceiling Construction,Structural Composite Lumber,Structural capacities for structural composite lumber shall be established and monitored in accordance with ASTM D5456.
R802.1.5,Chapter 8 Roof-Ceiling Construction,Fire-Retardant-Treated Wood,"Fire-retardant-treated wood (FRTW) is any wood product that, when impregnated with chemicals by a pressure process or other means during manufacture, shall have, when tested in accordance with ASTM E84 or UL 723, a listed flame spread index of 25 or less. In addition, the ASTM E84 or UL 723 test shall be continued for an additional 20-minute period and the flame front shall not progress more than 10.5 feet (3200 mm) beyond the center line of the burners at any time during the test."
R802.1.5.1,Chapter 8 Roof-Ceiling Construction,Pressure Process,"For wood products impregnated with chemicals by a pressure process, the process shall be performed in closed vessels under pressures not less than 50 pounds per square inch gauge (psig) (344.7 kPa)."
R802.1.5.2,Chapter 8 Roof-Ceiling Construction,Other Means During Manufacture,"For wood products impregnated with chemicals by other means during manufacture, the treatment shall be an integral part of the manufacturing process of the wood product. The treatment shall provide permanent protection to all surfaces of the wood product. The use of paints, coating, stains or other surface treatments is not an approved method of protection as required by this section."
R802.1.5.3,Chapter 8 Roof-Ceiling Construction,Testing,"For fire-retardant-treated wood products, the front and back faces of the wood product shall be tested in accordance with and produce the results required in Section R802.1.5."
R802.1.5.3.1,Chapter 8 Roof-Ceiling Construction,Fire Testing of Wood Structural Panels,Wood structural panels shall be tested with a ripped or cut longitudinal gap of 1/8 inch (3.2 mm).
R802.1.5.4,Chapter 8 Roof-Ceiling Construction,Labeling,"Fire-retardant-treated lumber and wood structural panels shall be labeled. The label shall contain:The identification mark of an approved agency in accordance with Section 1703.5 of the Florida Building Code, Building.Identification of the treating manufacturer.The name of the fire-retardant treatment.The species of wood treated.Flame spread index and smoke-developed index.Method of drying after treatment.Conformance to applicable standards in accordance with Sections R802.1.5.5 through R802.1.5.10.For FRTW exposed to weather, or a damp or wet location, the words ""No increase in the listed classification when subjected to the Standard Rain Test"" (ASTM D2898)."
R802.1.5.5,Chapter 8 Roof-Ceiling Construction,Strength Adjustments,"Design values for untreated lumber and wood structural panels as specified in Section R802.1 shall be adjusted for fire-retardant-treated wood. Adjustments to design values shall be based upon an approved method of investigation that takes into consideration the effects of the anticipated temperature and humidity to which the fire-retardant-treated wood will be subjected, the type of treatment and redrying procedures."
R802.1.5.6,Chapter 8 Roof-Ceiling Construction,Wood Structural Panels,"The effect of treatment and the method of redrying after treatment, and exposure to high temperatures and high humidities on the flexure properties of fire-retardant-treated softwood plywood shall be determined in accordance with ASTM D5516. The test data developed by ASTM D5516 shall be used to develop adjustment factors, maximum loads and spans, or both for untreated plywood design values in accordance with ASTM D6305. Each manufacturer shall publish the allowable maximum loads and spans for service as floor and roof sheathing for their treatment."
R802.1.5.7,Chapter 8 Roof-Ceiling Construction,Lumber,"For each species of wood treated, the effect of the treatment and the method of redrying after treatment and exposure to high temperatures and high humidities on the allowable design properties of fire-retardant-treated lumber shall be determined in accordance with ASTM D5664. The test data developed by ASTM D5664 shall be used to develop modification factors for use at or near room temperature and at elevated temperatures and humidity in accordance with ASTM D6841. Each manufacturer shall publish the modification factors for service at temperatures of not less than 80°F (27°C) and for roof framing. The roof framing modification factors shall take into consideration the climatological location."
R802.1.5.8,Chapter 8 Roof-Ceiling Construction,Exposure to Weather,"Where fire-retardant-treated wood is exposed to weather or damp or wet locations, it shall be identified as ""Exterior"" to indicate there is not an increase in the listed flame spread index as defined in Section R802.1.5 when subjected to ASTM D2898."
R802.1.5.9,Chapter 8 Roof-Ceiling Construction,Interior Applications,Interior fire-retardant-treated wood shall have a moisture content of not over 28 percent when tested in accordance with ASTM D3201 procedures at 92-percent relative humidity. Interior fire-retardant-treated wood shall be tested in accordance with Section R802.1.5.6 or R802.1.5.7. Interior fire-retardant-treated wood designated as Type A shall be tested in accordance with the provisions of this section.
R802.1.5.10,Chapter 8 Roof-Ceiling Construction,Moisture Content,Fire-retardant-treated wood shall be dried to a moisture content of 19 percent or less for lumber and 15 percent or less for wood structural panels before use. For wood kiln dried after treatment (KDAT) the kiln temperatures shall not exceed those used in kiln drying the lumber and plywood submitted for the tests described in Section R802.1.5.6 for plywood and R802.1.5.7 for lumber.
R802.1.6,Chapter 8 Roof-Ceiling Construction,Cross-Laminated Timber,Cross-laminated timber shall be manufactured and identified as required by ANSI/APA PRG 320.
R802.1.7,Chapter 8 Roof-Ceiling Construction,Engineered Wood Rim Board,Engineered wood rim boards shall conform to ANSI/APA PRR 410 or shall be evaluated in accordance with ASTM D7672. Structural capacities shall be in accordance with ANSI/APA PRR 410 or established in accordance with ASTM D7672. Rim boards conforming to ANSI/APA PRR 410 shall be marked in accordance with that standard.
R802.1.8,Chapter 8 Roof-Ceiling Construction,Prefabricated Wood I-Joists,Structural capacities and design provisions for prefabricated wood I-joists shall be established and monitored in accordance with ASTM D5055.
