id,section,title,body
34,,Reserved Existing Buildings,"Action taken during the 2012 Code Development Process removed Chapter 34, Existing Structures, from the IBC. The provisions of this chapter are contained in the International Existing Building Code. See Section 101.4.7. (Effective January 1, 2026; GAC 110-11-1-.24)"
new_3401,Chapter 34 Reserved Existing Buildings,General,"(Effective January 1, 2026; GAC 110-11-1-.24)"
new_3401.1,Chapter 34 Reserved Existing Buildings,Scope,"The provisions of this chapter shall control the repair, alteration, change of occupancy, addition and relocation of existing buildings and structures. Exception: Detached one and two-family dwellings and townhouses not more than three stories above grade plane in height, shall comply with this chapter or the International Residential Code. (Effective January 1, 2026; GAC 110-11-1-.24)"
new_3401.2,Chapter 34 Reserved Existing Buildings,Alternative Compliance,"When approved by the building official, work performed in accordance with the International Existing Building Code shall be deemed to comply with the provisions of this chapter. (Effective January 1, 2026; GAC 110-11-1-.24)"
new_3401.3,Chapter 34 Reserved Existing Buildings,Existing Systems Conformance,"The extent to which the existing mechanical, electrical, plumbing and life safety systems shall be made to conform to the requirements of the State Minimum Standard Codes for new construction shall be as follows unless otherwise required by this section: When the estimated cost of the new work is less than fifty percent (50%) of the replacement cost of the existing system, the new work shall be brought into conformance with the requirements of the State Minimum Standard Codes for new construction. When the estimated cost of the new work is equal to or greater than fifty percent (50%) of the replacement cost of the existing system, the entire system shall be made to conform to the requirements of the State Minimum Standard Codes for new construction. For essential service facilities Occupancy Category IV type buildings as defined by Table 1604.5, when the estimated cost of the new work is equal to or greater than thirty percent (30%) of the replacement cost of the existing system, the entire system shall be made to conform to the requirements of the State Minimum Standard Codes for new construction. (Effective January 1, 2026; GAC 110-11-1-.24)"
new_3402,Chapter 34 Reserved Existing Buildings,Definitions,"(Effective January 1, 2026; GAC 110-11-1-.24)"
new_3402.1,Chapter 34 Reserved Existing Buildings,Definitions,"Unless otherwise expressly stated, words and terms shall, for the purpose of this chapter, have the meanings shown in Chapter 2 of the International Existing Building Code. (Effective January 1, 2026; GAC 110-11-1-.24)"
new_3403,Chapter 34 Reserved Existing Buildings,Provisions,"(Effective January 1, 2026; GAC 110-11-1-.24)"
new_3403.1,Chapter 34 Reserved Existing Buildings,Applicability,"The repair, alteration, change of occupancy, addition and relocation of existing buildings and structures shall comply with Chapters 3, 4, 5, 13, 14 and 16 of the International Existing Building Code. Provisions in Appendices A through E shall not apply unless specifically adopted or referenced. Exception: Section 301.3.2 shall not apply unless specifically adopted or approved. (Effective January 1, 2026; GAC 110-11-1-.24)"
new_3403.1.1,Chapter 34 Reserved Existing Buildings,Assisted Living Communities,"Existing buildings or portions of buildings proposed as a change of occupancy to Assisted Living Communities, licensed by the State, housing twenty-five or more persons, shall be allowed to meet the Georgia State Fire Marshal's Office Life Safety Code requirements for primary equivalent compliance to the International Building Code Chapters 3, 4, 8, 9, and 10. (Effective January 1, 2026; GAC 110-11-1-.24)"
new_3403.2,Chapter 34 Reserved Existing Buildings,Construction Safeguards,"Safety during construction and protection of adjacent public and private properties shall comply with Chapter 33 of this code. (Effective January 1, 2026; GAC 110-11-1-.24)"
