id,section,reference,title,depth,body
,,9,Chapter 9 Fire Protection and Life Safety Systems,0,"User notes:About this chapter: Chapter 9 prescribes the minimum requirements for active fire protection equipment systems to perform the functions of detecting a fire, alerting the occupants or fire department of a fire emergency, mass notification, gas detection, controlling smoke and controlling or extinguishing the fire. Generally, the requirements are based on the occupancy, the height and the area of the building, because these are the factors that most affect firefighting capabilities and the relative hazard of a specific building or portion thereof. This chapter parallels and is substantially duplicated in Chapter 9 of the International Fire Code®."
9,Chapter 9 Fire Protection and Life Safety Systems,901,Section 901 General,1,
9.901,Section 901 General,901.1,901.1 Scope,2,"The provisions of this chapter shall specify where fire protection and life safety systems are required and shall apply to the design, installation and operation of fire protection and life safety systems."
9.901,Section 901 General,901.2,901.2 Fire Protection Systems,2,"Fire protection and life safety systems shall be installed, repaired, operated and maintained in accordance with this code and the International Fire Code. Any fire protection or life safety system for which an exception or reduction to the provisions of this code has been granted shall be considered to be a required system. Exception: Any fire protection or life safety system or portion thereof not required by this code shall be permitted to be installed for partial or complete protection provided that such system meets the requirements of this code. Section 901.2 shall apply only as referenced by the NFPA standards. Refer to the applicable codes and standards adopted by the Georgia Safety Fire Commissioner. (Effective January 1, 2026; GAC 110-11-1-.24)"
9.901,Section 901 General,901.3,901.3 Modifications,2,"Persons shall not remove or modify any fire protection system installed or maintained under the provisions of this code or the International Fire Code without approval by the building official. Section 901.3 shall apply only as referenced by the NFPA standards. Refer to the applicable codes and standards adopted by the Georgia Safety Fire Commissioner. (Effective January 1, 2026; GAC 110-11-1-.24)"
9.901,Section 901 General,901.4,901.4 Threads,2,"Threads provided for fire department connections to automatic sprinkler systems, standpipes, yard hydrants or any other fire hose connection shall be compatible with the connections used by the local fire department. Section 901.4 shall apply only as referenced by the NFPA standards. Refer to the applicable codes and standards adopted by the Georgia Safety Fire Commissioner. (Effective January 1, 2026; GAC 110-11-1-.24)"
9.901,Section 901 General,901.5,901.5 Acceptance Tests,2,"Fire protection systems shall be tested in accordance with the requirements of this code and the International Fire Code. Where required, the tests shall be conducted in the presence of the building official. Tests required by this code, the International Fire Code and the standards listed in this code shall be conducted at the expense of the owner or the owner's authorized agent. It shall be unlawful to occupy portions of a structure until the required fire protection systems within that portion of the structure have been tested and approved. Section 901.5 shall apply only as referenced by the NFPA standards. Refer to the applicable codes and standards adopted by the Georgia Safety Fire Commissioner. (Effective January 1, 2026; GAC 110-11-1-.24)"
9.901,Section 901 General,901.6,901.6 Supervisory Service,2,"Where required, fire protection systems shall be monitored by an approved supervising station in accordance with NFPA 72. Section 901.6 shall apply only as referenced by the NFPA standards. Refer to the applicable codes and standards adopted by the Georgia Safety Fire Commissioner. (Effective January 1, 2026; GAC 110-11-1-.24)"
9.901,Section 901 General,901.6.1,901.6.1 Automatic Sprinkler Systems,3,"Automatic sprinkler systems shall be monitored by an approved supervising station. Exceptions: A supervising station is not required for automatic sprinkler systems protecting one- and two-family dwellings. Limited area systems in accordance with Section 903.3.8. Section 901.6.1 shall apply only as referenced by the NFPA standards. Refer to the applicable codes and standards adopted by the Georgia Safety Fire Commissioner. (Effective January 1, 2026; GAC 110-11-1-.24)"
9.901,Section 901 General,901.6.2,901.6.2 Fire Alarm Systems,3,"Fire alarm systems required by the provisions of Section 907.2 of this code and Sections 907.2 and 907.9 of the International Fire Code shall be monitored by an approved supervising station in accordance with Section 907.6.6 of this code. Exceptions: Single- and multiple-station smoke alarms required by Section 907.2.11. Smoke detectors in Group I-3 occupancies. Supervisory service is not required for automatic sprinkler systems in one- and two-family dwellings. Section 901.6.2 shall apply only as referenced by the NFPA standards. Refer to the applicable codes and standards adopted by the Georgia Safety Fire Commissioner. (Effective January 1, 2026; GAC 110-11-1-.24)"
