id,section,title,body
15,,Exhaust Systems,"User notes:About this chapter: Chapter 15 is specific to exhaust systems related to clothes dryers, domestic cooking, toilet rooms, bathrooms and whole-house ventilation systems. Included are requirements for exhaust discharge locations, protection of exhaust ducts from damage, exhaust duct construction, duct length limits, and exhaust termination clearances. This chapter contains prohibitions for exhaust recirculation and discharge locations and addresses the design of whole-house ventilation systems required by Chapter 3.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2024 (Group A) Code Development Cycle."
M1501,Chapter 15 Exhaust Systems,General,
M1501.1,Chapter 15 Exhaust Systems,Outdoor Discharge,"The air removed by every mechanical exhaust system shall be discharged to the outdoors in accordance with Section M1504.3. Air shall not be exhausted into an attic, soffit, ridge vent or crawl space.Exception: Whole-house ventilation-type attic fans that discharge into the attic space of dwelling units having private attics shall be permitted."
M1502,Chapter 15 Exhaust Systems,Clothes Dryer Exhaust,
M1502.1,Chapter 15 Exhaust Systems,General,Clothes dryers shall be exhausted in accordance with the manufacturer's instructions.
M1502.2,Chapter 15 Exhaust Systems,Independent Exhaust Systems,Dryer exhaust systems shall be independent of all other systems and shall convey the moisture to the outdoors.Exception: This section shall not apply to listed and labeled condensing (ductless) clothes dryers.
M1502.3,Chapter 15 Exhaust Systems,Duct Termination,"Exhaust ducts shall terminate on the outside of the building. Exhaust duct terminations shall be in accordance with the dryer manufacturer's installation instructions. If the manufacturer's instructions do not specify a termination location, the exhaust duct shall terminate not less than 3 feet (914 mm) in any direction from openings into buildings, including openings in ventilated soffits. Exhaust duct terminations shall be equipped with a backdraft damper. Screens shall not be installed at the duct termination."
M1502.3.1,Chapter 15 Exhaust Systems,Exhaust Termination Outlet and Passageway Size,The passageway of dryer exhaust duct terminals shall be undiminished in size and shall provide an open area of not less than 12.5 square inches (8065 mm2).
M1502.4,Chapter 15 Exhaust Systems,Dryer Exhaust Ducts,Dryer exhaust ducts shall conform to the requirements of Sections M1502.4.1 through M1502.4.8.
M1502.4.1,Chapter 15 Exhaust Systems,Material and Size,Exhaust ducts shall have a smooth interior finish and shall be constructed of metal not less than 0.0157 inch (0.3950 mm) in thickness (No. 28 gage). The duct shall be 4 inches (102 mm) nominal in diameter.
M1502.4.2,Chapter 15 Exhaust Systems,Duct Installation,"Exhaust ducts shall be supported at intervals not to exceed 12 feet (3658 mm) and shall be secured in place. The insert end of the duct shall extend into the adjoining duct or fitting in the direction of airflow. Exhaust duct joints shall be sealed in accordance with Section M1601.4.1 and shall be mechanically fastened. Ducts shall not be joined with screws or similar fasteners that protrude more than 1/8 inch (3.2 mm) into the inside of the duct. Where dryer exhaust ducts are enclosed in wall or ceiling cavities, such cavities shall allow the installation of the duct without deformation."
M1502.4.3,Chapter 15 Exhaust Systems,Transition Duct,Transition ducts used to connect the dryer to the exhaust duct system shall be a single length that is listed and labeled in accordance with UL 2158A. Transition ducts shall be not greater than 8 feet (2438 mm) in length. Transition ducts shall not be concealed within construction.
