id,section,reference,title,depth,body
,,1,Chapter 1 Scope and Administration,0,"User notes:About this chapter: Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections 101—102) and Part 2—Administration and Enforcement (Sections 103—116). Section 101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section 102.4).This code is intended to be adopted as a legally enforceable document and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the code official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner. Chapter 1 is largely concerned with maintaining ""due process of law"" in enforcing the building performance criteria contained in the body of the code.Code development reminder: Code change proposals to this chapter will be considered by the Administrative Code Development Committee during the 2025 (Group B) Code Development Cycle.Section 104 was revised for the 2024 edition. For complete information, see the Relocations table in the Preface of this code.QR code use: A QR code is placed at the beginning of any section that has undergone technical revision. To see those revisions, scan the QR code with a smart device or enter the 7-digit code beneath the QR code at the end of the following URL: qr.iccsafe.org/ (see Formatting Changes to the 2024 International Codes for more information)."
1,Chapter 1 Scope and Administration,divider_1_1,Part 1 Scope and Application,1,
1,Chapter 1 Scope and Administration,101,Section 101 Scope and General Requirements,1,
1.101,Section 101 Scope and General Requirements,101.2,[A]  101.2 Scope,2,"The provisions of this code apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, maintenance, removal and demolition of every building or structure or any appurtenances connected or attached to such buildings or structures. Exception: Detached one- and two-family dwellings and multiple single-family dwellings (townhouses) not more than three stories above grade plane in height with a separate means of egress and their accessory structures shall comply with the rule 661—301.8(103A), as amended by rule 661—301.8(103A)."
1.101,Section 101 Scope and General Requirements,101.2.1,[A]  101.2.1 Appendices,3,Provisions in the appendices shall not apply unless specifically adopted.
1.101,Section 101 Scope and General Requirements,101.3,[A]  101.3 Purpose,2,"The purpose of this code is to establish the minimum requirements to provide a reasonable level of safety, health and general welfare through structural strength, means of egress, stability, sanitation, light and ventilation, energy conservation, and for providing a reasonable level of life safety and property protection from the hazards of fire, explosion or dangerous conditions, and to provide a reasonable level of safety to fire fighters and emergency responders during emergency operations."
1.101,Section 101 Scope and General Requirements,101.4,[A]  101.4 Referenced Codes,2,The other codes specified in Sections 101.4.1 through 101.4.7 and referenced elsewhere in this code shall be considered to be part of the requirements of this code to the prescribed extent of each such reference.
1.101,Section 101 Scope and General Requirements,101.4.7,[A]  101.4.7 Existing Buildings,3,"The provisions of the International Existing Building Code shall apply to matters governing the repair, alteration, change of occupancy, addition to and relocation of existing buildings."
1,Chapter 1 Scope and Administration,102,Section 102 Applicability,1,
1.102,Section 102 Applicability,102.1,[A]  102.1 General,2,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
