id,section,reference,title,depth,body
,,19,Chapter 19 Concrete,0,"User notes:About this chapter: Chapter 19 provides minimum accepted practices for the design and construction of buildings and structural components using concrete—both plain and reinforced. Chapter 19 relies primarily on the reference to American Concrete Institute (ACI) 318, Building Code Requirements for Structural Concrete. Structural concrete must be designed and constructed to comply with this code and all listed standards. There are also specific provisions addressing slabs-on-ground and shotcrete.This chapter was extensively reorganized for the 2024 edition. For complete information, see the relocations table in the Preface information of this code.Code development reminder: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2025 (Group B) Code Development Cycle."
19,Chapter 19 Concrete,1901,Section 1901 General,1,
19.1901,Section 1901 General,1901.1,1901.1 Scope,2,"The provisions of this chapter shall govern the materials, quality control, design and construction of concrete used in structures."
19.1901,Section 1901 General,1901.2,1901.2 Plain and Reinforced Concrete,2,Structural concrete shall be designed and constructed in accordance with the requirements of this chapter and ACI 318 as supplemented in Section 1905 of this code.
19.1901,Section 1901 General,1901.2.1,1901.2.1 Structural Concrete With GFRP Reinforcement,3,Cast-in-place structural concrete internally reinforced with glass fiber reinforced polymer (GFRP) reinforcement conforming to ASTM D7957 and designed in accordance with ACI CODE 440.11 shall be permitted where fire-resistance ratings are not required and only for structures assigned to Seismic Design Category A.
19.1901,Section 1901 General,1901.3,1901.3 Anchoring to Concrete,2,"Anchoring to concrete shall be in accordance with ACI 318 as supplemented in Section 1905, and applies to cast-in (headed bolts, headed studs and hooked J- or L-bolts), post-installed expansion (torque-controlled and displacement-controlled), undercut, screw, and adhesive anchors."
19.1901,Section 1901 General,1901.4,"1901.4 Composite Structural Steel and Concrete <span class=""u-italic"">Structures</span>",2,Systems of structural steel acting compositely with reinforced concrete shall be designed in accordance with Section 2202 of this code.
19.1901,Section 1901 General,1901.5,1901.5 Construction Documents,2,"The construction documents for structural concrete construction shall include: The specified compressive strength of concrete at the stated ages or stages of construction for which each concrete element is designed. The specified strength or grade of reinforcement. The size and location of structural elements, reinforcement and anchors. Provision for dimensional changes resulting from creep, shrinkage and temperature. The magnitude and location of prestressing forces. Anchorage length of reinforcement and location and length of lap splices. Type and location of mechanical and welded splices of reinforcement. Details and location of contraction or isolation joints specified for plain concrete. Minimum concrete compressive strength at time of posttensioning. Stressing sequence for posttensioning tendons. For structures assigned to Seismic Design Category D, E or F, a statement if slab on grade is designed as a structural diaphragm."
19.1901,Section 1901 General,1901.6,1901.6 Special Inspections and Tests,2,Special inspections and tests of concrete elements of buildings and structures and concreting operations shall be as required by Chapter 17.
19.1901,Section 1901 General,1901.7,1901.7 Tolerances for Structural Concrete,2,"Where not indicated in construction documents, structural tolerances for concrete structural elements shall be in accordance with this section."
19.1901,Section 1901 General,1901.7.1,1901.7.1 Cast-in-Place Concrete Tolerances,3,Structural tolerances for cast-in-place concrete structural elements shall be in accordance with ACI 117. Exceptions: Group R-3 detached one- or two-family dwellings are not required to comply with this section. Shotcrete is not required to comply with this section.
19.1901,Section 1901 General,1901.7.2,1901.7.2 Precast Concrete Tolerances,3,Structural tolerances for precast concrete structural elements shall be in accordance with ACI ITG-7. Exception: Group R-3 detached one- or two-family dwellings are not required to comply with this section.
