id,section,reference,title,depth,body
,,30,Chapter 30 Elevators and Conveying Systems,0,User notes: About this chapter: Chapter 30 contains the provisions that regulate vertical and horizontal transportation and material-handling systems installed in buildings. This chapter also provides several elements that protect occupants and assist emergency responders during fires. Code development reminder: Code change proposals to sections preceded by the designation [F] and [BE] will be considered by a code development committee meeting during the 2024 (Group A) Code Development Cycle. All other code change proposals will be considered by a code development committee meeting during the 2025 (Group B) Code Development Cycle.
30,Chapter 30 Elevators and Conveying Systems,3001,Section 3001 General,1,
30.3001,Section 3001 General,3001.1,3001.1 Scope,2,"This chapter governs the design, construction, installation, alteration and repair of elevators and conveying systems and their components."
30.3001,Section 3001 General,3001.2,3001.2 Elevator Emergency Communication Systems,2,"An elevator emergency two-way communication system that includes both visual and audible communication modes complying with the requirements in ASME A17.1/CSA B44 shall be provided in each elevator car. The system shall provide a means to enable authorized personnel to verify:The presence of someone in the car.That the person(s) is trapped.Once an entrapment is verified, the system shall enable authorized personnel to: Determine if assistance is needed.Communicate when help is on the way.Communicate when help arrives on site."
30.3001,Section 3001 General,3001.3,3001.3 Referenced Standards,2,"The design, construction, installation, alteration, repair and maintenance of elevators and conveying systems and their components shall conform to the applicable standard specified in Table 3001.3 and Section 3001.6.Notwithstanding the references in Chapter 35 to editions of national standards adopted in this section, any editions of these standards adopted by the elevator safety board in 481—Chapter 372 are hereby adopted by reference. If a standard is adopted by reference in this section and there is no adoption by reference of the same standard in 481—Chapter 372, the adoption by reference in this section is of the edition identified in Chapter 35.TABLE 3001.3ELEVATORS AND CONVEYING SYSTEMS AND COMPONENTS TYPE STANDARD Automotive lifts ALI ALCTV Belt manlifts ASME A90.1 Conveyors and related equipment ASME B20.1 Elevators, escalators, dumbwaiters, moving walks, material lifts ASME A17.1/CSA B44, ASME A17.7/CSA B44.7 Industrial scissor lifts ANSI MH29.1 Platform lifts, stairway chairlifts, wheelchair lifts ASME A18.1"
30.3001,Section 3001 General,3001.4,[BE]  3001.4 Accessibility,2,Passenger elevators required to be accessible or to serve as part of an accessible means of egress shall comply with Sections 1009 and 1110.10.
30.3001,Section 3001 General,3001.5,3001.5 Change in Use,2,"A change in use of an elevator from freight to passenger, passenger to freight, or from one freight class to another freight class shall comply with Section 8.7 of ASME A17.1/CSA B44."
30.3001,Section 3001 General,3001.6,3001.6 Structural Design,2,"All interior and exterior elevators, escalators and other conveying systems and their components shall comply with all applicable design loading criteria in Chapter 16, including wind, flood and seismic loads established in Sections 1609, 1612 and 1613."
30,Chapter 30 Elevators and Conveying Systems,3002,Section 3002 Hoistway Enclosures,1,
30.3002,Section 3002 Hoistway Enclosures,3002.1,3002.1 Hoistway Protection,2,"A hoistway for elevators, dumbwaiters and other vertical-access devices shall comply with Sections 712 and 713. Where the hoistway is required to be enclosed, it shall be constructed as a shaft enclosure in accordance with Section 713."
30.3002,Section 3002 Hoistway Enclosures,3002.1.1,3002.1.1 Opening Protectives,3,Openings in fire-resistance-rated hoistway enclosures shall be protected as required in Chapter 7.Exception: The elevator car doors and the associated hoistway doors at the floor level designated for recall in accordance with Section 3003.2 shall be permitted to remain open during Phase I Emergency Recall Operation.
30.3002,Section 3002 Hoistway Enclosures,3002.1.2,3002.1.2 Hardware,3,"Hardware on elevator hoistway doors shall be of an approved type installed as tested, except that approved interlocks, mechanical locks and electric contacts, door and gate electric contacts and door-operating mechanisms shall be exempt from the fire test requirements."
30.3002,Section 3002 Hoistway Enclosures,3002.2,3002.2 Number of Elevator Cars in a Hoistway,2,"Where four or more elevator cars serve all or the same portion of a building, the elevators shall be located in not fewer than two separate fire-resistance-rated hoistways. Not more than four elevator cars shall be located in any single fire-resistance-rated hoistway enclosure."
30.3002,Section 3002 Hoistway Enclosures,3002.3,3002.3 Emergency Signs,2,"A pictorial sign of a standardized design shall be posted adjacent to each elevator call station on all floors instructing occupants to use the exit stairways and not to use the elevators in case of fire. Where elevators are not a component of the accessible means of egress, the sign shall read: IN CASE OF FIRE, ELEVATORS ARE OUT OF SERVICE. USE EXIT. Where the elevator is a component of the accessible means of egress, a sign complying with Section 1009.11 shall be provided.Exception: The emergency sign shall not be required for elevators that are used for occupant self-evacuation in accordance with Section 3008."
30.3002,Section 3002 Hoistway Enclosures,3002.4,3002.4 Elevator Car to Accommodate Ambulance Stretcher,2,"Where elevators are provided in buildings four or more stories above, or four or more stories below, grade plane, not fewer than one elevator shall be provided for fire department emergency access to all floors. The elevator car shall be of such a size and arrangement to accommodate an ambulance stretcher 24 inches by 84 inches (610 mm by 2134 mm) with not less than 5-inch (127 mm) radius corners, in the horizontal, open position and shall be identified by the international symbol for emergency medical services (star of life). The symbol shall be not less than 3 inches (76 mm) in height and shall be placed inside on both sides of the hoistway door frame."
30.3002,Section 3002 Hoistway Enclosures,3002.5,3002.5 Emergency Doors,2,"Where an elevator is installed in a single blind hoistway or on the outside of a building, there shall be installed in the blind portion of the hoistway or blank face of the building, an emergency door in accordance with ASME A17.1/CSA B44."
30.3002,Section 3002 Hoistway Enclosures,3002.6,3002.6 Prohibited Doors or Other Devices,2,"Doors or other devices, other than the elevator car door and the associated elevator hoistway doors, shall be prohibited at the point of access to an elevator car unless such doors or other devices are readily openable from inside the car without a key, tool, special knowledge or effort."
30.3002,Section 3002 Hoistway Enclosures,3002.7,"3002.7 Common Enclosure With <span class=""u-italic"">Stairway</span>",2,Elevators shall not be in a common shaft enclosure with a stairway. Exception: Elevators within open parking garages need not be separated from stairway enclosures.
30.3002,Section 3002 Hoistway Enclosures,3002.8,3002.8 Glass in Elevator Enclosures,2,Glass in elevator enclosures shall comply with Section 2409.2.
30.3002,Section 3002 Hoistway Enclosures,3002.9,3002.9 Plumbing and Mechanical Systems,2,"Plumbing and mechanical systems shall not be located in an elevator hoistway enclosure.Exception: Floor drains, sumps and sump pumps shall be permitted at the base of the hoistway enclosure provided that they are indirectly connected to the plumbing system."
30,Chapter 30 Elevators and Conveying Systems,3003,Section 3003 Emergency Operations,1,
30.3003,Section 3003 Emergency Operations,3003.1,[F]  3003.1 Standby Power,2,"In buildings and structures where standby power is required or furnished to operate an elevator, the operation shall be in accordance with Sections 3003.1.1 through 3003.1.4."
30.3003,Section 3003 Emergency Operations,3003.1.1,[F]  3003.1.1 Manual Transfer,3,Standby power shall be manually transferable to all elevators in each bank.
30.3003,Section 3003 Emergency Operations,3003.1.2,[F]  3003.1.2 One Elevator,3,"Where only one elevator is installed, the elevator shall automatically transfer to standby power within 60 seconds after failure of normal power."
30.3003,Section 3003 Emergency Operations,3003.1.3,[F]  3003.1.3 Two or More Elevators,3,"Where two or more elevators are controlled by a common operating system, all elevators shall automatically transfer to standby power within 60 seconds after failure of normal power where the standby power source is of sufficient capacity to operate all elevators at the same time. Where the standby power source is not of sufficient capacity to operate all elevators at the same time, all elevators shall transfer to standby power in sequence, return to the designated landing and disconnect from the standby power source. After all elevators have been returned to the designated level, not less than one elevator shall remain operable from the standby power source."
30.3003,Section 3003 Emergency Operations,3003.1.4,[F]  3003.1.4 Venting,3,"Where standby power is connected to elevators, the machine room ventilation or air conditioning shall be connected to the standby power source."
30.3003,Section 3003 Emergency Operations,3003.2,[F]  3003.2 Fire Fighters' Emergency Operation,2,Elevators shall be provided with Phase I emergency recall operation and Phase II emergency in-car operation in accordance with ASME A17.1/CSA B44.
30.3003,Section 3003 Emergency Operations,3003.3,[F]  3003.3 Standardized Fire Service Elevator Keys,2,All elevators shall be equipped to operate with a standardized fire service elevator key in accordance with the International Fire Code.
30,Chapter 30 Elevators and Conveying Systems,3004,Section 3004 Conveying Systems,1,
30.3004,Section 3004 Conveying Systems,3004.1,3004.1 General,2,"Escalators, moving walks, conveyors, personnel hoists and material hoists shall comply with the provisions of Sections 3004.2 through 3004.4."
30.3004,Section 3004 Conveying Systems,3004.2,3004.2 Escalators and Moving Walks,2,"Escalators and moving walks shall be constructed of approved noncombustible and fire-retardant materials. This requirement shall not apply to electrical equipment, wiring, wheels, handrails and the use of 1/28-inch (0.9 mm) wood veneers on balustrades backed up with noncombustible materials."
30.3004,Section 3004 Conveying Systems,3004.2.1,3004.2.1 Enclosure,3,Escalator floor openings shall be enclosed with shaft enclosures complying with Section 713.
30.3004,Section 3004 Conveying Systems,3004.2.2,3004.2.2 Escalators,3,"Where provided in below-grade transportation stations, escalators shall have a clear width of not less than 32 inches (815 mm)."
30.3004,Section 3004 Conveying Systems,3004.3,3004.3 Conveyors,2,Conveyors and conveying systems shall comply with ASME B20.1.
30.3004,Section 3004 Conveying Systems,3004.3.1,3004.3.1 Enclosure,3,Conveyors and related equipment connecting successive floors or levels shall be enclosed with shaft enclosures complying with Section 713.
30.3004,Section 3004 Conveying Systems,3004.3.2,3004.3.2 Conveyor Safeties,3,"Power-operated conveyors, belts and other material-moving devices shall be equipped with automatic limit switches that will shut off the power in an emergency and automatically stop all operation of the device."
30.3004,Section 3004 Conveying Systems,3004.4,3004.4 Personnel and Material Hoists,2,"Personnel and material hoists shall be designed utilizing an approved method that accounts for the conditions imposed during the intended operation of the hoist device. The design shall include, but is not limited to, anticipated loads, structural stability, impact, vibration, stresses and seismic restraint. The design shall account for the construction, installation, operation and inspection of the hoist tower, car, machinery and control equipment, guide members and hoisting mechanism. Additionally, the design of personnel hoists shall include provisions for field testing and maintenance that will demonstrate that the hoist device functions in accordance with the design. Field tests shall be conducted upon the completion of an installation or following a major alteration of a personnel hoist."
30,Chapter 30 Elevators and Conveying Systems,3005,Section 3005 Machine Rooms,1,
30.3005,Section 3005 Machine Rooms,3005.1,3005.1 Access,2,"An approved means of access shall be provided to elevator machine rooms, control rooms, control spaces and machinery spaces."
30.3005,Section 3005 Machine Rooms,3005.2,3005.2 Temperature Control,2,"Elevator machine rooms, machinery spaces that contain the driving machine, and control rooms or spaces that contain the operation or motion controller for elevator operation shall be provided with an independent ventilation or air-conditioning system to protect against the overheating of the electrical equipment. The system shall be capable of maintaining temperatures within the range established for the elevator equipment."
