id,section,title,body
1,,Scope and Administration,See the administrative provisions of N.J.A.C. 5:23.
divider_1_1,Chapter 1 Scope and Administration,Scope and Application,
R101,Chapter 1 Scope and Administration,Scope and General Requirements,
R102,Chapter 1 Scope and Administration,Applicability,
divider_1_2,Chapter 1 Scope and Administration,Administration and Enforcement,
R103,Chapter 1 Scope and Administration,Department of Building Safety,
R104,Chapter 1 Scope and Administration,Duties and Powers of the Building Official,
R105,Chapter 1 Scope and Administration,Permits,
R106,Chapter 1 Scope and Administration,Construction Documents,
R107,Chapter 1 Scope and Administration,Temporary Structures and Uses,
R108,Chapter 1 Scope and Administration,Fees,
R109,Chapter 1 Scope and Administration,Inspections,
R110,Chapter 1 Scope and Administration,Certificate of Occupancy,
R111,Chapter 1 Scope and Administration,Service Utilities,
R112,Chapter 1 Scope and Administration,Board of Appeals,
R113,Chapter 1 Scope and Administration,Violations,
R114,Chapter 1 Scope and Administration,Stop Work Order,
