id,section,title,body
30,,Sanitary Drainage,"Plumbing requirements under the scope of this subcode shall be regulated by the plumbing subcode, N.J.A.C. 5:23-3.15."
P3001,Chapter 30 Sanitary Drainage,General,
P3002,Chapter 30 Sanitary Drainage,Materials,
P3003,Chapter 30 Sanitary Drainage,Joints and Connections,
P3004,Chapter 30 Sanitary Drainage,Determining Drainage Fixture Units,
P3005,Chapter 30 Sanitary Drainage,Drainage System,
P3006,Chapter 30 Sanitary Drainage,Sizing of Drain Pipe Offsets,
P3007,Chapter 30 Sanitary Drainage,Sumps and Ejectors,
P3008,Chapter 30 Sanitary Drainage,Backwater Valves,
P3009,Chapter 30 Sanitary Drainage,Graywater Soil Absorption Systems,
P3010,Chapter 30 Sanitary Drainage,Replacement of Underground Building Sewers and Building Drains by Pipe Bursting Methods,
P3011,Chapter 30 Sanitary Drainage,Relining of Building Sewers and Building Drains,
