id,section,title,body
39,,Power and Lighting Distribution,"Electrical requirements under the scope of this subcode shall be regulated by the electrical subcode, N.J.A.C. 5:23-3.16."
E3901,Chapter 39 Power and Lighting Distribution,Receptacle Outlets,
E3902,Chapter 39 Power and Lighting Distribution,Ground-Fault and Arc-Fault Circuit-Interrupter Protection,
E3903,Chapter 39 Power and Lighting Distribution,Lighting Outlets,
E3904,Chapter 39 Power and Lighting Distribution,General Installation Requirements,
E3905,Chapter 39 Power and Lighting Distribution,"Boxes, Conduit Bodies and Fittings",
E3906,Chapter 39 Power and Lighting Distribution,"Installation of Boxes, Conduit Bodies and Fittings",
E3907,Chapter 39 Power and Lighting Distribution,Cabinets and Panelboards,
E3908,Chapter 39 Power and Lighting Distribution,Grounding and Bonding,
E3909,Chapter 39 Power and Lighting Distribution,Flexible Cords and Flexible Cables,
