id,section,title,body
42,,Swimming Pools,"Electrical requirements under the scope of this subcode shall be regulated by the electrical subcode, N.J.A.C. 5:23-3.16."
E4201,Chapter 42 Swimming Pools,General,
E4202,Chapter 42 Swimming Pools,"Wiring Methods for Pools, Spas, Hot Tubs and Hydromassage Bathtubs",
E4203,Chapter 42 Swimming Pools,Equipment Location and Clearances,
E4204,Chapter 42 Swimming Pools,Equipotential Bonding,
E4205,Chapter 42 Swimming Pools,Bonding and Grounding,
E4206,Chapter 42 Swimming Pools,Equipment Installation,
E4207,Chapter 42 Swimming Pools,"Storable Swimming Pools, Storable Spas and Storable Hot Tubs",
E4208,Chapter 42 Swimming Pools,Spas and Hot Tubs,
E4209,Chapter 42 Swimming Pools,Hydromassage Bathtubs,
