id,section,title,body
8,,Roof-Ceiling Construction,"User note:About this chapter: Chapter 8 addresses the design and construction of roof-ceiling systems. This chapter contains two roof-ceiling framing systems: wood framing and cold-formed steel framing. Allowable span tables are provided to simplify the selection of rafter and ceiling joist size for wood roof framing and cold-formed steel framing. Chapter 8 also provides requirements for the application of ceiling finishes, the proper ventilation of concealed spaces in roofs (for example, enclosed attics and rafter spaces), unvented attic assemblies and attic access."
R801,Chapter 8 Roof-Ceiling Construction,General,
R801.1,Chapter 8 Roof-Ceiling Construction,Application,The provisions of this chapter shall control the design and construction of the roof-ceiling system for buildings.
R801.2,Chapter 8 Roof-Ceiling Construction,Requirements,Roof and ceiling construction shall be capable of accommodating all loads imposed in accordance with Section R301 and of transmitting the resulting loads to the supporting structural elements.
R801.3,Chapter 8 Roof-Ceiling Construction,Roof Drainage,"In areas where expansive soils or collapsible soils are known to exist, all dwellings shall have a controlled method of water disposal from roofs that will collect and discharge roof drainage to the ground surface not less than 5 feet (1524 mm) from foundation walls or to an approved drainage system."
R802,Chapter 8 Roof-Ceiling Construction,Wood Roof Framing,
R802.1,Chapter 8 Roof-Ceiling Construction,General,Wood and wood-based products used for load-supporting purposes shall conform to the applicable provisions of this section.
R802.1.1,Chapter 8 Roof-Ceiling Construction,Sawn Lumber,"Sawn lumber shall be identified by a grade mark of an accredited lumber grading or inspection agency and have design values certified by an accreditation body that complies with DOC PS 20. In lieu of a grade mark, a certificate of inspection issued by a lumber grading or inspection agency meeting the requirements of this section shall be accepted."
R802.1.1.1,Chapter 8 Roof-Ceiling Construction,End-Jointed Lumber,"Approved end-jointed lumber identified by a grade mark conforming to Section R802.1.1 shall be permitted to be used interchangeably with solid-sawn members of the same species and grade. End-jointed lumber used in an assembly required elsewhere in this code to have a fire-resistance rating shall have the designation ""Heat-Resistant Adhesive"" or ""HRA"" included in its grade mark."
R802.1.2,Chapter 8 Roof-Ceiling Construction,Structural Glued-Laminated Timbers,"Glued-laminated timbers shall be manufactured and identified as required in ANSI A190.1, ANSI 117 and ASTM D3737."
R802.1.3,Chapter 8 Roof-Ceiling Construction,Structural Log Members,Structural log members shall comply with the provisions of ICC 400.
R802.1.4,Chapter 8 Roof-Ceiling Construction,Structural Composite Lumber,Structural capacities for structural composite lumber shall be established and monitored in accordance with ASTM D5456.
R802.1.5,Chapter 8 Roof-Ceiling Construction,Fire-Retardant-Treated Wood,"Fire-retardant-treated wood (FRTW) is any wood product that, when impregnated with chemicals by a pressure process or other means during manufacture, shall have, when tested in accordance with ASTM E84 or UL 723, a listed flame spread index of 25 or less. In addition, the ASTM E84 or UL 723 test shall be continued for an additional 20-minute period and the flame front shall not progress more than 10.5 feet (3200 mm) beyond the center line of the burners at any time during the test."
R802.1.5.1,Chapter 8 Roof-Ceiling Construction,Pressure Process,"For wood products impregnated with chemicals by a pressure process, the process shall be performed in closed vessels under pressures not less than 50 pounds per square inch gauge (psig) (344.7 kPa)."
R802.1.5.2,Chapter 8 Roof-Ceiling Construction,Other Means During Manufacture,"For wood products impregnated with chemicals by other means during manufacture, the treatment shall be an integral part of the manufacturing process of the wood product. The treatment shall provide permanent protection to all surfaces of the wood product. The use of paints, coating, stains or other surface treatments is not an approved method of protection as required by this section."
R802.1.5.3,Chapter 8 Roof-Ceiling Construction,Testing,"For fire-retardant-treated wood products, the front and back faces of the wood product shall be tested in accordance with and produce the results required in Section R802.1.5."
R802.1.5.3.1,Chapter 8 Roof-Ceiling Construction,Fire Testing of Wood Structural Panels,Wood structural panels shall be tested with a ripped or cut longitudinal gap of 1/8 inch (3.2 mm).
R802.1.5.4,Chapter 8 Roof-Ceiling Construction,Labeling,"In addition to the labels required by Section 802.1.1 for sawn lumber and Section 803.2.1 for wood structural panels, each piece of fire-retardant-treated lumber and wood structural panel shall be labeled. The label shall contain:The identification mark of an approved agency in accordance with Section 1703.5 of the International Building Code.Identification of the treating manufacturer.The name of the fire-retardant treatment.The species of wood treated.Flame spread index and smoke-developed index.Method of drying after treatment.Conformance to applicable standards in accordance with Sections R802.1.5.5 through R802.1.5.10.For FRTW exposed to weather, or a damp or wet location, the words ""No increase in the listed classification when subjected to the Standard Rain Test"" (ASTM D2898)."
