id,section,reference,displayTitle,depth,body
,,14,Chapter 14 Exterior Walls,0,"User notes: About this chapter: Chapter 14 addresses requirements for exterior walls of buildings. Minimum standards for wall covering materials, such as material performance and fire resistance, installation of wall coverings and the ability of the wall to provide weather protection are provided. This chapter also contains limitations on the areas and heights of combustible wall coverings based on fire separation distances, radiant heat exposure and surface burning characteristics. Code development reminder: Code change proposals to sections preceded by the designation [BS] will be considered by the IBC—Structural Code Development Committee during the 2019 (Group B) Code Development Cycle. See explanation on page iv."
14,Chapter 14 Exterior Walls,1401,Section 1401 General,1,
14.1401,Section 1401 General,1401.1,1401.1 Scope,2,The provisions of this chapter shall establish the minimum requirements for exterior walls; exterior wall coverings; exterior wall openings; exterior windows and doors; and architectural trim.
14,Chapter 14 Exterior Walls,1402,Section 1402 Performance Requirements,1,
14.1402,Section 1402 Performance Requirements,1402.1,1402.1 General,2,"The provisions of this section shall apply to exterior walls, wall coverings and components thereof."
14.1402,Section 1402 Performance Requirements,1402.2,1402.2 Weather Protection,2,"Exterior walls shall provide the building with a weather-resistant exterior wall envelope. The exterior wall envelope shall include flashing, as described in Section 1404.4. The exterior wall envelope shall be designed and constructed in such a manner as to prevent the accumulation of water within the wall assembly by providing a water-resistive barrier behind the exterior veneer, as described in Section 1403.2, and a means for draining water that enters the assembly to the exterior. Protection against condensation in the exterior wall assembly shall be provided in accordance with Section 1404.3. Exceptions: A weather-resistant exterior wall envelope shall not be required over concrete or masonry walls designed in accordance with Chapters 19 and 21, respectively. Compliance with the requirements for a means of drainage, and the requirements of Sections 1403.2 and 1404.4, shall not be required for an exterior wall envelope that has been demonstrated through testing to resist wind-driven rain, including joints, penetrations and intersections with dissimilar materials, in accordance with ASTM E331 under the following conditions: Exterior wall envelope test assemblies shall include not fewer than one opening, one control joint, one wall/eave interface and one wall sill. Tested openings and penetrations shall be representative of the intended end-use configuration. Exterior wall envelope test assemblies shall be not less than 4 feet by 8 feet (1219 mm by 2438 mm) in size. Exterior wall envelope assemblies shall be tested at a minimum differential pressure of 6.24 pounds per square foot (psf) (0.297 kN/m2). Exterior wall envelope assemblies shall be subjected to a minimum test exposure duration of 2 hours. The exterior wall envelope design shall be considered to resist wind-driven rain where the results of testing indicate that water did not penetrate control joints in the exterior wall envelope, joints at the perimeter of openings or intersections of terminations with dissimilar materials. Exterior insulation and finish systems (EIFS) complying with Section 1407.4.1."
14.1402,Section 1402 Performance Requirements,1402.3,[BS]  1402.3 Structural,2,"Exterior walls, and the associated openings, shall be designed and constructed to resist safely the superimposed loads required by Chapter 16."
14.1402,Section 1402 Performance Requirements,1402.4,1402.4 Fire Resistance,2,Exterior walls shall be fire-resistance rated as required by other sections of this code with opening protection as required by Chapter 7.
14.1402,Section 1402 Performance Requirements,1402.5,1402.5 Vertical and Lateral Flame Propagation,2,"Exterior walls on buildings of Type I, II, III or IV construction that are greater than 40 feet (12 192 mm) in height above grade plane and contain a combustible water-resistive barrier shall be tested in accordance with and comply with the acceptance criteria of NFPA 285. For the purposes of this section, fenestration products, flashing of fenestration products and water-resistive-barrier flashing and accessories at other locations, including through wall flashings, shall not be considered part of the water-resistive barrier.Exceptions:Walls in which the water-resistive barrier is the only combustible component and the exterior wall has a wall covering of brick, concrete, stone, terra cotta, stucco or steel with minimum thicknesses in accordance with Table 1404.2. Walls in which the water-resistive barrier is the only combustible component and the water-resistive barrier has a peak heat release rate of less than 150 kW/m2, a total heat release of less than 20 MJ/m2 and an effective heat of combustion of less than 18 MJ/kg as determined in accordance with ASTM E1354 and has a flame spread index of 25 or less and a smoke-developed index of 450 or less as determined in accordance with ASTM E84 or UL 723. The ASTM E1354 test shall be conducted on specimens at the thickness intended for use, in the horizontal orientation and at an incident radiant heat flux of 50 kW/m2."
14.1402,Section 1402 Performance Requirements,1402.6,[BS]  1402.6 Flood Resistance,2,"For buildings in flood hazard areas as established in Section 1612.3, exterior walls extending below the elevation required by Section 1612 shall be constructed with flood-damage-resistant materials."
14.1402,Section 1402 Performance Requirements,1402.7,[BS]  1402.7 Flood Resistance for Coastal High-Hazard Areas and Coastal A Zones,2,"For buildings in coastal high-hazard areas and coastal A zones as established in Section 1612.3, electrical, mechanical and plumbing system components shall not be mounted on or penetrate through exterior walls that are designed to break away under flood loads."
14,Chapter 14 Exterior Walls,1403,Section 1403 Materials,1,
14.1403,Section 1403 Materials,1403.1,1403.1 General,2,"Materials used for the construction of exterior walls shall comply with the provisions of this section. Materials not prescribed herein shall be permitted, provided that any such alternative has been approved."
14.1403,Section 1403 Materials,1403.2,1403.2 Water-Resistive Barrier,2,"Not fewer than one layer of No.15 asphalt felt, complying with ASTM D226 for Type 1 felt or other approved materials, shall be attached to the studs or sheathing, with flashing as described in Section 1404.4, in such a manner as to provide a continuous water-resistive barrier behind the exterior wall veneer."
14.1403,Section 1403 Materials,1403.3,[BS]  1403.3 Wood,2,Exterior walls of wood construction shall be designed and constructed in accordance with Chapter 23.
14.1403,Section 1403 Materials,1403.3.1,[BS]  1403.3.1 Basic Hardboard,3,Basic hardboard shall conform to the requirements of ANSI A135.4.
14.1403,Section 1403 Materials,1403.3.2,[BS]  1403.3.2 Hardboard Siding,3,"Hardboard siding shall conform to the requirements of ANSI A135.6 and, where used structurally, shall be so identified by the label of an approved agency."
14.1403,Section 1403 Materials,1403.4,[BS]  1403.4 Masonry,2,"Exterior walls of masonry construction shall be designed and constructed in accordance with this section and Chapter 21. Masonry units, mortar and metal accessories used in anchored and adhered veneer shall meet the physical requirements of Chapter 21. The backing of anchored and adhered veneer shall be of concrete, masonry, steel framing or wood framing. Continuous insulation meeting the applicable requirements of this code shall be permitted between the backing and the masonry veneer."
14.1403,Section 1403 Materials,1403.5,[BS]  1403.5 Metal,2,"Exterior walls constructed of cold-formed steel, structural steel or aluminum shall be designed in accordance with Chapters 22 and 20, respectively."
14.1403,Section 1403 Materials,1403.5.1,[BS]  1403.5.1 Aluminum Siding,3,Aluminum siding shall conform to the requirements of AAMA 1402.
14.1403,Section 1403 Materials,1403.5.2,[BS]  1403.5.2 Cold-Rolled Copper,3,Copper shall conform to the requirements of ASTM B370.
14.1403,Section 1403 Materials,1403.5.3,[BS]  1403.5.3 Lead-Coated Copper,3,Lead-coated copper shall conform to the requirements of ASTM B101.
14.1403,Section 1403 Materials,1403.6,[BS]  1403.6 Concrete,2,Exterior walls of concrete construction shall be designed and constructed in accordance with Chapter 19.
14.1403,Section 1403 Materials,1403.7,[BS]  1403.7 Glass-Unit Masonry,2,Exterior walls of glass-unit masonry shall be designed and constructed in accordance with Chapter 21.
14.1403,Section 1403 Materials,1403.8,1403.8 Plastics,2,"Plastic panel, apron or spandrel walls as defined in this code shall not be limited in thickness, provided that such plastics and their assemblies conform to the requirements of Chapter 26 and are constructed of approved weather-resistant materials of adequate strength to resist the wind loads for cladding specified in Chapter 16."
14.1403,Section 1403 Materials,1403.9,1403.9 Vinyl Siding,2,Vinyl siding shall be certified and labeled as conforming to the requirements of ASTM D3679 by an approved quality control agency.
14.1403,Section 1403 Materials,1403.10,1403.10 Fiber-Cement Siding,2,"Fiber-cement siding shall conform to the requirements of ASTM C1186, Type A (or ISO 8336, Category A), and shall be so identified on labeling listing an approved quality control agency."
14.1403,Section 1403 Materials,1403.11,1403.11 Exterior Insulation and Finish Systems,2,Exterior insulation and finish systems (EIFS) and exterior insulation and finish systems (EIFS) with drainage shall comply with Section 1407.
14.1403,Section 1403 Materials,1403.12,1403.12 Polypropylene Siding,2,Polypropylene siding shall be certified and labeled as conforming to the requirements of ASTM D7254 and those of Section 1403.12.1 or 1403.12.2 by an approved quality control agency. Polypropylene siding shall be installed in accordance with the requirements of Section 1404.18 and in accordance with the manufacturer's instructions. Polypropylene siding shall be secured to the building so as to provide weather protection for the exterior walls of the building.
14.1403,Section 1403 Materials,1403.12.1,1403.12.1 Flame Spread Index,3,The certification of the flame spread index shall be accompanied by a test report stating that all portions of the test specimen ahead of the flame front remained in position during the test in accordance with ASTM E84 or UL 723.
14.1403,Section 1403 Materials,1403.12.2,1403.12.2 Fire Separation Distance,3,The fire separation distance between a building with polypropylene siding and the adjacent building shall be not less than 10 feet (3048 mm).
14.1403,Section 1403 Materials,1403.13,1403.13 Foam Plastic Insulation,2,Foam plastic insulation used in exterior wall covering assemblies shall comply with Chapter 26.
14,Chapter 14 Exterior Walls,1404,Section 1404 Installation of Wall Coverings,1,
14.1404,Section 1404 Installation of Wall Coverings,1404.1,1404.1 General,2,Exterior wall coverings shall be designed and constructed in accordance with the applicable provisions of this section.
