id,section,reference,displayTitle,depth,body
,,15,Chapter 15 Roof Assemblies and Rooftop Structures,0,"User notes: About this chapter: Chapter 15 provides minimum requirements for the design and construction of roof assemblies and rooftop structures. The criteria address the weather-protective barrier at the roof and, in most circumstances, a fire-resistant barrier. The chapter is largely prescriptive in nature and is based on decades of experience with various traditional materials, but it also recognizes newer products such as photovoltaic shingles. Section 1510 addresses rooftop structures, which include penthouses, tanks, towers and spires. Rooftop penthouses larger than prescribed in this chapter must be treated as a story under Chapter 5. Code development reminder: Code change proposals to sections preceded by the designation [BF], [BG] or [P] will be considered by one of the code development committees meeting during the 2018 (Group A) Code Development Cycle. All other code change proposals will be considered by the IBC—Structural Code Development Committee during the 2019 (Group B) Code Development Cycle. See explanation on page iv."
15,Chapter 15 Roof Assemblies and Rooftop Structures,1501,Section 1501 General,1,
15.1501,Section 1501 General,1501.1,1501.1 Scope,2,"The provisions of this chapter shall govern the design, materials, construction and quality of roof assemblies, and rooftop structures."
15,Chapter 15 Roof Assemblies and Rooftop Structures,1502,Section 1502 Roof Drainage,1,
15.1502,Section 1502 Roof Drainage,1502.1,[P]  1502.1 General,2,"Design and installation of roof drainage systems shall comply with Section 1502 of this code and Sections 1106 and 1108, as applicable, of the Plumbing Code of New York State."
15.1502,Section 1502 Roof Drainage,1502.2,[P]  1502.2 Secondary (Emergency Overflow) Drains or Scuppers,2,"Where roof drains are required, secondary (emergency overflow) roof drains or scuppers shall be provided where the roof perimeter construction extends above the roof in such a manner that water will be entrapped if the primary drains allow buildup for any reason. The installation and sizing of secondary emergency overflow drains, leaders and conductors shall comply with Sections 1106 and 1108, as applicable, of the Plumbing Code of New York State."
15.1502,Section 1502 Roof Drainage,1502.3,1502.3 Scuppers,2,"Where scuppers are used for secondary (emergency overflow) roof drainage, the quantity, size, location and inlet elevation of the scuppers shall be sized to prevent the depth of ponding water from exceeding that for which the roof was designed as determined by Section 1611.1. Scuppers shall not have an opening dimension of less than 4 inches (102 mm). The flow through the primary system shall not be considered when locating and sizing scuppers."
15.1502,Section 1502 Roof Drainage,1502.4,1502.4 Gutters,2,"Gutters and leaders placed on the outside of buildings, other than Group R-3, private garages and buildings of Type V construction, shall be of noncombustible material or not less than Schedule 40 plastic pipe."
15,Chapter 15 Roof Assemblies and Rooftop Structures,1503,Section 1503 Weather Protection,1,
15.1503,Section 1503 Weather Protection,1503.1,1503.1 General,2,"Roof decks shall be covered with approved roof coverings secured to the building or structure in accordance with the provisions of this chapter. Roof coverings shall be designed in accordance with this code, and installed in accordance with this code and the manufacturer's approved instructions."
15.1503,Section 1503 Weather Protection,1503.2,1503.2 Flashing,2,"Flashing shall be installed in such a manner so as to prevent water from entering the wall and roof through joints in copings, through moisture-permeable materials and at intersections with parapet walls and other penetrations through the roof plane."
15.1503,Section 1503 Weather Protection,1503.2.1,1503.2.1 Locations,3,"Flashing shall be installed at wall and roof intersections, at gutters, wherever there is a change in roof slope or direction and around roof openings. Where flashing is of metal, the metal shall be corrosion resistant with a thickness of not less than 0.019 inch (0.483 mm) (No. 26 galvanized sheet)."
15.1503,Section 1503 Weather Protection,1503.3,1503.3 Coping,2,"Parapet walls shall be properly coped with noncombustible, weatherproof materials of a width not less than the thickness of the parapet wall."
15.1503,Section 1503 Weather Protection,1503.4,1503.4 Attic and Rafter Ventilation,2,Intake and exhaust vents shall be provided in accordance with Section 1202.2 and the vent product manufacturer's installation instructions.
15.1503,Section 1503 Weather Protection,1503.5,1503.5 Crickets and Saddles,2,A cricket or saddle shall be installed on the ridge side of any chimney or penetration greater than 30 inches (762 mm) wide as measured perpendicular to the slope. Cricket or saddle coverings shall be sheet metal or of the same material as the roof covering.Exception: Unit skylights installed in accordance with Section 2405.5 and flashed in accordance with the manufacturer's instructions shall be permitted to be installed without a cricket or saddle.
15,Chapter 15 Roof Assemblies and Rooftop Structures,1504,Section 1504 Performance Requirements,1,
15.1504,Section 1504 Performance Requirements,1504.1,1504.1 Wind Resistance of Roofs,2,"Roof decks and roof coverings shall be designed for wind loads in accordance with Chapter 16 and Sections 1504.2, 1504.3 and 1504.4."
15.1504,Section 1504 Performance Requirements,1504.1.1,1504.1.1 Wind Resistance of Asphalt Shingles,3,"Asphalt shingles shall be tested in accordance with ASTM D7158. Asphalt shingles shall meet the classification requirements of Table 1504.1.1 for the appropriate maximum basic wind speed. Asphalt shingle packaging shall bear a label to indicate compliance with ASTM D7158 and the required classification in Table 1504.1.1. Exception: Asphalt shingles not included in the scope of ASTM D7158 shall be tested and labeled in accordance with ASTM D3161. Asphalt shingle packaging shall bear a label to indicate compliance with ASTM D3161 and the required classification in Table 1504.1.1. TABLE 1504.1.1CLASSIFICATION OF STEEP SLOPE ROOF SHINGLES TESTED IN ACCORDANCE WITH ASTM D3161 OR D7158 MAXIMUM BASIC WIND SPEED, V, FROM FIGURES 1609.3(1)-(8) OR ASCE 7(mph) MAXIMUM ALLOWABLE STRESS DESIGN WIND SPEED, Vasd, FROM TABLE 1609.3.1 (mph) ASTM D7158a CLASSIFICATION ASTM D3161 CLASSIFICATION 110 85 D, G or H A, D or F 116 90 D, G or H A, D or F 129 100 G or H A, D or F 142 110 G or H F 155 120 G or H F 168 130 H F 181 140 H F 194 150 H F For SI: 1 foot = 304.8 mm; 1 mph = 0.447 m/s. The standard calculations contained in ASTM D7158 assume Exposure Category B or C and building height of 60 feet or less. Additional calculations are required for conditions outside of these assumptions."
15.1504,Section 1504 Performance Requirements,1504.2,1504.2 Wind Resistance of Clay and Concrete Tile,2,Wind loads on clay and concrete tile roof coverings shall be in accordance with Section 1609.5.
