id,section,title,body
19,,Concrete,"Italics are used for text within Sections 1903 through 1905 of this code to indicate provisions that differ from ACI 318. User notes: About this chapter: Chapter 19 provides minimum accepted practices for the design and construction of buildings and structural components using concrete—both plain and reinforced. Chapter 19 relies primarily on the reference to American Concrete Institute (ACI) 318, Building Code Requirements for Structural Concrete. Structural concrete must be designed and constructed to comply with this code and all listed standards. There are also specific provisions addressing concrete slabs and shotcrete. Code development reminder: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2019 (Group B) Code Development Cycle. See explanation on page iv."
1901,Chapter 19 Concrete,General,
1901.1,Section 1901 General,Scope,"The provisions of this chapter shall govern the materials, quality control, design and construction of concrete used in structures."
1901.2,Section 1901 General,Plain and Reinforced Concrete,"Structural concrete shall be designed and constructed in accordance with the requirements of this chapter and ACI 318 as amended in Section 1905 of this code. Except for the provisions of Sections 1904 and 1907, the design and construction of slabs on grade shall not be governed by this chapter unless they transmit vertical loads or lateral forces from other parts of the structure to the soil. Precast concrete diaphragms in buildings assigned to Seismic Design Category C, D, E or F shall be designed in accordance with the requirements of ASCE 7, Section 14.2.4."
1901.3,Section 1901 General,Anchoring to Concrete,"Anchoring to concrete shall be in accordance with ACI 318 as amended in Section 1905, and applies to cast-in (headed bolts, headed studs and hooked J- or L-bolts), post-installed expansion (torque-controlled and displacement-controlled), undercut and adhesive anchors."
1901.4,Section 1901 General,Composite Structural Steel and Concrete Structures,Systems of structural steel acting compositely with reinforced concrete shall be designed in accordance with Section 2206 of this code.
1901.5,Section 1901 General,Construction Documents,"The construction documents for structural concrete construction shall include:The specified compressive strength of concrete at the stated ages or stages of construction for which each concrete element is designed.The specified strength or grade of reinforcement.The size and location of structural elements, reinforcement and anchors.Provision for dimensional changes resulting from creep, shrinkage and temperature.The magnitude and location of prestressing forces.Anchorage length of reinforcement and location and length of lap splices.Type and location of mechanical and welded splices of reinforcement.Details and location of contraction or isolation joints specified for plain concrete.Minimum concrete compressive strength at time of posttensioning.Stressing sequence for posttensioning tendons.For structures assigned to Seismic Design Category D, E or F, a statement if slab on grade is designed as a structural diaphragm."
1901.6,Section 1901 General,Special Inspections and Tests,Special inspections and tests of concrete elements of buildings and structures and concreting operations shall be as required by Chapter 17.
1902,Chapter 19 Concrete,Definitions,
1902.1,Section 1902 Definitions,General,"The words and terms defined in ACI 318 shall, for the purposes of this chapter and as used elsewhere in this code for concrete construction, have the meanings shown in ACI 318 as modified by Section 1905.1.1."
1903,Chapter 19 Concrete,Specifications for Tests and Materials,
1903.1,Section 1903 Specifications for Tests and Materials,General,"Materials used to produce concrete, concrete itself and testing thereof shall comply with the applicable standards listed in ACI 318. Exception: The following standards as referenced in Chapter 35 shall be permitted to be used. ASTM C150 ASTM C595 ASTM C1157"
1903.2,Section 1903 Specifications for Tests and Materials,Special Inspections,"Where required, special inspections and tests shall be in accordance with Chapter 17."
1903.3,Section 1903 Specifications for Tests and Materials,Glass Fiber-Reinforced Concrete,Glass fiber-reinforced concrete (GFRC) and the materials used in such concrete shall be in accordance with the PCI MNL 128 standard.
1903.4,Section 1903 Specifications for Tests and Materials,Flat Wall Insulating Concrete Form (ICF) Systems,Insulating concrete form material used for forming flat concrete walls shall conform to ASTM E2634.
1904,Chapter 19 Concrete,Durability Requirements,
1904.1,Section 1904 Durability Requirements,Structural Concrete,"Structural concrete shall conform to the durability requirements of ACI 318.Exception: For Group R-2 and R-3 occupancies not more than three stories above grade plane, the specified compressive strength, f´c, for concrete in basement walls, foundation walls, exterior walls and other vertical surfaces exposed to the weather shall be not less than 3,000 psi (20.7 MPa)."
1904.2,Section 1904 Durability Requirements,Nonstructural Concrete,"The registered design professional shall assign nonstructural concrete a freeze-thaw exposure class, as defined in ACI 318, based on the anticipated exposure of nonstructural concrete. Nonstructural concrete shall have a minimum specified compressive strength, f´c, of 2,500 psi (17.2 MPa) for Class F0; 3,000 psi (20.7 MPa) for Class F1; and 3,500 psi (24.1 MPa) for Classes F2 and F3. Nonstructural concrete shall be air entrained in accordance with ACI 318."
1905,Chapter 19 Concrete,Modifications to ACI 318,
1905.1,Section 1905 Modifications to ACI 318,General,The text of ACI 318 shall be modified as indicated in Sections 1905.1.1 through 1905.1.8.
1905.1.1,Section 1905 Modifications to ACI 318,"ACI 318, Section 2.3","Modify existing definitions and add the following definitions to ACI 318, Section 2.3.DESIGN DISPLACEMENT. Total lateral displacement expected for the design-basis earthquake, as specified by Section 12.8.6 of ASCE 7.DETAILED PLAIN CONCRETE STRUCTURAL WALL. A wall complying with the requirements of Chapter 14, including 14.6.2.ORDINARY PRECAST STRUCTURAL WALL. A precast wall complying with the requirements of Chapters 1 through 13, 15, 16 and 19 through 26.ORDINARY REINFORCED CONCRETE STRUCTURAL WALL. A cast-in-place wall complying with the requirements of Chapters 1 through 13, 15, 16 and 19 through 26.ORDINARY STRUCTURAL PLAIN CONCRETE WALL. A wall complying with the requirements of Chapter 14, excluding 14.6.2.SPECIAL STRUCTURAL WALL. A cast-in-place or precast wall complying with the requirements of 18.2.4 through 18.2.8, 18.10 and 18.11, as applicable, in addition to the requirements for ordinary reinforced concrete structural walls or ordinary precast structural walls, as applicable. Where ASCE 7 refers to a ""special reinforced concrete structural wall,"" it shall be deemed to mean a ""special structural wall."""
1905.1.2,Section 1905 Modifications to ACI 318,"ACI 318, Section 18.2.1","Modify ACI 318 Sections 18.2.1.2 and 18.2.1.6 to read as follows: 18.2.1.2 — Structures assigned to Seismic Design Category A shall satisfy requirements of Chapters 1 through 17 and 19 through 26; Chapter 18 does not apply. Structures assigned to Seismic Design Category B, C, D, E or F shall satisfy 18.2.1.3 through 18.2.1.7, as applicable. Except for structural elements of plain concrete complying with Section 1905.1.7 of the Building Code of New York State, structural elements of plain concrete are prohibited in structures assigned to Seismic Design Category C, D, E or F. 18.2.1.6 — Structural systems designated as part of the seismic force-resisting system shall be restricted to those permitted by ASCE 7. Except for Seismic Design Category A, for which Chapter 18 does not apply, the following provisions shall be satisfied for each structural system designated as part of the seismic force-resisting system, regardless of the seismic design category: Ordinary moment frames shall satisfy 18.3. Ordinary reinforced concrete structural walls and ordinary precast structural walls need not satisfy any provisions in Chapter 18. Intermediate moment frames shall satisfy 18.4. Intermediate precast structural walls shall satisfy 18.5. Special moment frames shall satisfy 18.6 through 18.9. Special structural walls shall satisfy 18.10. Special structural walls constructed using precast concrete shall satisfy 18.11. Special moment frames and special structural walls shall also satisfy 18.2.4 through 18.2.8."
1905.1.3,Section 1905 Modifications to ACI 318,"ACI 318, Section 18.5","Modify ACI 318, Section 18.5 by adding new Section 18.5.2.2 and renumbering existing Sections 18.5.2.2 and 18.5.2.3 to become 18.5.2.3 and 18.5.2.4, respectively.18.5.2.2 — Connections that are designed to yield shall be capable of maintaining 80 percent of their design strength at the deformation induced by the design displacement or shall use Type 2 mechanical splices.18.5.2.3 — Elements of the connection that are not designed to yield shall develop at least 1.5 Sy.18.5.2.4 — In structures assigned to SDC D, E or F, wall piers shall be designed in accordance with 18.10.8 or 18.14 in ACI 318."
1905.1.4,Section 1905 Modifications to ACI 318,"ACI 318, Section 18.11","Modify ACI 318, Section 18.11.2.1 to read as follows:18.11.2.1 — Special structural walls constructed using precast concrete shall satisfy all the requirements of 18.10 for cast-in-place special structural walls in addition to 18.5.2."
1905.1.5,Section 1905 Modifications to ACI 318,"ACI 318, Section 18.13.1.1","Modify ACI 318, Section 18.13.1.1 to read as follows: 18.13.1.1 — Foundations resisting earthquake-induced forces or transferring earthquake-induced forces between a structure and ground shall comply with the requirements of 18.13 and other applicable provisions of ACI 318 unless modified by Chapter 18 of the Building Code of New York State."
1905.1.6,Section 1905 Modifications to ACI 318,"ACI 318, Section 14.6","Modify ACI 318, Section 14.6 by adding new Section 14.6.2 to read as follows: 14.6.2 — Detailed plain concrete structural walls. 14.6.2.1 — Detailed plain concrete structural walls are walls conforming to the requirements of ordinary structural plain concrete walls and 14.6.2.2. 14.6.2.2 — Reinforcement shall be provided as follows: Vertical reinforcement of at least 0.20 square inch (129 mm2) in cross-sectional area shall be provided continuously from support to support at each corner, at each side of each opening and at the ends of walls. The continuous vertical bar required beside an opening is permitted to substitute for one of the two No. 5 bars required by 14.6.1. Horizontal reinforcement at least 0.20 square inch (129 mm2) in cross-sectional area shall be provided: Continuously at structurally connected roof and floor levels and at the top of walls. At the bottom of load-bearing walls or in the top of foundations where doweled to the wall. At a maximum spacing of 120 inches (3048 mm). Reinforcement at the top and bottom of openings, where used in determining the maximum spacing specified in Item 3 above, shall be continuous in the wall."
