id,section,reference,title,depth,body
,,25,"Chapter 25 Gypsum Board, Gypsum Panel Products and Plaster",0,"User notes: About this chapter: Chapter 25 contains the provisions and referenced standards that regulate the design, construction and quality of gypsum board, gypsum panel products and plaster and, in addition, addresses reinforced gypsum concrete. These materials are some of the most commonly used interior and exterior finish materials in the building industry. This chapter primarily addresses quality-control-related issues with regard to material specifications and installation requirements. Most products are manufactured in accordance with industry standards. The building official or inspector needs to verify that the appropriate product is used and properly installed for the intended use and location. Proper design and installation of these materials are necessary to provide weather resistance and required fire protection for both structural and nonstructural building components. Code development reminder: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2019 (Group B) Code Development Cycle. See explanation on page iv."
25,"Chapter 25 Gypsum Board, Gypsum Panel Products and Plaster",2501,Section 2501 General,1,
25.2501,Section 2501 General,2501.1,2501.1 Scope,2,"Provisions of this chapter shall govern the materials, design, construction and quality of gypsum board, gypsum panel products, lath, gypsum plaster, cement plaster and reinforced gypsum concrete."
25.2501,Section 2501 General,2501.2,2501.2 Other Materials,2,Other approved wall or ceiling coverings shall be permitted to be installed in accordance with the recommendations of the manufacturer and the conditions of approval.
25,"Chapter 25 Gypsum Board, Gypsum Panel Products and Plaster",2502,Section 2502 Performance,1,
25.2502,Section 2502 Performance,2502.1,2502.1 General,2,"Lathing, plastering and gypsum board and gypsum panel product construction shall be done in the manner and with the materials specified in this chapter and, where required for fire protection, shall comply with the provisions of Chapter 7."
25,"Chapter 25 Gypsum Board, Gypsum Panel Products and Plaster",2503,Section 2503 Inspection,1,
25.2503,Section 2503 Inspection,2503.1,"<span class = ""code_addition"">[NY]</span>  2503.1 Inspection",2,"Lath, gypsum board and gypsum panel products shall be inspected in accordance with Section 105.3."
25,"Chapter 25 Gypsum Board, Gypsum Panel Products and Plaster",2504,Section 2504 Vertical and Horizontal Assemblies,1,
25.2504,Section 2504 Vertical and Horizontal Assemblies,2504.1,2504.1 Scope,2,"The following requirements shall be met where construction involves gypsum board, gypsum panel products or lath and plaster in vertical and horizontal assemblies."
25.2504,Section 2504 Vertical and Horizontal Assemblies,2504.1.1,2504.1.1 Wood Framing,3,"Wood supports for lath, gypsum board or gypsum panel products, as well as wood stripping or furring, shall be not less than 2 inches (51 mm) nominal thickness in the least dimension.Exception: The minimum nominal dimension of wood furring strips installed over solid backing shall be not less than 1 inch by 2 inches (25 mm by 51 mm)."
25.2504,Section 2504 Vertical and Horizontal Assemblies,2504.1.2,2504.1.2 Studless Partitions,3,"The minimum thickness of vertically erected studless solid plaster partitions of 3/8-inch (9.5 mm) and 3/4-inch (19.1 mm) rib metal lath, 1/2-inch-thick (12.7 mm) gypsum lath, gypsum board or gypsum panel product shall be 2 inches (51 mm)."
25,"Chapter 25 Gypsum Board, Gypsum Panel Products and Plaster",2505,Section 2505 Shear Wall Construction,1,
25.2505,Section 2505 Shear Wall Construction,2505.1,2505.1 Resistance to Shear (Wood Framing),2,"Wood-frame shear walls sheathed with gypsum board, gypsum panel products or lath and plaster shall be designed and constructed in accordance with Section 2306.3 and are permitted to resist wind and seismic loads. Walls resisting seismic loads shall be subject to the limitations in Section 12.2.1 of ASCE 7."
25.2505,Section 2505 Shear Wall Construction,2505.2,2505.2 Resistance to Shear (Steel Framing),2,Cold-formed steel-frame shear walls sheathed with gypsum board or gypsum panel products and constructed in accordance with the materials and provisions of Section 2211.1.1 are permitted to resist wind and seismic loads. Walls resisting seismic loads shall be subject to the limitations in Section 12.2.1 of ASCE 7.
