id,section,reference,displayTitle,depth,body
,,29,Chapter 29 Plumbing Systems,0,"User note: About this chapter: Plumbing systems are another key element of any building. Chapter 29 provides the necessary number of plumbing fixtures, including water closets, lavatories, bathtubs and showers. The quality and design of each fixture must be in accordance with the International Plumbing Code®."
29,Chapter 29 Plumbing Systems,2901,Section 2901 General,1,
29.2901,Section 2901 General,2901.1,"<span class = ""code_addition"">[NY]</span>  2901.1 Scope",2,"The provisions of this chapter and the Plumbing Code of New York State shall govern the design, construction, erection and installation of plumbing components, appliances, equipment and systems used in buildings and structures covered by this code. Toilet and bathing rooms shall be constructed in accordance with Section 1209. The Fire Code of New York State, the Property Maintenance Code of New York State and the Plumbing Code of New York State shall govern the use and maintenance of plumbing components, appliances, equipment and systems. The Existing Building Code of New York State and the Plumbing Code of New York State shall govern the alteration, repair, relocation, replacement and addition of plumbing components, appliances, equipment and systems."
29,Chapter 29 Plumbing Systems,2902,Section 2902 Minimum Plumbing Facilities,1,
29.2902,Section 2902 Minimum Plumbing Facilities,2902.1,[P]  2902.1 Minimum Number of Fixtures,2,"Plumbing fixtures shall be provided in the minimum number as shown in Table 2902.1 based on the actual use of the building or space. Uses not shown in Table 2902.1 shall be considered individually by the building official. The number of occupants shall be determined by this code. [P] TABLE 2902.1 MINIMUM NUMBER OF REQUIRED PLUMBING FIXTURESa (See Sections 2902.1.1 and 2902.2) No.CLASSIFICATIONDESCRIPTIONWATER CLOSETS (URINALS SEE SECTION 424.2 OF THE PLUMBING CODE OF NEW YORK STATE)LAVATORIESBATHTUBS/SHOWERSDRINKING FOUNTAINS (SEE SECTION 410 OF THE PLUMBING CODE OF NEW YORK STATE)OTHERMaleFemaleMaleFemale1AssemblyTheaters and other buildings for the performing arts and motion picturesd1 per 1251 per 651 per 200—1 per 5001 service sinkNightclubs, bars, taverns, dance halls and buildings for similar purposesd1 per 401 per 401 per 75—1 per 5001 service sinkRestaurants, banquet halls and food courtsd1 per 751 per 751 per 200—1 per 5001 service sinkCasino gaming areas1 per 100 for the first 400 and 1 per 250 for the remainder exceeding 4001 per 50 for the first 400 and 1 per 150 for the remainder exceeding 4001 per 250 for the first 750 and 1 per 500 for the remainder exceeding 750—1 per 1,0001 service sinkAuditoriums without permanent seating, art galleries, exhibition halls, museums, lecture halls, libraries, arcades and gymnasiumsd1 per 1251 per 651 per 200—1 per 5001 service sinkPassenger terminals and transportation facilitiesd1 per 5001 per 5001 per 750—1 per 1,0001 service sinkPlaces of worship and other religious servicesd1 per 1501 per 751 per 200—1 per 1,0001 service sinkColiseums, arenas, skating rinks, pools and tennis courts for indoor sporting events and activities1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,5001 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,5201 per 2001 per 150—1 per 1,0001 service sinkStadiums, amusement parks, bleachers and grandstands for outdoor sporting events and activitiesf1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,5001 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,5201 per 2001 per 150—1 per 1,0001 service sink2BusinessBuildings for the transaction of business, professional services, other services involving merchandise, office buildings, banks, light industrial, ambulatory care and similar uses1 per 25 for the first 50 and 1 per 50 for the remainder exceeding 501 per 40 for the first 80 and 1 per 80 for the remainder exceeding 80—1 per 1001 service sinke3EducationalEducational facilities1 per 501 per 50—1 per 1001 service sink4Factory and industrialStructures in which occupants are engaged in work fabricating, assembly or processing of products or materials1 per 1001 per 100—1 per 4001 service sink5InstitutionalCustodial care facilities1 per 101 per 101 per 81 per 1001 service sinkMedical care recipients in hospitals and nursing homesb1 per roomc1 per roomc1 per 151 per 1001 service sinkEmployees in hospitals and nursing homesb1 per 251 per 35—1 per 100—Visitors in hospitals and nursing homes1 per 751 per 100—1 per 500—Prisonsb1 per cell1 per cell1 per 151 per 1001 service sinkReformatories, detention centers and correctional centersb1 per 151 per 151 per 151 per 1001 service sinkEmployees in reformatories, detention centers and correctional centersb1 per 251 per 35—1 per 100—Adult day care and child day care1 per 151 per 1511 per 1001 service sink6MercantileRetail stores, service stations, shops, salesrooms, markets and shopping centers1 per 5001 per 750—1 per 1,0001 service sinke7ResidentialHotels, motels, boarding houses (transient)1 per sleeping unit1 per sleeping unit1 per sleeping unit—1 service sinkDormitories, fraternities, sororities and boarding houses (not transient)1 per 101 per 101 per 81 per 1001 service sinkApartment house1 per dwelling unit1 per dwelling unit1 per dwelling unit—1 kitchen sink per dwelling unit; 1 automatic clothes washer connection per 20 dwelling unitsOne- and two-family dwellings and lodging houses with five or fewer guestrooms1 per dwelling unit1 per 101 per dwelling unit—1 kitchen sink per dwelling unit; 1 automatic clothes washer connection per dwelling unitCongregate living facilities with 16 or fewer persons1 per 101 per 101 per 81 per 1001 service sink8StorageStructures for the storage of goods, warehouses, storehouses and freight depots, low and moderate hazard1 per 1001 per 100—1 per 1,0001 service sinkThe fixtures shown are based on one fixture being the minimum required for the number of persons indicated or any fraction of the number of persons indicated. The number of occupants shall be determined by this code.Toilet facilities for employees shall be separate from facilities for inmates or care recipients.A single-occupant toilet room with one water closet and one lavatory serving not more than two adjacent patient sleeping units shall be permitted, provided that each patient sleeping unit has direct access to the toilet room and provisions for privacy for the toilet room user are provided.The occupant load for seasonal outdoor seating and entertainment areas shall be included when determining the minimum number of facilities required.For business and mercantile classifications with an occupant load of 15 or fewer, a service sink shall not be required. [NY] Reserved."
29.2902,Section 2902 Minimum Plumbing Facilities,2902.1.1,"<span class = ""code_addition"">[NY]</span>  2902.1.1 Fixture Calculations",3,"To determine the occupant load of each sex, the total occupant load shall be divided in half. To determine the required number of fixtures for each sex, the fixture ratio or ratios for each fixture type shall be applied to the occupant load of that sex in accordance with Table 2902.1. Fractional numbers resulting from applying the fixture ratios of Table 2902.1 shall be rounded up to the next whole number. The plumbing fixtures located in single-user toilet facilities and bathing rooms, including family or assisted-use toilet and bathing rooms, shall contribute toward the total number of required plumbing fixtures for a building or tenant space, and shall be deducted proportionately, from the required gender ratios of Table 2902.1. The total number of fixtures shall be permitted to be based on any combination of single-user, multi-user and separate facilities. For calculations involving multiple occupancies, such fractional numbers for each occupancy shall first be summed and then rounded up to the next whole number. Exception: The total occupant load shall not be required to be divided in half where approved statistical data indicate a distribution of the sexes of other than 50 percent of each sex."
29.2902,Section 2902 Minimum Plumbing Facilities,2902.1.2,"<span class = ""code_addition"">[NY]</span>  2902.1.2 Single-User Toilet <span class=""code_deletion"">Facility </span>and Bathing <span class=""code_deletion"">Room Fixtures</span> <span class=""code_addition"">Facilities</span>",3,"Single-user toilet and bathing rooms, and family or assisted-use toilet rooms and bathing rooms shall be identified as being available for use by all persons regardless of their sex."
29.2902,Section 2902 Minimum Plumbing Facilities,new_2902.1.3,[NY]  2902.1.3 Multi-User Toilet and Bathing Facilities,3,"Where multi-user facilities designed to serve all genders are provided, urinals shall be either located in stalls, or located in an area visually separated from the remainder of the facility. Privacy for water closets shall be installed in accordance with Section 1209.3.1."
29.2902,Section 2902 Minimum Plumbing Facilities,2902.1.3,"<span class=""code_deletion"">[P]</span> <span class=""code_addition"">[NY]</span>  <span class=""code_deletion"">2902.1.3</span> <span class=""code_addition"">2902.1.4</span> Lavatory Distribution",3,"Where two or more toilet rooms are provided for each sex, the required number of lavatories shall be distributed proportionately to the required number of water closets."
29.2902,Section 2902 Minimum Plumbing Facilities,2902.2,"<span class = ""code_addition"">[NY]</span>  2902.2 Separate Facilities",2,"Where plumbing fixtures are required, separate facilities shall be provided for each sex.Exceptions:Separate facilities shall not be required for dwelling units and sleeping units.Separate facilities shall not be required in structures or tenant spaces with a total occupant load, including both employees and customers, of 15 or fewer.Separate facilities shall not be required in mercantile occupancies in which the maximum occupant load is 100 or fewer.Separate facilities shall not be required in business occupancies in which the maximum occupant load is 25 or fewer. Single-user toilet and bathing rooms provided in accordance with Section 2902.1.2 shall be designated as gender neutral. Separate facilities shall not be required where multiuser facilities designed for use by both sexes are provided in accordance with Section 2902.1.3."
