id,section,reference,title,depth,body
,,5,Chapter 5 General Building Heights and Areas,0,"User note: About this chapter: Chapter 5 establishes the limits to which a building can be built. Building height, number of stories and building area are specified in this chapter. Chapter 5 must be used in conjunction with the occupancies established in Chapter 3 and the types of construction established in Chapter 6. This chapter also specifies the impact that mezzanines, accessory occupancies and mixed occupancies have on the overall size of a building."
5,Chapter 5 General Building Heights and Areas,501,Section 501 General,1,
5.501,Section 501 General,501.1,501.1 Scope,2,The provisions of this chapter control the height and area of structures hereafter erected and additions to existing structures.
5,Chapter 5 General Building Heights and Areas,502,Section 502 Building Address,1,
5.502,Section 502 Building Address,502.1,[F]  502.1 Address Identification,2,"New and existing buildings shall be provided with approved address identification. The address identification shall be legible and placed in a position that is visible from the street or road fronting the property. Address identification characters shall contrast with their background. Address numbers shall be Arabic numbers or alphabetical letters. Numbers shall not be spelled out. Each character shall be a minimum of 4 inches (102 mm) high with a minimum stroke width of 1/2 inch (12.7 mm). Where required by the fire code official, address identification shall be provided in additional approved locations to facilitate emergency response. Where access is by means of a private road and the building address cannot be viewed from the public way, a monument, pole or other approved sign or means shall be used to identify the structure. Address identification shall be maintained."
5,Chapter 5 General Building Heights and Areas,503,Section 503 General Building Height and Area Limitations,1,
5.503,Section 503 General Building Height and Area Limitations,503.1,503.1 General,2,"Unless otherwise specifically modified in Chapter 4 and this chapter, building height, number of stories and building area shall not exceed the limits specified in Sections 504 and 506 based on the type of construction as determined by Section 602 and the occupancies as determined by Section 302 except as modified hereafter. Building height, number of stories and building area provisions shall be applied independently. For the purposes of determining area limitations, height limitations and type of construction, each portion of a building separated by one or more fire walls complying with Section 706 shall be considered to be a separate building."
5.503,Section 503 General Building Height and Area Limitations,503.1.1,503.1.1 Special Industrial Occupancies,3,"Buildings and structures designed to house special industrial processes that require large areas and unusual building heights to accommodate craneways or special machinery and equipment, including, among others, rolling mills; structural metal fabrication shops and foundries; or the production and distribution of electric, gas or steam power, shall be exempt from the building height, number of stories and building area limitations specified in Sections 504 and 506."
5.503,Section 503 General Building Height and Area Limitations,503.1.2,503.1.2 Buildings on Same Lot,3,"Two or more buildings on the same lot shall be regulated as separate buildings or shall be considered as portions of one building where the building height, number of stories of each building and the aggregate building area of the buildings are within the limitations specified in Sections 504 and 506. The provisions of this code applicable to the aggregate building shall be applicable to each building."
5.503,Section 503 General Building Height and Area Limitations,503.1.3,503.1.3 Type I Construction,3,Buildings of Type I construction permitted to be of unlimited tabular building heights and areas are not subject to the special requirements that allow unlimited area buildings in Section 507 or unlimited building height in Sections 503.1.1 and 504.3 or increased building heights and areas for other types of construction.
5.503,Section 503 General Building Height and Area Limitations,503.1.4,503.1.4 Occupied Roofs,3,"A roof level or portion thereof shall be permitted to be used as an occupied roof provided the occupancy of the roof is an occupancy that is permitted by Table 504.4 for the story immediately below the roof. The area of the occupied roofs shall not be included in the building area as regulated by Section 506. Exceptions:The occupancy located on an occupied roof shall not be limited to the occupancies allowed on the story immediately below the roof where the building is equipped throughout with an automatic sprinkler system in accordance with Section 903.3.1.1 or 903.3.1.2 and occupant notification in accordance with Section 907.5 is provided in the area of the occupied roof.Assembly occupancies shall be permitted on roofs of open parking garages of Type I or Type II construction, in accordance with the exception to Section 903.2.1.6."
5.503,Section 503 General Building Height and Area Limitations,503.1.4.1,503.1.4.1 Enclosures Over Occupied Roof Areas,4,"Elements or structures enclosing the occupied roof areas shall not extend more than 48 inches (1220 mm) above the surface of the occupied roof.Exception: Penthouses constructed in accordance with Section 1510.2 and towers, domes, spires and cupolas constructed in accordance with Section 1510.5."
5,Chapter 5 General Building Heights and Areas,504,Section 504 Building Height and Number of Stories,1,
5.504,Section 504 Building Height and Number of Stories,504.1,504.1 General,2,"The height, in feet, and the number of stories of a building shall be determined based on the type of construction, occupancy classification and whether there is an automatic sprinkler system installed throughout the building.Exception: The building height of one-story aircraft hangars, aircraft paint hangars and buildings used for the manufacturing of aircraft shall not be limited where the building is provided with an automatic sprinkler system or automatic fire-extinguishing system in accordance with Chapter 9 and is entirely surrounded by public ways or yards not less in width than one and one-half times the building height."
5.504,Section 504 Building Height and Number of Stories,504.1.1,504.1.1 Unlimited Area Buildings,3,The height of unlimited area buildings shall be designed in accordance with Section 507.
5.504,Section 504 Building Height and Number of Stories,504.1.2,504.1.2 Special Provisions,3,"The special provisions of Section 510 permit the use of special conditions that are exempt from, or modify, the specific requirements of this chapter regarding the allowable heights of buildings based on the occupancy classification and type of construction, provided the special condition complies with the provisions specified in Section 510."
5.504,Section 504 Building Height and Number of Stories,504.2,504.2 Mixed Occupancy,2,"In a building containing mixed occupancies in accordance with Section 508, no individual occupancy shall exceed the height and number of story limits specified in this section for the applicable occupancies."
