id,section,title,body
29,,Plumbing Systems,"User notes: About this chapter: Plumbing systems are another key element of any building. Chapter 29 provides the necessary number of plumbing fixtures, including water closets, lavatories, bathtubs and showers. The quality and design of each fixture must be in accordance with the Plumbing Code of New York State."
2901,Chapter 29 Plumbing Systems,General,
2901.1,Section 2901 General,Scope,"The provisions of this chapter and the Plumbing Code of New York State shall govern the design, construction, erection and installation of plumbing components, appliances, equipment and systems used in buildings and structures covered by this code. Toilet and bathing rooms shall be constructed in accordance with Section 1210. The Fire Code of New York State, the Property Maintenance Code of New York State and the Plumbing Code of New York State shall govern the use and maintenance of plumbing components, appliances, equipment and systems. The Existing Building Code of New York State and the Plumbing Code of New York State shall govern the alteration, repair, relocation, replacement and addition of plumbing components, appliances, equipment and systems."
2902,Chapter 29 Plumbing Systems,Minimum Plumbing Facilities,
2902.1,Section 2902 Minimum Plumbing Facilities,Minimum Number of Fixtures,"Plumbing fixtures shall be provided in the minimum number as shown in Table 2902.1 based on the actual use of the building or space. Uses not shown in Table 2902.1 shall be considered individually by the code official. The number of occupants shall be determined by this code. [NY] TABLE 2902.1 MINIMUM NUMBER OF REQUIRED PLUMBING FIXTURESa (See Sections 2902.1.1 and 2902.2) NO. CLASSIFICATION DESCRIPTION WATER CLOSETS (URINALS: SEE SECTION 424.2 OF THEPLUMBING CODE OF NEW YORK STATE) LAVATORIES BATHTUBS/ SHOWERS DRINKING FOUNTAIN (SEE SECTION 410 OF THEPLUMBINGCODE OF NEWYORK STATE) OTHER MALE FEMALE MALE FEMALE 1 Assemblyg Theaters and other buildings for the performing arts and motion picturesd 1 per 125 1 per 65 1 per 200 — 1 per 500 1 service sink Nightclubs, bars, taverns, dance halls and buildings for similar purposesd 1 per 40 1 per 40 1 per 75 — 1 per 500 1 service sink Restaurants, banquet halls and food courtsd 1 per 75 1 per 75 1 per 200 — 1 per 500 1 service sink Casino gaming areas 1 per 100 for the first 400 and 1 per 250 for the remainder exceeding 400 1 per 50 for the first 400 and 1 per 150 for the remainder exceeding 400 1 per 250 for the first 750 and 1 per 500 for the remainder exceeding 750 — 1 per 1,000 1 service sink Auditoriums without permanent seating, art galleries, exhibition halls, museums, lecture halls, libraries, arcades and gymnasiumsd 1 per 125 1 per 65 1 per 200 — 1 per 500 1 service sink Passenger terminals and transportation facilitiesd 1 per 500 1 per 500 1 per 750 — 1 per 1,000 1 service sink Places of worship and other religious servicesd 1 per 150 1 per 75 1 per 200 — 1 per 1,000 1 service sink Coliseums, arenas, skating rinks, pools and tennis courts for indoor sporting events and activities 1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,500 1 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,520 1 per 200 1 per 150 Note f 1 per 1,000 1 service sink Stadiums, amusement parks, bleachers and grandstands for outdoor sporting events and activities 1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,500 1 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,520 1 per 200 1 per 150 Note f 1 per 1,000 1 service sink 2 Business Buildings for the transaction of business, nonmedical professional services, other services involving merchandise, office buildings, banks, light industrial and similar uses 1 per 25 for the first 50 and 1 per 50 for the remainder exceeding 50 1 per 40 for the first 80 and 1 per 80 for the remainder exceeding 80 — 1 per 100 1 service sinke Ambulatory care facilities and outpatient clinics 1 per 25 for the first 50 and 1 per 50 for the remainder exceeding 50 1 per 25 for the first 50 and 1 per 50 for the remainder exceeding 50 1 per 50 — 1 per 100 1 service sink per floor 3 Educational Educational facilities 1 per 50 1 per 50 — 1 per 100 1 service sink 4 Factory and industrial Structures in which occupants are engaged in work fabricating, assembly or processing of products or materials 1 per 100 1 per 100 — 1 per 400 1 service sink 5 Institutional Alcohol and drug centersbCongregate care facilitiesbGroup homesbHalfway housesbSocial rehabilitation facilitiesbFoster care facilitiesb 1 per 10 care recipients 1 per 10 care recipients 1 per 8 care recipients — — Assisted living and residential board and care facilities with care recipients who receive custodial care Sleeping units for care recipientc 1 per 2 sleeping units 1 per 2 sleeping units 1 per 8 sleeping units Dwelling units for care recipients 1 per dwelling unit 1 per dwelling unit 1 per dwelling unit — 1 kitchen sink per dwelling unit Employee facilities 1 per 60 care recipient units 1 per 60 care recipient units — 1 per 100 1 service sink per floor Visitor facilities 1 per 75 care recipient units. 1 per 75 care recipient units — — — Nursing homesb Sleeping units for care recipientsc 1 per 2 care recipient sleeping units 1 per 2 care recipient sleeping units 1 per 8 care recipient sleeping units — — Employee facilities 1 per 60 care recipient units 1 per 60 care recipient sleeping units — 1 per 100 1 service sink per floor Visitor facilities 1 per 75 care recipient units 1 per 75 care recipient sleeping rooms — — — Hospitalsb Sleeping units for care recipients 1 per care recipient sleeping unit 1 per care recipient sleeping unit 1 per 100 care recipient sleeping units — Care recipient treatment areas 1 per 25 care recipient treatment rooms 1 per 50 care recipient treatment rooms — 1 per 100 — Employee facilities 1 per 25 care recipient sleeping units or treatment room 1 per 25 care recipient sleeping units or treatment room 1 per 50 care recipient sleeping units or treatment room — 1 per 100 1 service sink per floor Visitor facilities 1 per 75 care recipient sleeping units or treatment room 1 per 75 care recipient sleeping units or treatment room 1 per 50 care recipient sleeping room or treatment room — 1 per 500 — Prisonsb 1 per cell 1 per cell 1 per 15 1 per 100 1 service sink Reformatories, detention centers and correctional centersb Cells 1 per 15 1 per 15 1 per 15 1 per 100 1 service sink Congregate Living Facilities 1 per 15 1 per 15 1 per 15 1 per 100 1 service sink Employees 1 per 25 1 per 35 — 1 per 100 — Adult day care and child day care 1 per 15 1 per 15 1 1 per 100 1 service sink 6 Mercantile Retail stores, service stations, shops, salesrooms, markets and shopping centers 1 per 500 1 per 750 — 1 per 1,000 1 service sinke 7 Residential Hotels, motels, boarding houses (transient) 1 per dwelling or sleeping unit 1 per dwelling or sleeping unit 1 per dwelling or sleeping unit — 1 service sink Dormitories, fraternities, sororities and boarding houses (not transient) 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink Apartment house 1 per dwelling unit or sleeping unit 1 per dwelling unit or sleeping unit 1 per dwelling unit or sleeping unit — 1 kitchen sink per dwelling unit; 1 automatic clothes washer connection per 20 dwelling units Congregate living facilities with 16 or fewer care recipients receiving custodial care 1 per 10 1 per 10 1 per 8 1 kitchen sink One- and two-family dwellings and lodging houses with five or fewer guestrooms 1 per dwelling unit 1 per dwelling unit 1 per dwelling unit — 1 kitchen sink per dwelling unit; 1 automatic clothes washer connection per dwelling unit 8 Storage Structures for the storage of goods, warehouses, storehouse and freight depots. Low and Moderate Hazard. 1 per 100 1 per 100 — 1 per 1,000 1 service sink The fixtures shown are based on one fixture being the minimum required for the number of persons indicated or any fraction of the number of persons indicated. The number of occupants shall be determined by this code. [NY] Toilet facilities for employees shall be separate from facilities for incarcerated individuals or care recipients. A single-occupant toilet room with one water closet and one lavatory serving not more than two adjacent patient sleeping units shall be permitted, provided that each patient sleeping unit has direct access to the toilet room and provisions for privacy for the toilet room user are provided. The occupant load for seasonal outdoor seating and entertainment areas shall be included when determining the minimum number of facilities required. For business and mercantile classifications with an occupant load of 15 or fewer, a service sink shall not be required. [NY] The required number and type of showers for indoor and outdoor public swimming pools shall be in accordance with Section 2902.1.4. [NY] As of the effective date of this Code, the New York State Department of Health regulations (10 NYCRR Subpart 7-4) contain a permitting process through the authorized Department of Health entity for holding or promoting mass gatherings (as defined in 10 NYCRR Subpart 7-4). This permitting process for mass gatherings may require additional plumbing fixtures beyond the minimum number of plumbing fixtures determined by this Code."
2902.1.1,Section 2902 Minimum Plumbing Facilities,Fixture Calculations,"To determine the occupant load of each sex, the total occupant load shall be divided in half. To determine the required number of fixtures, the fixture ratio or ratios for each fixture type shall be applied to the occupant load of each sex in accordance with Table 2902.1. Fractional numbers resulting from applying the fixture ratios of Table 2902.1 shall be rounded up to the next whole number. For calculations involving multiple occupancies, such fractional numbers for each occupancy shall first be summed and then rounded up to the next whole number. Exceptions: The total occupant load shall not be required to be divided in half where approved statistical data indicates a distribution of the sexes of other than 50 percent of each sex. Where multiple-user facilities are designed to serve all genders, the minimum fixture count shall be calculated 100 percent, based on total occupant load. In such multiple-user facilities, each fixture type shall be in accordance with ICC A117.1 ."
2902.1.2,Section 2902 Minimum Plumbing Facilities,Fixtures in Single-User Toilet Facilities and Bathing Rooms,"The plumbing fixtures located in single-user toilet facilities and single-user rooms, including family or assisted-use toilet facilities and bathing rooms, shall contribute toward the total number of required plumbing fixtures for a building or tenant space. The number of fixtures in single-user toilet facilities, single-user bathing rooms and family or assisted-use toilet facilities shall be deducted proportionately from the required gender ratios of Table 2902.1. Single-user toilet facilities and bathing rooms, and family or assisted-use toilet facilities and bathing rooms shall be identified as being available for use by all persons regardless of their sex. The total number of fixtures shall be based on the required number of separate facilities or based on the aggregate of any combination of single-user or separate facilities."
2902.1.3,Section 2902 Minimum Plumbing Facilities,Lavatory Distribution,"Where two or more toilet facilities are provided for each sex, the required number of lavatories shall be distributed proportionately to the required number of male- and female-designated water closets."
new_2902.1.4,Section 2902 Minimum Plumbing Facilities,Dressing Facility and Shower Requirements for Public Swimming Pools,"In addition to New York State Department of Health regulations (10 NYCRR Subpart 6-1), indoor and outdoor public swimming pool facilities shall have dressing facilities and number of cleansing and rinse showers as required by Sections 2902.1.4.1 through 2902.1.4.3."
new_2902.1.4.1,Section 2902 Minimum Plumbing Facilities,Water Area Less Than 7500 Square Feet,Facilities that have less than 7500 gross square feet (697 m2) of water area available for bather access shall have dressing facilities and not less than one cleansing shower for males and one cleansing shower for females.
