id,section,reference,displayTitle,depth,body
,,31,Chapter 31 Special Construction,0,"User notes: About this chapter: Chapter 31 provides regulations for unique buildings and building elements. Those include buildings such as membrane structures, greenhouses and relocatable buildings. Special elements include pedestrian walkways and tunnels, awnings, canopies and marquees, vehicular gates, solar energy systems, public use restrooms in flood hazard areas, and intermodal shipping containers."
31,Chapter 31 Special Construction,3101,Section 3101 General,1,
31.3101,Section 3101 General,3101.1,3101.1 Scope,2,"The provisions of this chapter shall govern special building construction including membrane structures, temporary structures, pedestrian walkways and tunnels, awnings and canopies, marquees, signs, telecommunications and broadcast towers, swimming pools, spas and hot tubs, automatic vehicular gates, solar energy systems, greenhouses, relocatable buildings and intermodal shipping containers."
31,Chapter 31 Special Construction,3102,Section 3102 Membrane Structures,1,
31.3102,Section 3102 Membrane Structures,3102.1,3102.1 General,2,"The provisions of Sections 3102.1 through 3102.8 shall apply to air-supported, air-inflated, membrane-covered cable, membrane-covered frame and tensile membrane structures, collectively known as membrane structures, erected for a period of 180 days or longer. Those erected for a shorter period of time shall comply with the Fire Code of New York State. Membrane structures covering water storage facilities, water clarifiers, water treatment plants, sewage treatment plants, greenhouses and similar facilities not used for human occupancy are required to meet only the requirements of Sections 3102.3.1 and 3102.7. Membrane structures erected on a building, balcony, deck or other structure for any period of time shall comply with this section."
31.3102,Section 3102 Membrane Structures,3102.2,3102.2 Tensile Membrane Structures and Air-Supported Structures,2,"Tensile membrane structures and air-supported structures, including permanent and temporary structures, shall be designed and constructed in accordance with ASCE 55. The provisions in Sections 3102.3 through 3102.6 shall apply."
31.3102,Section 3102 Membrane Structures,3102.3,3102.3 Type of Construction,2,"Noncombustible membrane structures shall be classified as Type IIB construction. Noncombustible frame or cable-supported structures covered by an approved membrane in accordance with Section 3102.3.1 shall be classified as Type IIB construction. Heavy timber frame-supported structures covered by an approved membrane in accordance with Section 3102.3.1 shall be classified as Type IV-HT construction. Other membrane structures shall be classified as Type V construction.Exception: Plastic less than 30 feet (9144 mm) above any floor used in greenhouses, where occupancy by the general public is not authorized, and for aquaculture pond covers is not required to meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701."
31.3102,Section 3102 Membrane Structures,3102.3.1,3102.3.1 Membrane and Interior Liner Material,3,"Membranes and interior liners shall be either noncombustible as set forth in Section 703.3 or meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701 and the manufacturer's test protocol.Exception: Plastic less than 20 mil (0.5 mm) in thickness used in greenhouses, where occupancy by the general public is not authorized, and for aquaculture pond covers is not required to meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701."
31.3102,Section 3102 Membrane Structures,3102.4,3102.4 Allowable Floor Areas,2,The area of a membrane structure shall not exceed the limitations specified in Section 506.
31.3102,Section 3102 Membrane Structures,3102.5,3102.5 Maximum Height,2,Membrane structures shall not exceed one story nor shall such structures exceed the height limitations in feet specified in Section 504.3.Exception: Noncombustible membrane structures serving as roofs only.
31.3102,Section 3102 Membrane Structures,3102.6,3102.6 Mixed Construction,2,Membrane structures shall be permitted to be utilized as specified in this section as a portion of buildings of other types of construction. Height and area limits shall be as specified for the type of construction and occupancy of the building.
31.3102,Section 3102 Membrane Structures,3102.6.1,3102.6.1 Noncombustible Membrane,3,"A noncombustible membrane shall be permitted for use as the roof or as a skylight of any building or atrium of a building of any type of construction provided that the membrane is not less than 20 feet (6096 mm) above any floor, balcony or gallery."
31.3102,Section 3102 Membrane Structures,3102.6.1.1,3102.6.1.1 Membrane,4,"A membrane meeting the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701 shall be permitted to be used as the roof or as a skylight on buildings of Type IIB, III, IV-HT and V construction, provided that the membrane is not less than 20 feet (6096 mm) above any floor, balcony or gallery."
31.3102,Section 3102 Membrane Structures,3102.7,3102.7 Engineering Design,2,"The structure shall be designed and constructed to sustain dead loads; loads due to tension or inflation; live loads including wind, snow or flood and seismic loads and in accordance with Chapter 16."
31.3102,Section 3102 Membrane Structures,3102.7.1,3102.7.1 Lateral Restraint,3,"For membrane-covered frame structures, the membrane shall not be considered to provide lateral restraint in the calculation of the capacities of the frame members."
31.3102,Section 3102 Membrane Structures,3102.8,3102.8 Inflation Systems,2,Air-supported and air-inflated structures shall be provided with primary and auxiliary inflation systems to meet the minimum requirements of Sections 3102.8.1 through 3102.8.3.
31.3102,Section 3102 Membrane Structures,3102.8.1,3102.8.1 Equipment Requirements,3,The inflation system shall consist of one or more blowers and shall include provisions for automatic control to maintain the required inflation pressures. The system shall be so designed as to prevent overpressurization of the system.
31.3102,Section 3102 Membrane Structures,3102.8.1.1,3102.8.1.1 Auxiliary Inflation System,4,"In addition to the primary inflation system, in buildings larger than 1,500 square feet (140 m2) in area, an auxiliary inflation system shall be provided with sufficient capacity to maintain the inflation of the structure in case of primary system failure. The auxiliary inflation system shall operate automatically when there is a loss of internal pressure and when the primary blower system becomes inoperative."
31.3102,Section 3102 Membrane Structures,3102.8.1.2,3102.8.1.2 Blower Equipment,4,"Blower equipment shall meet all of the following requirements:Blowers shall be powered by continuous-rated motors at the maximum power required for any flow condition as required by the structural design.Blowers shall be provided with inlet screens, belt guards and other protective devices as required by the building official to provide protection from injury.Blowers shall be housed within a weather-protecting structure.Blowers shall be equipped with backdraft check dampers to minimize air loss when inoperative.Blower inlets shall be located to provide protection from air contamination. The location of inlets shall be approved."
