id,section,reference,title,depth,body
,,32,Chapter 32 Encroachments Into the Public Right-of-Way,0,User notes:About this chapter: From time to time it is necessary or appropriate for a portion of a building to encroach onto an adjoining public right-of-way. Chapter 32 establishes parameters for such encroachments not only at grade but also above and below grade.
32,Chapter 32 Encroachments Into the Public Right-of-Way,3201,Section 3201 General,1,
32.3201,Section 3201 General,3201.1,3201.1 Scope,2,The provisions of this chapter shall govern the encroachment of structures into the public right-of-way.
32.3201,Section 3201 General,3201.2,3201.2 Measurement,2,The projection of any structure or portion thereof shall be the distance measured horizontally from the lot line to the outermost point of the projection.
32.3201,Section 3201 General,3201.3,3201.3 Other Laws,2,The provisions of this chapter shall not be construed to permit the violation of other laws or ordinances regulating the use and occupancy of public property.
32.3201,Section 3201 General,3201.4,3201.4 Drainage,2,"Drainage water collected from a roof, awning, canopy or marquee, and condensate from mechanical equipment shall not flow over a public walking surface."
32,Chapter 32 Encroachments Into the Public Right-of-Way,3202,Section 3202 Encroachments,1,
32.3202,Section 3202 Encroachments,3202.1,3202.1 Encroachments Below Grade,2,Encroachments below grade shall comply with Sections 3202.1.1 through 3202.1.3.
32.3202,Section 3202 Encroachments,3202.1.1,3202.1.1 Structural Support,3,"A part of a building erected below grade that is necessary for structural support of the building or structure shall not project beyond the lot lines, except that the footings of street walls or their supports that are located not less than 8 feet (2438 mm) below grade shall not project more than 12 inches (305 mm) beyond the street lot line."
32.3202,Section 3202 Encroachments,3202.1.2,3202.1.2 Vaults and Other Enclosed Spaces,3,The construction and utilization of vaults and other enclosed spaces below grade shall be subject to the terms and conditions of the applicable governing authority.
32.3202,Section 3202 Encroachments,3202.1.3,3202.1.3 Areaways,3,"Areaways shall be protected by grates, guards or other approved means."
32.3202,Section 3202 Encroachments,3202.2,3202.2 Encroachments Above Grade and Below 8 Feet in Height,2,Encroachments into the public right-of-way above grade and below 8 feet (2438 mm) in height shall be prohibited except as provided for in Sections 3202.2.1 through 3202.2.3. Doors and windows shall not open or project into the public right-of-way.
32.3202,Section 3202 Encroachments,3202.2.1,3202.2.1 Steps,3,"Steps shall not project more than 12 inches (305 mm) and shall be guarded by approved devices not less than 3 feet (914 mm) in height, or shall be located between columns or pilasters."
32.3202,Section 3202 Encroachments,3202.2.2,3202.2.2 Architectural Features,3,"Columns or pilasters, including bases and moldings, shall not project more than 12 inches (305 mm). Belt courses, lintels, sills, architraves, pediments and similar architectural features shall not project more than 4 inches (102 mm)."
32.3202,Section 3202 Encroachments,3202.2.3,3202.2.3 Awnings,3,"The vertical clearance from the public right-of-way to the lowest part of any awning, including valances, shall be not less than 7 feet (2134 mm)."
32.3202,Section 3202 Encroachments,3202.3,3202.3 Encroachments 8 Feet or More Above Grade,2,Encroachments 8 feet (2438 mm) or more above grade shall comply with Sections 3202.3.1 through 3202.3.4.
32.3202,Section 3202 Encroachments,3202.3.1,"3202.3.1 Awnings, Canopies, Marquees and Signs",3,"Awnings, canopies, marquees and signs shall be constructed so as to support applicable loads as specified in Chapter 16. Awnings, canopies, marquees and signs with less than 15 feet (4572 mm) of clearance above the sidewalk shall not extend into or occupy more than two-thirds the width of the sidewalk measured from the building. Stanchions or columns that support awnings, canopies, marquees and signs shall be located not less than 2 feet (610 mm) in from the curb line."
32.3202,Section 3202 Encroachments,3202.3.2,"3202.3.2 Windows, Balconies, Architectural Features and Mechanical Equipment",3,"Where the vertical clearance above grade to projecting windows, balconies, architectural features or mechanical equipment is more than 8 feet (2438 mm), 1 inch (25 mm) of encroachment is permitted for each additional 1 inch (25 mm) of clearance above 8 feet (2438 mm), but the maximum encroachment shall be 4 feet (1219 mm)."
32.3202,Section 3202 Encroachments,3202.3.3,3202.3.3 Encroachments 15 Feet or More Above Grade,3,Encroachments 15 feet (4572 mm) or more above grade shall not be limited.
32.3202,Section 3202 Encroachments,3202.3.4,3202.3.4 Pedestrian Walkways,3,The installation of a pedestrian walkway over a public right-of-way shall be subject to the approval of the applicable governing authority. The vertical clearance from the public right-of-way to the lowest part of a pedestrian walkway shall be not less than 15 feet (4572 mm).
32.3202,Section 3202 Encroachments,3202.4,3202.4 Temporary Encroachments,2,"Where allowed by the applicable governing authority, vestibules and storm enclosures shall not be erected for a period of time exceeding 7 months in any 1 year and shall not encroach more than 3 feet (914 mm) nor more than one-fourth of the width of the sidewalk beyond the street lot line. Temporary entrance awnings shall be erected with a clearance of not less than 7 feet (2134 mm) to the lowest portion of the hood or awning where supported on removable steel or other approved noncombustible support."
