id,section,title,body
5,,General Building Heights and Areas,"User notes: About this chapter: Chapter 5 establishes the limits to which a building can be built. Building height, number of stories and building area are specified in this chapter. Chapter 5 must be used in conjunction with the occupancies established in Chapter 3 and the types of construction established in Chapter 6. This chapter also specifies the impact that mezzanines, accessory occupancies and mixed occupancies have on the overall size of a building. Code development reminder: Code change proposals to sections preceded by the designation [F] or [BE] will be considered by a code development committee meting during the 2024 (Group A) Code Development Cycle. All other code change proposals will be considered by a code development committee meeting during the 2025 (Group B) Code Development Cycle."
501,Chapter 5 General Building Heights and Areas,General,
501.1,Section 501 General,Scope,The provisions of this chapter control the height and area of structures hereafter erected and additions to existing structures.
502,Chapter 5 General Building Heights and Areas,Building Address,
502.1,Section 502 Building Address,Address Identification,"New and existing buildings shall be provided with approved address identification. The address identification shall be legible and placed in a position that is visible from the street or road fronting the property. Address identification characters shall contrast with their background. Address numbers shall be Arabic numbers or alphabetical letters. Numbers shall not be spelled out. Each character shall be a minimum of 4 inches (102 mm) high with a minimum stroke width of 1/2 inch (12.7 mm). Where required by the fire code official, address identification shall be provided in additional approved locations to facilitate emergency response. Where access is by means of a private road and the building address cannot be viewed from the public way, a monument, pole or other approved sign or means shall be used to identify the structure. Address identification shall be maintained."
503,Chapter 5 General Building Heights and Areas,General Building Height and Area Limitations,
503.1,Section 503 General Building Height and Area Limitations,General,"Unless otherwise specifically modified in Chapter 4 and this chapter, building height, number of stories and building area shall not exceed the limits specified in Sections 504 and 506 based on the type of construction as determined by Section 602 and the occupancies as determined by Section 302 except as modified hereafter. Building height, number of stories and building area provisions shall be applied independently. For the purposes of determining area limitations, height limitations and type of construction, each portion of a building separated by one or more fire walls complying with Section 706 shall be considered to be a separate building."
503.1.1,Section 503 General Building Height and Area Limitations,Special Industrial Occupancies,"Buildings and structures designed to house special industrial processes that require large areas and unusual building heights to accommodate craneways or special machinery and equipment, including, among others, rolling mills; structural metal fabrication shops and foundries; or the production and distribution of electric, gas or steam power, shall be exempt from the building height, number of stories and building area limitations specified in Sections 504 and 506."
503.1.2,Section 503 General Building Height and Area Limitations,Buildings on Same Lot,"Two or more buildings on the same lot shall be regulated as separate buildings or shall be considered as portions of one building where the building height, number of stories of each building and the aggregate building area of the buildings are within the limitations specified in Sections 504 and 506. The provisions of this code applicable to the aggregate building shall be applicable to each building."
503.1.3,Section 503 General Building Height and Area Limitations,Type I Construction,Buildings of Type I construction permitted to be of unlimited tabular building heights and areas are not subject to the special requirements that allow unlimited area buildings in Section 507 or unlimited building height in Sections 503.1.1 and 504.3 or increased building heights and areas for other types of construction.
503.1.4,Section 503 General Building Height and Area Limitations,Occupiable Roofs,"A roof level or portion thereof shall not be used as an occupiable roof unless the occupancy of the roof is an occupancy that is permitted by Table 504.4 for the story immediately below the roof. The area of the occupiable roofs shall not be included in the building area as regulated by Section 506. An occupiable roof shall not be included in the building height or number of stories as regulated by Section 504, provided that the penthouses and other enclosed rooftop structures comply with Section 1511. Exceptions: The occupancy located on an occupiable roof shall not be limited to the occupancies allowed on the story immediately below the roof where the building is equipped throughout with an automatic sprinkler system in accordance with Section 903.3.1.1 or 903.3.1.2 and occupant notification in accordance with Sections 907.5.2.1 and 907.5.2.3 is provided in the area of the occupiable roof. Emergency voice/alarm communication system notification per Section 907.5.2.2 shall also be provided in the area of the occupiable roof where such system is required elsewhere in the building. Assembly occupancies shall be permitted on roofs of open parking spaces of Type I or Type II construction, in accordance with the exception to Section 903.2.1.6."
503.1.4.1,Section 503 General Building Height and Area Limitations,Enclosures Over Occupiable Roof Areas,"Elements or structures enclosing the occupiable roof areas shall not extend more than 48 inches (1220 mm) above the surface of the occupiable roof. Exceptions: Penthouses constructed in accordance with Section 1511.2 and towers, domes, spires and cupolas constructed in accordance with Section 1511.5. Elements or structures enclosing the occupiable roof areas where the roof deck is located more than 75 feet (22 860 mm) above the lowest level of fire department vehicle access."
504,Chapter 5 General Building Heights and Areas,Building Height and Number of Stories,
504.1,Section 504 Building Height and Number of Stories,General,"The height, in feet, and the number of stories of a building shall be determined based on the type of construction, occupancy classification and whether there is an automatic sprinkler system installed throughout the building.Exception: The building height of one-story aircraft hangars, aircraft paint hangars and buildings used for the manufacturing of aircraft shall not be limited where the building is provided with an automatic sprinkler system or automatic fire-extinguishing system in accordance with Chapter 9 and is entirely surrounded by public ways or yards not less in width than one and one-half times the building height."
504.1.1,Section 504 Building Height and Number of Stories,Unlimited Area Buildings,The height of unlimited area buildings shall be designed in accordance with Section 507.
504.1.2,Section 504 Building Height and Number of Stories,Special Provisions,"The special provisions of Section 510 permit the use of special conditions that are exempt from, or modify, the specific requirements of this chapter regarding the allowable heights of buildings based on the occupancy classification and type of construction, provided the special condition complies with the provisions specified in Section 510."
504.2,Section 504 Building Height and Number of Stories,Mixed Occupancy,"In a building containing mixed occupancies in accordance with Section 508, no individual occupancy shall exceed the height and number of story limits specified in this section for the applicable occupancies."
