id,section,reference,title,depth,body
,,1,Chapter 1 Scope and Administration,0,"User notes: About this chapter: This chapter contains provisions for the application, enforcement and administration of subsequent requirements of the code. In addition to establishing the scope of the code, Chapter 1 identifies which buildings and structures come under its purview."
1,Chapter 1 Scope and Administration,divider_1_1,"Part <span class=""code_deletion"">1</span> <span class=""code_deletion"">Scope and Application</span>",1,
1,Chapter 1 Scope and Administration,R101,Section R101 Scope and General Requirements,1,
1,Chapter 1 Scope and Administration,R101.1,"<span class=""code_addition"">[NY]</span>  R101.1 Title",2,"This publication shall be known as the 2025 edition of the Residential Code of New York State, and is hereinafter referred to as ""this code."" This code is part of the New York State Uniform Fire Prevention and Building Code (the ""Uniform Code"")."
1,Chapter 1 Scope and Administration,new_R101.1.1,[NY]  R101.1.1 Amendments of New York State Code Books,3,"In Chapter 1, the term ""New York State code books"" shall include the Residential Code of New York State (i.e., this publication), the Building Code of New York State, the Plumbing Code of New York State, the Mechanical Code of New York State, the Fuel Gas Code of New York State, the Fire Code of New York State, the Property Maintenance Code of New York State, the Existing Building Code of New York State, and the Energy Conservation Construction Code of New York State. Provisions in any one or more of the New York State code books may be amended from time to time by provisions in 19 NYCRR Parts 1220 to 1227 or 19 NYCRR Part 1240, as currently in effect and as hereafter amended from time to time. If this publication is now or hereafter so amended, references in this publication to ""this code"" shall be deemed to be references to this publication as so amended. If any other New York State code book is now or hereafter so amended, references in this code to such other New York State code book shall be deemed to be references to such New York State code book as so amended."
1,Chapter 1 Scope and Administration,R101.2,"<span class=""code_addition"">[NY]</span>  R101.2 Scope",2,"The provisions of this code shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, removal and demolition of the following buildings and structures, provided that such building or structure is not more than three stories above grade plane in height with a separate means of egress and their accessory structures not more than three stories above grade plane in height: Detached one-family dwellings. Detached two-family dwellings in which each dwelling unit has a separate means of egress. Townhouses. Bed and breakfast dwellings. Live/work units located in townhouses and complying with the requirements of Section 508.5 of the Building Code of New York State. Owner-occupied lodging houses that have five or fewer guestrooms and are provided with an automatic sprinkler system complying with Section P2904 of this code. Manufactured homes used as dwelling units. Exception: Application of the provisions of the Building Code of New York State to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, removal and demolition of the buildings and structures listed in Section R101.2 is permitted, provided that all applicable provisions of the Building Code of New York State are applied."
1,Chapter 1 Scope and Administration,R101.2.1,"<span class=""code_addition"">[NY]</span>  R101.2.1 Appendices",3,"Provisions in the following appendices have been adopted and are made part of this code: Appendix BA Manufactured Housing Used as Dwellings Appendix BB Tiny Houses Appendix BF Patio Covers Appendix BO Existing Buildings and Structures In addition, the following appendices are included for informational purposes: Appendix BE Radon Control Methods Appendix BG Sound Transmission Appendix BH Automatic Vehicular Gates Appendix BI Light Straw-Clay Construction Appendix BJ Strawbale Construction Appendix BK Cob Construction (Monolithic Adobe) Appendix BL Hemp-Lime (Hempcrete) Construction Appendix BM 3D-Printing Building Construction Appendix BN Extended Wall Plate Construction Appendix CA Sizing and Capacities of Gas Piping Appendix CB Sizing of Venting Systems Serving Appliances Equipped with Draft Hoods, Category I Appliances and Appliances Listed for Use with Type B Vents Appendix CC Recommended Procedure for Safety Inspection of an Existing Appliance Installation Appendix CD Piping Standards for Various Applications Appendix CE Venting Methods Appendix CG Nonsewered Sanitation Systems Appendix CF Sizing of Water Piping Systems"
1,Chapter 1 Scope and Administration,new_R101.2.2,[NY]  R101.2.2 Facilities Regulated by New York State Departments or Agencies,3,"Where a building or premises under the custody, licensure, supervision or jurisdiction of a department or agency of the State of New York is regulated as a one- or two-family dwelling or multiple single-family dwelling (townhouse), in accordance with established laws or regulations of that department or agency, said buildings or premises, such as a community residence or hospice residence, and their accessory structures shall comply with this code, provided that such building or structure is not more than three stories above grade plane in height, and their accessory structures not more than three stories above grade plane in height."
1,Chapter 1 Scope and Administration,R101.3,R101.3 Purpose,2,"The purpose of this code is to establish minimum requirements to provide a reasonable level of safety, health and general welfare through affordability, structural strength, means of egress, stability, sanitation, light and ventilation, energy conservation and safety to life and property from fire and other hazards and to provide a reasonable level of safety to firefighters and emergency responders during emergency operations."
1,Chapter 1 Scope and Administration,new_R101.4,[NY]  R101.4 Provisions Included in Uniform Code,2,"The purpose of this chapter is to include in the Uniform Code provisions requiring persons and entities who construct, renovate, use and occupy buildings and structures to apply for and obtain building permits, to facilitate construction inspections, to obey stop work orders, to obtain certificates of occupancy, and to obtain operating permits. The provisions in this chapter are considered to be integral parts of the Uniform Code's standards for construction, maintenance, and fire protection equipment and systems."
1,Chapter 1 Scope and Administration,new_R101.4.1,[NY]  R101.4.1 Definition,3,"For the purpose of this chapter, the term ""other applicable law"" shall include the authority having jurisdiction's Code Enforcement Program; any local law, ordinance, or regulation establishing the authority having jurisdiction's Code Enforcement Program; and any other applicable statute, regulation, rule, local law, or ordinance."
1,Chapter 1 Scope and Administration,R102,Section R102 Applicability,1,
1,Chapter 1 Scope and Administration,R102.1,R102.1 General,2,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
1,Chapter 1 Scope and Administration,R102.2,"<span class=""code_addition"">[NY]</span>  R102.2 Other Laws<span class=""code_addition""> and Regulations</span>",2,"This code is part of the Uniform Code promulgated pursuant to Article 18 of the New York State Executive Law. The provisions of the Uniform Code shall not be deemed to nullify any federal, state or local statute, rule, regulation, law or ordinance relating to any matter as to which the Uniform Code does not provide. However: Pursuant to Section 383(1) of the Executive Law, and except as otherwise provided in paragraphs a, b, and c of Section 383(1) of the Executive Law, the provisions of the Uniform Code supersede any other provision of a general, special or local law, ordinance, administrative code, rule or regulation inconsistent or in conflict with the Uniform Code; Pursuant to Section 379(3) of the Executive Law, no city, town, village, county or other municipality shall have the power to supersede, void, repeal, or make less restrictive any provision of the Uniform Code; and The ability of any city, town, or village, or the County of Nassau, to enact or adopt, and to enforce, a local law or ordinance imposing higher or more restrictive standards for construction within the jurisdiction of such city, town, village, or county that are applicable generally to such city, town, village, or county in the Uniform Code is subject to the provisions and requirements of Section 379 of the Executive Law. Nothing in this section shall be construed as any of the following: Affecting the authority of the State Labor Department to enforce a safety or health standard issued under provisions of Sections 27 and 27-a of the Labor Law; Relieving a person from complying with a stricter standard issued pursuant to the Occupational Safety and Health Act of 1970, as amended; and Superseding, limiting, impairing or otherwise affecting any provision the Uniform Code, as now in effect and as hereafter amended from time to time."
1,Chapter 1 Scope and Administration,new_R102.2.1,"[NY]  R102.2.1 Other New York Codes, Rules and Regulations (NYCRR)",3,"Additional New York Codes, Rules and Regulations exist that may affect new and existing buildings, structures, systems and equipment. Such regulations include, but are not limited to: 19 NYCRR Part 300 (Universal Symbol of Access), 19 NYCRR Part 1261 (Recordkeeping—Smoke Detectors in Multiple Dwellings), 19 NYCRR Part 1264 (Identification of Buildings Utilizing Truss Type Construction), and 19 NYCRR Part 1265 (Residential Structures with Truss Type Construction, Pre-Engineered Wood Construction and/or Timber Construction)."
1,Chapter 1 Scope and Administration,R102.3,R102.3 Application of References,2,"References to chapter or section numbers, or to provisions not specifically identified by number, shall be construed to refer to such chapter, section or provision of this code."
1,Chapter 1 Scope and Administration,R102.4,R102.4 Referenced Codes and Standards,2,"The codes and standards referenced in this code shall be considered part of the requirements of this code to the prescribed extent of each such reference and as further regulated in Sections R102.4.1 and R102.4.2. Exception: Where enforcement of a code provision would violate the conditions of the listing of the equipment or appliance, the conditions of the listing and manufacturer's instructions shall apply."
1,Chapter 1 Scope and Administration,R102.4.1,R102.4.1 Conflicts,3,"Where conflicts occur between provisions of this code and referenced codes and standards, the provisions of this code shall apply."
1,Chapter 1 Scope and Administration,R102.4.2,R102.4.2 Provisions in Referenced Codes and Standards,3,"Where the extent of the reference to a referenced code or standard includes subject matter that is within the scope of this code, the provisions of this code, as applicable, shall take precedence over the provisions in the referenced code or standard."
1,Chapter 1 Scope and Administration,R102.5,"<span class=""code_addition"">[NY]</span>  R102.5 Partial Invalidity",2,"In the event any part or provision of this code is held by a court of competent jurisdiction to be illegal or void, this shall not have the effect of making void or illegal any of the other parts or provisions."
1,Chapter 1 Scope and Administration,R102.6,"<span class=""code_addition"">[NY]</span>  R102.6 Existing Structures",2,"The legal occupancy of any structure existing on the effective date of this code shall be permitted to continue without change, except as required by any provision of this code or by any other provision of the Uniform Code. For the purposes of this section, the ""effective date of this code"" shall be deemed to be December 31, 2025."
1,Chapter 1 Scope and Administration,R102.6.1,"<span class=""code_addition"">[NY]</span>  R102.6.1 Additions, Alterations, Change of Use or Repairs",3,"Additions, alterations or repairs to any structure shall comply with the requirements of Appendix BO. All new work shall conform to the requirements for a new structure without requiring the existing structure to comply with the requirements of this code, unless otherwise stated. Additions, alterations, repairs and relocations shall not cause an existing structure to become unsafe or adversely affect the performance of the structure. Where additions, alterations or changes of use to an existing structure result in a use, occupancy, height or means of egress outside the scope of this code, the structure shall comply with the Existing Building Code of New York State."
1,Chapter 1 Scope and Administration,new_R102.6.2,[NY]  R102.6.2 Change in Use or Occupancy,3,No change shall be made in the use or occupancy of any building or structure unless such building or structure is made to comply with the requirements of Appendix BO of this code.
1,Chapter 1 Scope and Administration,new_R102.7,[NY]  R102.7 Factory Manufactured Buildings (Modular Buildings),2,"Factory manufactured buildings shall be constructed and installed in accordance with the requirements of the Uniform Code and shall bear an Insignia of Approval issued in accordance with the 19 NYCRR Part 1209 (entitled ""Regulations and Fees for Factory Manufactured Homes""), as currently in effect and as hereafter amended from time to time."
1,Chapter 1 Scope and Administration,new_R102.8,[NY]  R102.8 Manufactured Homes,2,"Manufactured homes shall be constructed in accordance with the requirements of 24 CFR Part 3280; and assembled and installed in accordance with the requirements of this code and in accordance with the 19 NYCRR Part 1210 (entitled ""Manufactured Homes""), as currently in effect and as hereafter amended from time to time."
1,Chapter 1 Scope and Administration,divider_1_2,"Part <span class=""code_deletion"">2</span> <span class=""code_deletion"">Administration and Enforcement</span>",1,
1,Chapter 1 Scope and Administration,R103,"Section <span class=""code_deletion"">R103</span> <span class=""code_deletion"">Code Compliance Agency</span>",1,
1,Chapter 1 Scope and Administration,new_R103,[NY] Section R103 Administration and Enforcement,1,
