id,section,title,body
11,,[RE] Energy Efficiency [NY] Reserved,
N1101,Chapter 11 [RE] Energy Efficiency [NY] Reserved,General,
N1102,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R402) Building Thermal Envelope,
N1103,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R403) Systems,
N1104,Chapter 11 [RE] Energy Efficiency [NY] Reserved,"(R404) Electrical Power, Lighting and Renewable Energy Systems",
N1105,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R405) Simulated Building Performance,
N1106,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R406) Energy Rating Index Compliance Alternative,
N1107,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R407) Tropical Climate Region Compliance Path,
N1108,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R408) Additional Efficiency Requirements,
N1109,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R501) Existing Buildings—General,
N1110,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R502) Additions,
N1111,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R503) Alterations,
N1112,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R504) Repairs,
N1113,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R505) Change of Occupancy or Use,
