id,section,reference,title,depth,body
,,14,Chapter 14 Heating and Cooling Equipment and Appliances,0,"User notes:About this chapter: Chapter 14 addresses the indoor environmental control systems and appliances typically found in dwelling units. Coverage includes general requirements for equipment and appliance sizing, condensate disposal, access and support, and specific coverage for more than a dozen different types of space conditioning equipment and appliances common to dwelling units."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401,Section M1401 General,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.1,M1401.1 Installation,2,Heating and cooling equipment and appliances shall be installed in accordance with the manufacturer's instructions and the requirements of this code.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.2,M1401.2 Access,2,"Heating and cooling equipment and appliances shall be located with respect to building construction and other equipment and appliances to permit maintenance, servicing and replacement. Clearances shall be maintained to permit cleaning of heating and cooling surfaces; replacement of filters, blowers, motors, controls and vent connections; lubrication of moving parts; and adjustments.Exception: Access shall not be required for ducts, piping, or other components approved for concealment."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.3,M1401.3 Equipment and Appliance Sizing,2,Heating and cooling equipment and appliances shall be sized in accordance with ACCA Manual S or other approved sizing methodologies based on building loads calculated in accordance with ACCA Manual J or other approved heating and cooling calculation methodologies. Exception: Heating and cooling equipment and appliance sizing shall not be limited to the capacities determined in accordance with ACCA Manual S where either of the following conditions applies: The specified equipment or appliance utilizes multistage technology or variable refrigerant flow technology and the loads calculated in accordance with the approved heating and cooling calculation methodology are within the range of the manufacturer's published capacities for that equipment or appliance. The specified equipment or appliance manufacturer's published capacities cannot satisfy both the total and sensible heat gains calculated in accordance with the approved heating and cooling calculation methodology and the next larger standard size unit is specified.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.4,M1401.4 Outdoor Installations,2,"Equipment and appliances installed outdoors shall be listed and labeled for outdoor installation. Supports and foundations shall prevent excessive vibration, settlement or movement of the equipment. Supports and foundations shall be in accordance with Section M1305.1.3.1."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.5,M1401.5 Flood Hazard,2,"In flood hazard areas as established by Table R301.2, heating and cooling equipment and appliances shall be located or installed in accordance with Section R306.1.6."
14,Chapter 14 Heating and Cooling Equipment and Appliances,new_M1401.6,"[NY]  M1401.6 Solid Fuel-Burning Heating Appliances, Chimneys and Flues",2,"Building permits, inspection requirements, and compliance certificates for the installation, inspection, and subsequent use of solid fuel-burning heating appliances, chimneys and flues shall be in accordance with Section R115."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1402,Section M1402 Central Furnaces,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1402.1,M1402.1 General,2,Oil-fired central furnaces shall be listed and labeled in accordance with UL 727. Electric furnaces shall be listed and labeled in accordance with UL 1995 or UL/CSA 60335-2-40.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1402.2,M1402.2 Clearances,2,Clearances shall be provided in accordance with the listing and the manufacturer's installation instructions.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1402.3,M1402.3 Combustion Air,2,Combustion air shall be supplied in accordance with Chapter 17. Combustion air openings shall be unobstructed for a distance of not less than 6 inches (152 mm) in front of the openings.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1403,Section M1403 Heat Pump Equipment,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1403.1,M1403.1 Heat Pumps,2,Electric heat pumps shall be listed and labeled in accordance with UL 1995 or UL/CSA 60335-2-40.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1404,Section M1404 Refrigeration Cooling Equipment,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1404.1,M1404.1 Compliance,2,"Refrigeration cooling equipment shall be listed and labeled in accordance with UL 484, UL 1995 or UL/CSA 60335-2-40 ."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1405,Section M1405 Baseboard Convectors,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1405.1,M1405.1 General,2,Electric baseboard convectors shall be installed in accordance with the manufacturer's instructions and Chapters 34 through 43. Electric baseboard heaters shall be listed and labeled in accordance with UL 1042.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1406,Section M1406 Radiant Heating Systems,1,
