id,section,reference,title,depth,body
,,19,"Chapter 19 Special Appliances, Equipment and Systems",0,"User notes:About this chapter: Chapter 19 is specific to appliances and systems that are not related to HVAC, including cooking appliances, sauna heaters, fuel cells and hydrogen systems. Chapter 24 also applies to cooking appliances and sauna heaters."
19,"Chapter 19 Special Appliances, Equipment and Systems",M1901,Section M1901 Ranges and Ovens,1,
19,"Chapter 19 Special Appliances, Equipment and Systems",M1901.1,M1901.1 Clearances,2,Freestanding or built-in ranges shall have a vertical clearance above the cooking top of not less than 30 inches (762 mm) to unprotected combustible material. Reduced clearances are permitted in accordance with the listing and labeling of the range hoods or ovens with integral exhaust.
19,"Chapter 19 Special Appliances, Equipment and Systems",M1901.2,M1901.2 Cooking Appliances,2,Cooking appliances shall be listed and labeled for household use and shall be installed in accordance with the manufacturer's instructions. The installation shall not interfere with combustion air or access for operation and servicing. Electric cooking appliances shall comply with UL 858 or UL 1026. Solid-fuel-fired fireplace stoves shall comply with UL 737. Microwave ovens shall comply with UL 923.
19,"Chapter 19 Special Appliances, Equipment and Systems",M1902,Section M1902 Sauna Heaters,1,
19,"Chapter 19 Special Appliances, Equipment and Systems",M1902.1,M1902.1 Locations and Protection,2,"Sauna heaters shall be protected from accidental contact by persons with a guard of material having a low thermal conductivity, such as wood. The guard shall not have a substantial effect on the transfer of heat from the heater to the room."
19,"Chapter 19 Special Appliances, Equipment and Systems",M1902.2,M1902.2 Installation,2,Sauna heaters shall be installed in accordance with the manufacturer's instructions. Sauna heaters shall comply with UL 875.
19,"Chapter 19 Special Appliances, Equipment and Systems",M1902.3,M1902.3 Combustion Air,2,"Combustion air and venting for a nondirect vent-type heater shall be provided in accordance with Chapters 17 and 18, respectively."
19,"Chapter 19 Special Appliances, Equipment and Systems",M1902.4,M1902.4 Controls,2,"Sauna heaters shall be equipped with a thermostat that will limit room temperature to not greater than 194°F (90°C). Where the thermostat is not an integral part of the heater, the heat-sensing element shall be located within 6 inches (152 mm) of the ceiling."
19,"Chapter 19 Special Appliances, Equipment and Systems",M1903,Section M1903 Stationary Fuel Cell Power Plants,1,
19,"Chapter 19 Special Appliances, Equipment and Systems",M1903.1,M1903.1 General,2,"Stationary fuel cell power plants having a power output not exceeding 1,000 kW shall comply with ANSI/CSA America FC 1 and shall be installed in accordance with the manufacturer's instructions and NFPA 853."
19,"Chapter 19 Special Appliances, Equipment and Systems",M1904,Section M1904 Gaseous Hydrogen Systems,1,
19,"Chapter 19 Special Appliances, Equipment and Systems",M1904.1,M1904.1 Installation,2,"Gaseous hydrogen systems shall be installed in accordance with the applicable requirements of Sections M1307.4 and M1903.1, the Building Code of New York State, the Fire Code of New York State and the Fuel Gas Code of New York State."
