id,section,reference,title,depth,body
,,34,Chapter 34 General Requirements,0,"This Electrical Part (Chapters 34 through 43) is produced and copyrighted by the National Fire Protection Association (NFPA) and is based on the 2023 National Electrical Code® (NEC®) (NFPA 70®—2023), copyright 2023, National Fire Protection Association, all rights reserved. Use of the Electrical Part is pursuant to license with the NFPA. The title National Electrical Code®, the acronym NEC® and the document number NFPA 70® are registered trademarks of the National Fire Protection Association, Quincy, MA. The section numbers appearing in parentheses or brackets after RCNYS text are the section numbers of the corresponding text in the National Electrical Code (NFPA 70). IMPORTANT NOTICE AND DISCLAIMER CONCERNING THE NEC AND THIS ELECTRICAL PART. This Electrical Part is a compilation of provisions extracted from the 2023 edition of the NEC. The NEC, like all NFPA codes and standards, is developed through a consensus standards development process approved by the American National Standards Institute. This process brings together volunteers representing varied viewpoints and interests to achieve consensus on fire and other safety issues. While the NFPA administers the process and establishes rules to promote fairness in the development of consensus, it does not independently test, evaluate or verify the accuracy of any information or the soundness of any judgments contained in its codes and standards. The NFPA disclaims liability for any personal injury, property or other damages of any nature whatsoever, whether special, indirect, consequential or compensatory, directly or indirectly resulting from the publication, use of, or reliance on the NEC or this Electrical Part. The NFPA also makes no guaranty or warranty as to the accuracy or completeness of any information published in these documents. In issuing and making the NEC and this Electrical Part available, the NFPA is not undertaking to render professional or other services for or on behalf of any person or entity. Nor is the NFPA undertaking to perform any duty owed by any person or entity to someone else. Anyone using these documents should rely on their own independent judgment or, as appropriate, seek the advice of a competent professional in determining the exercise of reasonable care in any given circumstances. The NFPA has no power, nor does it undertake, to police or enforce compliance with the contents of the NEC and this Electrical Part. Nor does the NFPA list, certify, test, or inspect products, designs, or installations for compliance with these documents. Any certification or other statement of compliance with the requirements of these documents shall not be attributable to the NFPA and is solely the responsibility of the certifier or maker of the statement. For additional notices and disclaimers concerning NFPA codes and standards see http://www.nfpa.org/disclaimers. ICC user notes: About this chapter: Chapter 34 contains broadly applicable requirements including provisions for the protection of the structural elements of a building, inspection of work, general installation and conductor identification. This chapter requires that all electrical system components be listed and labeled by an approved agency. The electrical provisions of this code are identical to the intent of the NEC provisions except that this code requires all electrical system components be listed and labeled. The code does not contain unique electrical requirements. A dwelling built to the code will have electrical systems identical to those required by the respective edition of the NEC. This code addresses only those electrical systems that are common to dwelling construction, and the NEC is referenced for any subject not addressed in the code."
34,Chapter 34 General Requirements,E3401,Section E3401 General,1,
34,Chapter 34 General Requirements,E3401.1,E3401.1 Applicability,2,"The provisions of Chapters 34 through 43 shall establish the general scope of the electrical system and equipment requirements of this code. Chapters 34 through 43 cover those wiring methods and materials most commonly encountered in the construction of one- and two-family dwellings and structures regulated by this code. Other wiring methods, materials and subject matter covered in NFPA 70 are also allowed by this code."
34,Chapter 34 General Requirements,E3401.2,E3401.2 Scope,2,"Chapters 34 through 43 shall cover the installation of electrical systems, equipment and components indoors and outdoors that are within the scope of this code, including services, power distribution systems, fixtures, appliances, devices and appurtenances. Services within the scope of this code shall be limited to 120/240-volt, 0- to 400-ampere, single-phase systems. These chapters specifically cover the equipment, fixtures, appliances, wiring methods and materials that are most commonly used in the construction or alteration of one- and two-family dwellings and accessory structures regulated by this code. The omission from these chapters of any material or method of construction provided for in the referenced standard NFPA 70 shall not be construed as prohibiting the use of such material or method of construction. Electrical systems, equipment or components not specifically covered in these chapters shall comply with the applicable provisions of NFPA 70."
34,Chapter 34 General Requirements,new_E3401.2.1,[NY]  E3401.2.1 Owner-Occupied One-Family Dwellings,3,"Owner-occupied one-family dwellings and accessory structures shall not be required to be provided with electrical power, wiring, devices and equipment, unless expressly required by statute, local law, ordinance, or other regulations. If an on-site electrical power system is installed or used, all electrical wiring, devices and equipment in such system shall comply with Part VIII—Electrical of this code."
34,Chapter 34 General Requirements,E3401.3,E3401.3 Not Covered,2,"Chapters 34 through 43 do not cover the following:Installations, including associated lighting, under the exclusive control of communications utilities and electric utilities.Services over 400 amperes."
34,Chapter 34 General Requirements,E3401.4,E3401.4 Additions and Alterations,2,"Any addition or alteration to an existing electrical system shall be made in conformity to the provisions of Chapters 34 through 43. Where additions subject portions of existing systems to loads exceeding those permitted herein, such portions shall be made to comply with Chapters 34 through 43."
34,Chapter 34 General Requirements,E3402,Section E3402 Building Structure Protection,1,
34,Chapter 34 General Requirements,E3402.1,E3402.1 Drilling and Notching,2,"Wood-framed structural members shall not be drilled, notched or altered in any manner except as provided for in this code."
34,Chapter 34 General Requirements,E3402.2,E3402.2 Penetrations of Fire-Resistance-Rated Assemblies,2,"Electrical installations in hollow spaces, vertical shafts and ventilation or air-handling ducts shall be made so that the possible spread of fire or products of combustion will not be substantially increased. Electrical penetrations into or through fire-resistance-rated walls, partitions, floors or ceilings shall be protected by approved methods to maintain the fire-resistance rating of the element penetrated. Penetrations of fire-resistance-rated walls shall be limited as specified in Section R302.4. (300.21)"
34,Chapter 34 General Requirements,E3402.3,E3402.3 Penetrations of Firestops and Draftstops,2,Penetrations through fire blocking and draftstopping shall be protected in an approved manner to maintain the integrity of the element penetrated.
34,Chapter 34 General Requirements,E3403,Section E3403 Inspection and Approval,1,
34,Chapter 34 General Requirements,E3403.1,E3403.1 Approval,2,"Electrical materials, components and equipment shall be approved. (110.2)"
34,Chapter 34 General Requirements,E3403.2,E3403.2 Inspection Required,2,New electrical work and parts of existing systems affected by new work or alterations shall be inspected by the building official to ensure compliance with the requirements of Chapters 34 through 43.
34,Chapter 34 General Requirements,E3403.3,E3403.3 Listing and Labeling,2,"Electrical materials, components, devices, fixtures and equipment shall be listed or identified for the application, shall bear the label of an approved agency and shall be installed, and used, or both, in accordance with any instructions included in the listing, labeling or identification. [110.3(B)]"
34,Chapter 34 General Requirements,E3404,Section E3404 General Equipment Requirements,1,
34,Chapter 34 General Requirements,E3404.1,E3404.1 Voltages,2,"Throughout Chapters 34 through 43, the voltage considered shall be that at which the circuit operates. The voltage rating of electrical equipment shall be not less than the nominal voltage of the circuit to which it is connected. (110.4)"
34,Chapter 34 General Requirements,E3404.2,E3404.2 Interrupting Rating,2,"Equipment intended to interrupt current at fault levels shall have a minimum interrupting rating of 10,000 amperes at the nominal circuit voltage. Equipment intended to interrupt current at levels other than fault levels shall have an interrupting rating at nominal circuit voltage of not less than the current that must be interrupted. (110.9)"
34,Chapter 34 General Requirements,E3404.3,E3404.3 Circuit Characteristics,2,"The overcurrent protective devices, total impedance, equipment short-circuit current ratings and other characteristics of the circuit to be protected shall be so selected and coordinated as to permit the circuit protective devices that are used to clear a fault to do so without extensive damage to the electrical equipment of the circuit. This fault shall be assumed to be either between two or more of the circuit conductors or between any circuit conductor and the equipment grounding conductors permitted in Section E3908.9. Listed equipment applied in accordance with its listing shall be considered to meet the requirements of this section. (110.10)"
34,Chapter 34 General Requirements,E3404.4,E3404.4 Enclosure Types,2,"Enclosures, other than surrounding fences or walls, of enclosed panelboards, meter sockets, enclosed switches, transfer switches, circuit breakers, pullout switches and motor controllers, rated not over 600 volts nominal and intended for such locations, shall be marked with an enclosure-type number as shown in Table E3404.4. Table E3404.4 shall be used for selecting these enclosures for use in specific locations other than hazardous (classified) locations. The enclosures are not intended to protect against conditions such as condensation, icing, corrosion, or contamination that might occur within the enclosure or enter through the raceway or unsealed openings. (110.28) TABLE E3404.4 (Table 110.28)—ENCLOSURE SELECTION PROVIDES A DEGREE OF PROTECTION AGAINST THE FOLLOWING ENVIRONMENTAL CONDITIONS FOR OUTDOOR USE Enclosure type number 3 3R 3S 3X 3RX 3SX 4 4X 6 6P Incidental contact with the enclosed equipment X X X X X X X X X X Rain, snow and sleet X X X X X X X X X X Sleeta — — X — — X — — — — Windblown dust X — X X — X X X X X Hosedown — — — — — — X X X X Corrosive agents — — — X X X — X — X Temporary submersion — — — — — — — — X X Prolonged submersion — — — — — — — — — X PROVIDES A DEGREE OF PROTECTION AGAINST THE FOLLOWING ENVIRONMENTAL CONDITIONS FOR INDOOR USE Enclosure type number 1 2 4 4X 5 6 6P 12 12K 13 Incidental contact with the enclosed equipment X X X X X X X X X X Falling dirt X X X X X X X X X X Falling liquids and light splashing — X X X X X X X X X Circulating dust, lint, fibers and flyings — — X X — X X X X X Settling airborne dust, lint, fibers and flyings — — X X X X X X X X Hosedown and splashing water — — X X — X X — — — Oil and coolant seepage — — — — — — — X X X Oil or coolant spraying and splashing — — — — — — — — — X Corrosive agents — — — X — — X — — — Temporary submersion — — — — — X X — — — Prolonged submersion — — — — — — X — — — The mechanism shall be operable when ice covered. Note 1: The term ""raintight"" is typically used in conjunction with Enclosure Types 3, 3S, 3SX, 3X, 4, 4X, 6 and 6P. The term ""rainproof"" is typically used in conjunction with Enclosure Types 3R and 3RX. The term ""watertight"" is typically used in conjunction with Enclosure Types 4, 4X, 6 and 6P. The term ""driptight"" is typically used in conjunction with Enclosure Types 2, 5, 12, 12K and 13. The term ""dusttight"" is typically used in conjunction with Enclosure Types 3, 3S, 3SX, 3X, 5, 12, 12K and 13. Note 2: Ingress protection (IP) ratings are found in ANSI/NEMA 60529, Degrees of Protection Provided by Enclosures. Note 3: Some Type 4X enclosures may be marked ""indoor only."""
34,Chapter 34 General Requirements,E3404.5,E3404.5 Protection of Equipment,2,"Equipment not identified for outdoor use and equipment identified only for indoor use, such as ""dry locations,"" ""indoor use only"" ""damp locations,"" or enclosure Type 1, 2, 5, 12, 12K and 13, shall be protected against damage from the weather during construction. (110.11)"
34,Chapter 34 General Requirements,E3404.6,E3404.6 Unused Openings,2,"Unused openings, other than those intended for the operation of equipment, those intended for mounting purposes, and those permitted as part of the design for listed equipment, shall be closed to afford protection substantially equivalent to the wall of the equipment. Where metallic plugs or plates are used with nonmetallic enclosures they shall be recessed at least 1/4 inch (6.4 mm) from the outer surface of the enclosure. [110.12(A)]"
34,Chapter 34 General Requirements,E3404.7,E3404.7 Integrity of Electrical Equipment,2,"Internal parts of electrical equipment, including busbars, wiring terminals, insulators and other surfaces, shall not be damaged or contaminated by foreign materials such as paint, plaster, cleaners or abrasives, and corrosive residues. There shall not be any damaged parts that might adversely affect safe operation or mechanical strength of the equipment such as parts that are broken; bent; cut; deteriorated by corrosion, chemical action, or overheating. Foreign debris shall be removed from equipment. [110.12(B)]"
34,Chapter 34 General Requirements,E3404.8,E3404.8 Mounting,2,"Electrical equipment shall be firmly secured to the surface on which it is mounted. Wooden plugs driven into masonry, concrete, plaster, or similar materials shall not be used. [110.13(A)]"
34,Chapter 34 General Requirements,E3404.9,E3404.9 Energized Parts Guarded Against Accidental Contact,2,Approved enclosures shall guard energized parts that are operating at 50 volts or more against accidental contact. [110.27(A)]
34,Chapter 34 General Requirements,E3404.10,E3404.10 Prevent Physical Damage,2,"In locations where electrical equipment is likely to be exposed to physical damage, enclosures or guards shall be so arranged and of such strength as to prevent such damage. [110.27(B)]"
34,Chapter 34 General Requirements,E3404.11,E3404.11 Equipment Identification,2,"The manufacturer's name, trademark or other descriptive marking by which the organization responsible for the product can be identified shall be applied or affixed onto all electric equipment. Other markings shall be provided that indicate voltage, current, wattage or other ratings as specified elsewhere in Chapters 34 through 43. The marking shall have the durability to withstand the environment involved. [110.21(A)(1)] Reconditioned equipment shall be marked with the following: Name, trademark, or other descriptive marking of the organization that performed the reconditioning. The date of the reconditioning. The term reconditioned or other approved wording or symbol indicating that the equipment has been reconditioned. The original listing mark shall be removed or made permanently illegible. The equipment nameplate shall not be required to be removed or made permanently illegible, only the part of the nameplate that includes the listing mark. Approval of the reconditioned equipment shall not be based solely on the equipment's original listing. [110.21(A)(2)]"
34,Chapter 34 General Requirements,E3404.12,E3404.12 Field-Applied Hazard Markings,2,"Where caution, warning, or danger hazard markings such as signs or labels are required by this code, the markings shall meet the following requirements:The marking shall be of sufficient durability to withstand the environment involved and warn of the hazard using effective words, colors, symbols or any combination thereof.The marking shall be permanently affixed to the equipment or wiring method.Markings shall not be handwritten except for portions of markings that are variable, or that could be subject to changes. Markings shall be legible. [110.21(B)]"
34,Chapter 34 General Requirements,E3404.13,E3404.13 Identification of Disconnecting Means,2,"Each disconnecting means shall be legibly marked to indicate its purpose, except where located and arranged so that the purpose is evident. The marking shall have the durability to withstand the environment involved. [110.22(A)]"
34,Chapter 34 General Requirements,E3404.14,E3404.14 Reconditioned Equipment,2,"Reconditioned equipment shall be permitted except where prohibited elsewhere in this code. Equipment that is restored to operating condition shall be reconditioned with identified replacement parts, verified under applicable standards, that are either provided by the original equipment manufacturer or that are designed by an engineer experienced in the design of replacement parts for the type of equipment being reconditioned. [110.20]"
34,Chapter 34 General Requirements,E3404.14.1,E3404.14.1 Equipment Required to Be Listed,3,Equipment that is reconditioned and required by this code to be listed shall be listed or field labeled as reconditioned using available instructions from the original equipment manufacturer. [110.20(A)]
34,Chapter 34 General Requirements,E3404.14.2,E3404.14.2 Equipment Not Required to Be Listed,3,Equipment that is reconditioned and not required by this code to be listed shall comply with one of the following:Be listed or field labeled as reconditioned.Have the reconditioning performed in accordance with the original equipment manufacturer instructions. [110.20(B)]
34,Chapter 34 General Requirements,E3404.14.3,E3404.14.3 Approved Equipment,3,"If the options specified in Section E3404.14.1 or E3404.14.2 are not available, the authority having jurisdiction shall be permitted to approve reconditioned equipment, and the reconditioner shall provide the authority having jurisdiction with documentation of the changes to the product. [110.20(C)]"
34,Chapter 34 General Requirements,E3405,Section E3405 Equipment Location and Clearances,1,
34,Chapter 34 General Requirements,E3405.1,E3405.1 Working Space and Clearances,2,"Working space and access to egress from working space shall be provided and maintained around all electrical equipment to permit ready and safe operation and maintenance of such equipment in accordance with this section and Figure E3405.1. Open equipment doors shall not impede access to and egress from the working space. Access or egress is impeded if one or more simultaneously opened equipment doors restrict working space access to be less than 24 inches (610 mm) wide and 6.5 feet (2.0 m) high. (110.26) For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm. Equipment, piping and ducts foreign to the electrical installation shall not be placed in the shaded areas extending from the floor to a height of 6 feet above the panelboard enclosure or to the structural ceiling, whichever is lower. The working space shall be clear and unobstructed from the floor to a height of 6.5 feet or the height of the equipment, whichever is greater. The working space shall not be designated for storage. Panelboards, service equipment and similar enclosures shall not be located in bathrooms, toilet rooms, clothes closets or over the steps of a stairway. Such work spaces shall be provided with artificial lighting where located indoors and shall not be controlled by automatic means only. FIGURE E3405.1 a, b, c, d, eWORKING SPACE AND CLEARANCES"
