id,section,reference,title,depth,body
,,41,Chapter 41 Appliance Installation,0,"ICC user notes:About this chapter: Chapter 41 covers appliance installation, which is typically the final stage of construction after all wiring, devices and fixtures are installed. This chapter covers flexible cords, overcurrent protection, disconnecting means and installation provisions."
41,Chapter 41 Appliance Installation,E4101,Section E4101 General,1,
41,Chapter 41 Appliance Installation,E4101.1,E4101.1 Scope,2,This section covers installation requirements for appliances and fixed heating equipment. (422.1 and 424.1)
41,Chapter 41 Appliance Installation,E4101.2,E4101.2 Installation,2,Appliances and equipment shall be installed in accordance with the manufacturer's installation instructions. Electrically heated appliances and equipment shall be installed with the required clearances to combustible materials. [110.3(B) and 422.17]
41,Chapter 41 Appliance Installation,E4101.3,E4101.3 Flexible Cords,2,"Cord-and-plug-connected appliances shall use cords suitable for the environment and physical conditions likely to be encountered. Flexible cords shall be used only where the appliance is listed to be connected with a flexible cord. The cord shall be identified as suitable in the installation instructions of the appliance manufacturer. Receptacles for cord-and-plug-connected appliances shall be accessible and shall be located to avoid physical damage to the flexible cord. Except for a listed appliance marked to indicate that it is protected by a system of double-insulation, the flexible cord supplying an appliance shall terminate in a grounding-type attachment plug. The cord lengths specified for built-in dishwashers and trash compactors shall be measured from the face of the attachment plug to the plane of the rear of the appliance. A receptacle for a cord-and-plug-connected range hood shall be supplied by an individual branch circuit. A receptacle for a built-in dishwasher shall be located in a space adjacent to the space occupied by the dishwasher, and for dishwashers and trash compactors, where the flexible cord passes through an opening, it shall be protected against damage by a bushing, grommet or other approved means. Specific appliances have additional requirements as specified in Table E4101.3 (see Section E3909). [422.16(B)(1), (B)(2) and (B)(4)]TABLE E4101.3FLEXIBLE CORD LENGTH APPLIANCE MINIMUM CORD LENGTH (inches) MAXIMUM CORD LENGTH (inches) Electrically operated in-sink waste disposal 18 36 Built-in dishwasher 36 78 Trash compactor 36 48 Range hoods 18 48 For SI: 1 inch = 25.4 mm."
41,Chapter 41 Appliance Installation,E4101.4,E4101.4 Overcurrent Protection,2,"Each appliance shall be protected against overcurrent in accordance with the rating of the appliance and its listing. If the protective device rating is marked on the appliance, the branch-circuit overcurrent device rating shall not exceed the protective device rating marked on the appliance. [110.3(B) and 422.11(A)]"
41,Chapter 41 Appliance Installation,E4101.4.1,E4101.4.1 Single Nonmotor-Operated Appliance,3,"The overcurrent protection for a branch circuit that supplies a single nonmotor-operated appliance shall not exceed that marked on the appliance. Where the overcurrent protection rating is not marked and the appliance is rated at over 13.3 amperes, the overcurrent protection shall not exceed 150 percent of the appliance rated current. Where 150 percent of the appliance rating does not correspond to a standard overcurrent device ampere rating, the next higher standard rating shall be permitted. Where the overcurrent protection rating is not marked and the appliance is rated at 13.3 amperes or less, the overcurrent protection shall not exceed 20 amperes. [422.11(E)]"
41,Chapter 41 Appliance Installation,E4101.5,E4101.5 Disconnecting Means,2,"Each appliance shall be provided with a means to disconnect all ungrounded supply conductors. For fixed electric space-heating equipment, means shall be provided to disconnect the heater and any motor controller(s) and supplementary overcurrent-protective devices. Switches and circuit breakers used as a disconnecting means shall be of the indicating type. Disconnecting means shall be as set forth in Table E4101.5. (422.30, 422.35, and 424.19) TABLE E4101.5 [422.31(A), (B) and (C); 422.33; 422.34(B) and (C); 422.35; 424.19; 424.20; and 440.14] DISCONNECTING MEANS DESCRIPTION ALLOWED DISCONNECTING MEANS Permanently connected appliance rated at not over 300 volt-amperes or 1/8 horsepower. Branch-circuit overcurrent device where the switch or circuit breaker is within sight of the appliance or is capable of being locked in the open position in compliance with Section E4101.8. Switches and circuit breakers used as disconnecting means shall be of the indicating type. Permanently connected appliances rated in excess of 300 volt-amperes. Branch circuit switch or circuit breaker located within sight of the appliance or such devices in any location that are capable of being locked in the open position in compliance with Section E4101.8. Switches and circuit breakers used as disconnecting means shall be of the indicating type. Motor-operated appliances rated over 1/8 horsepower. For permanently connected motor-operated appliances with motors rated over 1/8 horsepower, the disconnecting means shall be within sight from the appliance or it shall be capable of being locked in the open position in compliance with Section E4101.8. The disconnecting means shall be one of the following types: a listed motor-circuit switch rated in horsepower, a listed molded case circuit breaker, a listed molded case switch, a listed manual motor controller additionally marked ""Suitable as Motor Disconnect"" where installed between the final motor branch-circuit short-circuit protective device and the motor. For stationary motors rated at 2 hp or less and 300 volts or less, the disconnecting means shall be permitted to be one of the following devices: A general-use switch having an ampere rating not less than twice the full-load current rating of the motor. On AC circuits, a general-use snap switch suitable only for use on AC, not general-use AC-DC snap switches, where the motor full-load current rating is not more than 80 percent of the ampere rating of the switch. A listed manual motor controller having a horsepower rating not less than the rating of the motor and marked ""Suitable as Motor Disconnect."" The disconnecting means shall have an ampere rating not less than 115 percent of the full-load current rating of the motor except that a listed unfused motor-circuit switch having a horsepower rating not less than the motor horsepower shall be permitted to have an ampere rating less than 115 percent of the full-load current rating of the motor. Exception: Where an appliance of more than 1/8 hp is provided with a unit switch with a marked-off position that is a part of the appliance and disconnects all ungrounded conductors, such unit switch shall be permitted as the disconnecting means and the switch or circuit breaker serving as the other disconnecting means shall be permitted to be not within sight from the appliance. Switches and circuit breakers used as disconnecting means shall be of the indicating type. Appliances listed for cord-and-plug connection. An accessible separable connector or attachment plug and receptacle. Permanently installed heating equipment with motors rated at not over 1/8 horsepower with supplementary overcurrent protection. Disconnect, on the supply side of fuses, within sight from the supplementary overcurrent device, and within sight of the heating equipment or, in any location, where the disconnecting means is capable of being locked in the open position in compliance with Section E4101.8. Heating equipment containing motors rated over 1/8 horsepower with supplementary overcurrent protection. Disconnect permitted to serve as required disconnect for both the heating equipment and the controller where, on the supply side of fuses, and within sight from the supplementary overcurrent devices, if the disconnecting means is also within sight from the controller, or is capable of being locked in the open position in compliance with Section E4101.8 and simultaneously disconnects the heater, motor controller(s) and supplementary overcurrent protective devices from all ungrounded conductors. The disconnecting means shall have an ampere rating not less than 125 percent of the total load of the motors and the heaters. Heating equipment containing no motor rated over 1/8 horsepower without supplementary overcurrent protection. Branch-circuit switch or circuit breaker where within sight from the heating equipment or capable of being locked in the open position in compliance with Section E4101.8 and simultaneously disconnects the heater and motor controller(s) from all ungrounded conductors. The disconnecting means shall have an ampere rating not less than 125 percent of the total load of the motors and the heaters. Heating equipment containing motors rated over 1/8 horsepower without supplementary overcurrent protection. Disconnecting means within sight from motor controller or is capable of being locked in the open position in compliance with Section E4101.8 and simultaneously disconnects the heater, motor controller(s) and supplementary overcurrent protective devices from all ungrounded conductors. The disconnecting means shall have an ampere rating not less than 125 percent of the total load of the motors and the heaters. Air-conditioning condensing units and heat pump units. A readily accessible disconnect within sight from unit as the only allowable means.a Appliances and fixed heating equipment with unit switches having a marked OFF position. Unit switch where an additional individual switch or circuit breaker serves as the other required disconnecting means. The following shall be permitted to serve as the other required disconnecting means: One-family dwelling—the service disconnecting means. Two-family dwelling—an individual switch for the dwelling unit located inside or outside of the dwelling unit. Thermostatically controlled fixed heating equipment. Thermostats with a marked OFF position that directly open all ungrounded conductors, which when manually placed in the OFF position are designed so that the circuit cannot be energized automatically and that are located within sight of the equipment controlled. For SI: 1 horsepower = 0.746 kW. The disconnecting means shall be permitted to be installed on or within the unit. It shall not be located on panels designed to allow access to the unit or located so as to obscure the air-conditioning equipment nameplate(s)."
41,Chapter 41 Appliance Installation,E4101.6,E4101.6 Support of Ceiling-Suspended Paddle Fans,2,"Ceiling-suspended fans (paddle) shall be supported independently of an outlet box; by a listed outlet box or outlet box system identified for the use and installed in accordance with Section E3905.8; or by a listed outlet box system, a listed weight-supporting ceiling receptacle and a compatible factory-installed weight-supporting attachment fitting installed in accordance with Section E3905.6.3. [422.18(A)]"
41,Chapter 41 Appliance Installation,E4101.6.1,E4101.6.1 Location of Ceiling-Suspended Paddle Fans,3,No metal parts of ceiling-suspended (paddle) fans in bathrooms and shower spaces shall be located within a zone measured 3 feet (914 mm) horizontally and 8 feet (2438 mm) vertically from the top of the bathtub rim or shower stall threshold. This zone is all-encompassing and shall include the space directly over the tub or shower stall. [422.18(B)]
