id,section,reference,title,depth,body
,,42,Chapter 42 Swimming Pools,0,"ICC user notes:About this chapter: Chapter 42 addresses all aspects of wiring, fixtures, motors and electrical accessories for swimming pools, wading pools, hot tubs, spas and hydromassage bathtubs.This chapter focuses on protection of occupants from electrical shock. The dangers of using electricity around water, wet surfaces, grounded surfaces and plumbing are well known, and this chapter is intended to minimize or eliminate those hazards."
42,Chapter 42 Swimming Pools,E4201,Section E4201 General,1,
42,Chapter 42 Swimming Pools,E4201.1,E4201.1 Scope,2,"The provisions of this chapter shall apply to the construction and installation of electric wiring and equipment associated with all swimming pools, wading pools, decorative pools, hot tubs and spas, and hydromassage bathtubs, whether permanently installed or storable, and shall apply to metallic auxiliary equipment, such as pumps, filters and similar equipment. Sections E4202 through E4206 provide general rules for permanent pools, spas and hot tubs. Section E4207 provides specific rules for storable pools and storable/portable spas and hot tubs. Section E4208 provides specific rules for spas and hot tubs. Section E4209 provides specific rules for hydromassage bathtubs. (680.1)"
42,Chapter 42 Swimming Pools,E4202,"Section E4202 Wiring Methods for Pools, Spas, Hot Tubs and Hydromassage Bathtubs",1,
42,Chapter 42 Swimming Pools,E4202.1,E4202.1 General,2,"Wiring methods used in conjunction with permanently installed swimming pools, spas or hot tubs that are installed in corrosive environments described in Section E4202.2 shall comply with Table E4202.1, Sections E4202.2 and E4205 and Chapter 38 except as otherwise stated in this section. Wiring methods used in conjunction with permanently installed swimming pools, spas or hot tubs that are not installed in corrosive environments shall comply with Chapter 38. Storable swimming pools shall comply with Section E4207.Hydromassage bathtubs shall comply with Section E4209. [680.7, 680.14, 680.21(A), 680.23(B) and (F), 680.25(A), 680.42, 680.43 and 680.70]TABLE E4202.1PERMITTED WIRING METHODS IN CORROSIVE ENVIRONMENTSa WIRING LOCATION OR PURPOSE (Application allowed where marked with an ""A"") IMCb, RMCb, RNCe LFMC LFNMC MCg FLEX CORD Panelboard(s) that supply pool equipment: from service equipment to panelboard Af — A — — Wet-niche and no-niche luminaires: from branch circuit OCPD to deck or junction box A — A — — Wet-niche and no-niche luminaires: from deck or junction box to forming shell Aj — A — Ad Dry niche: from branch circuit OCPD to luminaires A — A — — Pool-associated motors: from branch circuit OCPD to motorh A Ac Ac A Ad Packaged or self-contained outdoor spas and hot tubs with underwater luminaire: from branch circuit OCPD to spa or hot tub A A A — Ad Packaged or self-contained outdoor spas and hot tubs without underwater luminaire: from branch circuit OCPD to spa or hot tub A A A — Ad Indoor spas and hot tubs, and other pool, spa or hot tub associated equipment: from branch circuit OCPD to equipment A A A — Ad Connection at pool lighting transformers or power supplies A Ai A — — For SI: 1 foot = 304.8 mm.For all wiring methods, see Section E4205 for equipment grounding conductor requirements.See Section E4202.2 for use of metal conduits in corrosive environments.Limited to where necessary to employ flexible connections at or adjacent to a pool motor.Flexible cord shall be installed in accordance with Section E4202.3.Nonmetallic conduit shall be rigid polyvinyl chloride conduit Type PVC or reinforced thermosetting resin conduit Type RTRC.Aluminum conduits shall not be permitted in the pool area where subject to corrosion.Where installed as direct burial cable or in wet locations, Type MC cable shall be listed and identified for the location.See Section E4202.4 for listed, double-insulated pool pump motors.Limited to use in individual lengths not to exceed 6 feet. The total length of all individual runs of LFMC shall not exceed 10 feet.Metal conduit shall be constructed of brass or other approved corrosion-resistant metal."
42,Chapter 42 Swimming Pools,E4202.2,E4202.2 Wiring Methods and Equipment in Corrosive Environment,2,"Wiring methods in a corrosive environment shall be listed and suitable for use in such areas. Rigid metal conduit, intermediate metal conduit, rigid polyvinyl chloride conduit, reinforced thermosetting resin conduit and liquidtight flexible nonmetallic conduit shall be considered suitable for the use. Aluminum conduit and tubing shall not be used. [680.14(A)]Other equipment shall be suitable for use in corrosive environments or be installed in identified corrosion-resistant enclosures. Equipment listed for pool and spa use shall be considered suitable for the use. [680.14(B)]"
42,Chapter 42 Swimming Pools,E4202.3,E4202.3 Flexible Cords,2,"Flexible cords used in conjunction with a pool, spa, hot tub or hydromassage bathtub shall be installed in accordance with the following:For other than underwater luminaires, fixed or stationary equipment shall be permitted to be connected with a flexible cord and plug to facilitate removal or disconnection for maintenance or repair. For other than storable pools, the flexible cord shall not exceed 3 feet (914 mm) in length. Cords that supply swimming pool equipment shall have a copper equipment grounding conductor not smaller than 12 AWG and shall terminate in a grounding-type attachment plug. [680.8(A) and (B) and 680.21(A)(2)] Other than listed low-voltage lighting systems not requiring grounding, wet-niche luminaires that are supplied by a flexible cord or cable shall have all exposed noncurrent-carrying metal parts connected to an insulated copper equipment grounding conductor that is an integral part of the cord or cable. This equipment grounding conductor shall be connected to a grounding terminal in the supply junction box, transformer enclosure or other enclosure. The equipment grounding conductor shall be not smaller than the supply conductors and not smaller than 16 AWG. [680.23(B)(3)]A listed packaged spa or hot tub installed outdoors that is ground-fault circuit interrupter (GFCI) protected shall be permitted to be cord-and-plug-connected provided that such cord does not exceed 15 feet (4572 mm) in length. [680.42(A)(2)]A listed packaged spa or hot tub rated at 20 amperes or less and installed indoors shall be permitted to be cord-and-plug-connected to facilitate maintenance and repair. (680.43 Exception No. 1)For other than underwater and storable pool lighting luminaire, the requirements of Item 1 shall apply to any cord-equipped luminaire that is located within 16 feet (4877 mm) radially from any point on the water surface. [680.22(B)(5)]"
42,Chapter 42 Swimming Pools,E4202.4,E4202.4 Double-Insulated Pool Pumps,2,"A listed cord-and-plug-connected pool pump incorporating an approved system of double insulation that provides a means for grounding only the internal and nonaccessible, noncurrent-carrying metal parts of the pump shall be connected to any wiring method recognized in Chapter 38 that is suitable for the location. Where the equipment grounding conductor of the motor circuit is connected to the equipotential bonding means in accordance with Section E4204.2, Item 6.1, the branch circuit wiring shall comply with Sections E4202.1 and E4205.5. [680.21(B)]"
42,Chapter 42 Swimming Pools,E4203,Section E4203 Equipment Location and Clearances,1,
42,Chapter 42 Swimming Pools,E4203.1,E4203.1 Receptacle Outlets,2,"Receptacles outlets shall be installed and located in accordance with Sections E4203.1.1 through E4203.1.7. In determining the dimensions in this section addressing receptacle spacings, the distance to be measured shall be the shortest path the supply cord of an appliance connected to the receptacle would follow without piercing a floor, wall, ceiling, doorway with hinged or sliding door, window opening or other effective permanent barrier. [680.22(A)(5 )]"
42,Chapter 42 Swimming Pools,E4203.1.1,E4203.1.1 Location,3,"Receptacles that provide power for water-pump motors or other loads directly related to the circulation and sanitation system shall be located at least 6 feet (1829 mm) from the inside walls of pools, outdoor spas and hot tubs. These receptacles shall have GFCI protection and be of the grounding type. [680.22(A)(2)]."
42,Chapter 42 Swimming Pools,E4203.1.2,E4203.1.2 Other Receptacles,3,Other receptacles on the property shall be located not less than 6 feet (1829 mm) from the inside walls of pools and outdoor spas and hot tubs. [680.22 (A)(3)]
42,Chapter 42 Swimming Pools,E4203.1.3,E4203.1.3 Where Required,3,"No less than one 125-volt, 15- or 20-ampere receptacle supplied by a general-purpose branch circuit shall be located not less than 6 feet (1829 mm) from and not more than 20 feet (6096 mm) from the inside wall of permanently installed pools and outdoor spas and hot tubs. This receptacle shall be located not more than 6 feet 6 inches (1981 mm) above the floor, platform or grade level serving the pool, spa or hot tub. [680.22(A)(1)]"
42,Chapter 42 Swimming Pools,E4203.1.4,E4203.1.4 GFCI Protection,3,"All receptacles rated 125 volts through 250 volts, 60 amperes or less, located within 20 feet (6096 mm) of the inside walls of pools and outdoor spas and hot tubs shall be protected by a Class A ground-fault circuit interrupter. Outlets supplying all pool motors shall be provided with Class A ground-fault circuit-interrupter protection. [680.21(C) and 680.22(A)(4)] Exceptions: Receptacles and outlets that are part of listed equipment, with ratings not exceeding the low-voltage contact limit that are supplied by listed transformers or power supplies that comply with Section E4206.1, shall not be required to be provided with ground-fault protection. [680.5(B) Exception] Listed low-voltage motors not requiring grounding, with ratings not exceeding the low-voltage contact limit that are supplied by listed transformers or power supplies that comply with Section E4206.1, shall be permitted to be installed without ground-fault protection. [680.21(C) Exception]"
42,Chapter 42 Swimming Pools,E4203.1.5,E4203.1.5 Indoor Locations,3,"Receptacles shall be located not less than 6 feet (1829 mm) measured horizontally from the inside walls of indoor spas and hot tubs. A minimum of one 125-volt, 15- or 20-ampere receptacle on a general-purpose branch circuit shall be located between 6 feet (1829 mm) and 10 feet (3048 mm) from the inside walls of indoor spas or hot tubs. [680.43(A) and 680.43(A)(1)]"
