id,section,title,body
1,,Scope and Administration,"User notes: About this chapter: Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections 101—102) and Part 2—Administration and Enforcement (Sections 103—116). Section 101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section 102.4). This code is intended to be adopted as a legally enforceable document and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the code official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner. Chapter 1 is largely concerned with maintaining ""due process of law"" in enforcing the building performance criteria contained in the body of the code. Code development reminder: Code change proposals to this chapter will be considered by the Administrative Code Development Committee during the 2022 (Group B) Code Development Cycle."
divider_1_1,Chapter 1 Scope and Administration,— Scope and Application,
101,Chapter 1 Scope and Administration,Scope and General Requirements,
101.1,Section 101 Scope and General Requirements,Title,"These regulations shall be known as the North Carolina Building Code as adopted by the North Carolina Building Code Council on September 12, 2023 to be effective January 1, 2025. Reference to the International Code shall mean the North Carolina Codes. The North Carolina amendments to the International Code are underlined."
101.2,Section 101 Scope and General Requirements,Scope,"The provisions of this code shall apply to the construction, alteration, relocation, enlargement, replacement, repair, equipment, use and occupancy, location, maintenance, removal and demolition of every building or structure or any appurtenances connected or attached to such buildings or structures. Exception: If any of the following apply, then the building or structure is exempt from the provisions of this code: Detached one- and two-family dwellings and townhouses not more than three stories above grade plane in height with a separate means of egress, and their accessory structures not more than three stories above grade plane in height, shall comply with this code or the International Residential Code. Farm buildings not used for: Sleeping purposes; or Storage of hazardous materials in excess of those listed in Tables 307.1(1) and 307.1(2) within the building rules jurisdiction of any municipality. The design, construction, location, installation or operation of equipment for storing, handling and transporting liquefied petroleum gases for fuel purposes up to the outlet of the first stage pressure regulator, anhydrous ammonia or other liquid fertilizer. The design, construction, location, installation or operation of equipment of facilities of a public utility, as defined in N.C.G.S. 62-3, or electric or telephone membership corporation, including without limitation poles, towers and other structures supporting electric or communication lines from the distribution network up to the meter location. The storage and handling of substances governed by the Hazardous Chemical Right to Know Act in N.C.G.S. Chapter 95, Article 18. Retaining walls complying with any of the following: 3 feet or less in height where a guard is required; 5 feet or less of cumulative fill within 3 feet horizontally from the wall; Not located within 15 feet of another retaining wall; and Not located within 3 feet of a building or structure."
101.2.1,Section 101 Scope and General Requirements,Appendices,See the North Carolina Administrative Code and Policies.
101.3,Section 101 Scope and General Requirements,Purpose Intent,"The intent of this code is to establish the minimum requirements to provide a reasonable level of safety, health and general welfare through structural strength, means of egress, stability, sanitation, light and ventilation, energy conservation, and for providing a reasonable level of life safety and property protection from the hazards of fire and other hazards attributed to the built environment, explosion or dangerous conditions, and to provide a reasonable level of safety to fire fighters and emergency responders during emergency operations."
101.4,Section 101 Scope and General Requirements,Referenced Codes,The other codes specified in Sections 101.4.1 through 101.4.7 and referenced elsewhere in this code shall be considered part of the requirements of this code to the prescribed extent of each such reference.
101.4.1,Section 101 Scope and General Requirements,Gas,"The provisions of the International Fuel Gas Code shall apply to the installation of gas piping from the point of delivery, gas appliances and related accessories as covered in this code. These requirements apply to gas piping systems extending from the point of delivery to the inlet connections of appliances and the installation and operation of residential and commercial gas appliances and related accessories."
101.4.2,Section 101 Scope and General Requirements,Mechanical,"The provisions of the International Mechanical Code shall apply to the installation, alterations, repairs and replacement of mechanical systems, including equipment, appliances, fixtures, fittings and appurtenances, including ventilating, heating, cooling, air-conditioning and refrigeration systems, incinerators and other energy-related systems."
101.4.3,Section 101 Scope and General Requirements,Plumbing,"The provisions of the International Plumbing Code shall apply to the installation, alteration, repair and replacement of plumbing systems, including equipment, appliances, fixtures, fittings and appurtenances, and where connected to a water or sewage system and all aspects of a medical gas system."
101.4.5,Section 101 Scope and General Requirements,Fire Prevention,"The provisions of the International Fire Code shall apply to matters affecting or relating to structures, processes and premises from the hazard of fire and explosion arising from the storage, handling or use of structures, materials or devices; from conditions hazardous to life, property or public welfare in the occupancy of structures or premises; and from the construction, extension, repair, alteration or removal of fire suppression, automatic sprinkler systems and alarm systems or fire hazards in the structure or on the premises from occupancy or operation."
101.4.6,Section 101 Scope and General Requirements,Energy,The provisions of the International Energy Conservation Code shall apply to all matters governing the design and construction of buildings for energy efficiency within the scope of this code.
101.4.7,Section 101 Scope and General Requirements,Existing Buildings,"The provisions of the International Existing Building Code shall apply to matters governing the repair, alteration, change of occupancy, addition to and relocation of existing buildings."
new_101.5,Section 101 Scope and General Requirements,"Requirements of Other State Agencies, Occupational Licensing Boards or Commissions","The North Carolina State Building Codes do not include all additional requirements for buildings and structures that may be imposed by other State agencies, occupational licensing boards and commissions. It shall be the responsibility of a permit holder, registered design professional, contractor or occupational licensing holder to determine whether any additional requirements exist."
102,Chapter 1 Scope and Administration,Applicability,
102.1,Section 102 Applicability,General,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
102.2,Section 102 Applicability,Other Laws,"The provisions of this code shall not be deemed to nullify any provisions of local, state or federal law."
102.3,Section 102 Applicability,Application of References,"References to chapter or section numbers, or to provisions not specifically identified by number, shall be construed to refer to such chapter, section or provision of this code."
102.4,Section 102 Applicability,Referenced Codes and Standards,The codes and standards referenced in this code shall be considered to be part of the requirements of this code to the prescribed extent of each such reference and as further regulated in Sections 102.4.1 and 102.4.2 and North Carolina Administrative Code and Policies Section 101.3.5.
102.4.1,Section 102 Applicability,Conflicts,"Where conflicts occur between provisions of this code and referenced codes and standards, the provisions of this code shall apply."
