id,section,reference,title,depth,body
,,12,Chapter 12 Interior Environment,0,"User note: About this chapter: Chapter 12 provides minimum provisions for the interior of buildings—the occupied environment. Ventilation, lighting, and space heating are directly regulated in this chapter and in conjunction with the International Mechanical Code® and the International Energy Conservation Code®. Minimum room size, maximum room-to-room sound transmission and classroom acoustics are set for educational occupancies."
12,Chapter 12 Interior Environment,1201,Section 1201 General,1,
12.1201,Section 1201 General,1201.1,1201.1 Scope,2,"The provisions of this chapter shall govern ventilation, temperature control, lighting, yards and courts, sound transmission, room dimensions, surrounding materials and rodentproofing associated with the interior spaces of buildings."
12,Chapter 12 Interior Environment,1202,Section 1202 Ventilation,1,
12.1202,Section 1202 Ventilation,1202.1,1202.1 General,2,"Buildings shall be provided with natural ventilation in accordance with Section 1202.5, or mechanical ventilation in accordance with the International Mechanical Code. Where the air infiltration rate in a dwelling unit is less than 5 air changes per hour where tested with a blower door at a pressure 0.2 inch w.c. (50 Pa) in accordance with Section R402.4.2.2 of the International Energy Conservation Code—Residential Provisions, the dwelling unit shall be ventilated by mechanical means in accordance with Section 403 of the International Mechanical Code. Ambulatory care facilities and Group I-2 occupancies shall be ventilated by mechanical means in accordance with Section 407 of the International Mechanical Code."
12.1202,Section 1202 Ventilation,1202.2,1202.2 Roof Ventilation,2,Roof assemblies shall be ventilated in accordance with this section or shall comply with Section 1202.3.
12.1202,Section 1202 Ventilation,1202.2.1,1202.2.1 Ventilated Attics and Rafter Spaces,3,"Enclosed attics and enclosed rafter spaces formed where ceilings are applied directly to the underside of roof framing members shall have cross ventilation for each separate space by ventilation openings protected against the entrance of rain and snow. Blocking and bridging shall be arranged so as not to interfere with the movement of air. An airspace of not less than 1 inch (25 mm) shall be provided between the insulation and the roof sheathing. The net free ventilating area shall be not less than 1/150 of the area of the space ventilated. Ventilators shall be installed in accordance with manufacturer's installation instructions. Exception: The net free cross-ventilation area shall be permitted to be reduced to 1/300 provided both of the following conditions are met: (Deleted) At least 40 percent and not more than 50 percent of the required venting area is provided by ventilators located in the upper portion of the attic or rafter space. Upper ventilators shall be located not more than 3 feet (914 mm) below the ridge or highest point of the space, measured vertically, with the balance of the ventilation provided by eave or cornice vents. Where the location of wall or roof framing members conflicts with the installation of upper ventilators, installation more than 3 feet (914 mm) below the ridge or highest point of the space shall be permitted."
12.1202,Section 1202 Ventilation,1202.2.2,1202.2.2 Openings Into Attic,3,"Exterior openings into the attic space of any building intended for human occupancy shall be protected to prevent the entry of birds, squirrels, rodents, snakes and other similar creatures. Openings for ventilation having a least dimension of not less than 1/16 inch (1.6 mm) and not more than 1/4 inch (6.4 mm) shall be permitted. Openings for ventilation having a least dimension larger than 1/4 inch (6.4 mm) shall be provided with corrosion-resistant wire cloth screening, hardware cloth, perforated vinyl or similar material with openings having a least dimension of not less than 1/16 inch (1.6 mm) and not more than 1/4 inch (6.4 mm). Where combustion air is obtained from an attic area, it shall be in accordance with Chapter 7 of the International Mechanical Code."
12.1202,Section 1202 Ventilation,1202.3,1202.3 Unvented Attic and Unvented Enclosed Rafter Assemblies,2,"Unvented attics and unvented enclosed roof framing assemblies created by ceilings applied directly to the underside of the roof framing members/rafters and the structural roof sheathing at the top of the roof framing members shall be permitted where all of the following conditions are met: The unvented attic space is completely within the building thermal envelope. No interior Class I vapor retarders are installed on the ceiling side (attic floor) of the unvented attic assembly or on the ceiling side of the unvented enclosed roof framing assembly. Where wood shingles or shakes are used, not less than a 1/4-inch (6.4 mm) vented airspace separates the shingles or shakes and the roofing underlayment above the structural sheathing. In Climate Zone 5, any air-impermeable insulation shall be a Class II vapor retarder or shall have a Class II vapor retarder coating or covering in direct contact with the underside of the insulation. Insulation shall comply with either Item 5.1 or 5.2, and additionally Item 5.3. Item 5.1.1, 5.1.2, 5.1.3 or 5.1.4 shall be met, depending on the air permeability of the insulation directly under the structural roof sheathing. Where only air-impermeable insulation is provided, it shall be applied in direct contact with the underside of the structural roof sheathing. Where air-permeable insulation is provided inside the building thermal envelope, it shall be installed in accordance with Item 5.1.1. In addition to the air-permeable insulation installed directly below the structural sheathing, rigid board or sheet insulation shall be installed directly above the structural roof sheathing in accordance with the R-values in Table 1202.3 for condensation control. Where both air-impermeable and air-permeable insulation are provided, the air-impermeable insulation shall be applied in direct contact with the underside of the structural roof sheathing in accordance with Item 5.1.1 and shall be in accordance with the R-values in Table 1202.3 for condensation control. The air-permeable insulation shall be installed directly under the air-impermeable insulation. Alternatively, sufficient rigid board or sheet insulation shall be installed directly above the structural roof sheathing to maintain the monthly average temperature of the underside of the structural roof sheathing above 45°F (7°C). For calculation purposes, an interior air temperature of 68°F (20°C) is assumed and the exterior air temperature is assumed to be the monthly average outside air temperature of the three coldest months. In Climate Zones 1, 2 and 3, air-permeable insulation installed in unvented attics shall meet the following requirements: A vapor diffusion port shall be installed not more than 12 inches (305 mm) from the highest point of the roof, measured vertically from the highest point of the roof to the lower edge of the port. The port area shall be greater than or equal to 1/600 of the ceiling area. Where there are multiple ports in the attic, the sum of the port areas shall be greater than or equal to the area requirement. The vapor permeable membrane in the vapor diffusion port shall have a vapor permeance rating of greater than or equal to 20 perms when tested in accordance with Procedure A of ASTM E96. The vapor diffusion port shall serve as an air barrier between the attic and the exterior of the building. The vapor diffusion port shall protect the attic against the entrance of rain and snow. Framing members and blocking shall not block the free flow of water vapor to the port. Not less than a 2-inch (50 mm) space shall be provided between any blocking and the roof sheathing. Air-permeable insulation shall be permitted within that space. The roof slope shall be greater than or equal to 3 units vertical in 12 units horizontal (3:12). Where only air-permeable insulation is used, it shall be installed directly below the structural roof sheathing, on top the attic floor, or on top of the ceiling. Where only air-permeable insulation is used and is installed directly below the structural roof sheathing, air shall be supplied at a flow rate greater than or equal to 50 cubic feet per minute (23.6 L/s) per 1,000 square feet (93 m2) of ceiling. The air shall be supplied from ductwork providing supply air to the occupiable space when the conditioning system is operating. Alternatively, the air shall be supplied by a supply fan when the conditioning system is operating. Where preformed insulation board is used as the air-impermeable insulation layer, it shall be sealed at the perimeter of each individual sheet interior surface to form a continuous layer. Exceptions: Section 1202.3 does not apply to special use structures or enclosures such as swimming pool enclosures, data processing centers, hospitals or art galleries. Section 1202.3 does not apply to enclosures in Climate Zone 5 that are humidified beyond 35 percent during the three coldest months. TABLE 1202.3 INSULATION FOR CONDENSATION CONTROL CLIMATE ZONE MINIMUM R-VALUE OF AIR-IMPERMEABLE INSULATIONa 3A R-5 4A R-15 5 R-20 Contributes to, but does not supersede, thermal resistance requirements for attic and roof assemblies in Section C402.2.1 of the International Energy Conservation Code."
12.1202,Section 1202 Ventilation,1202.4,1202.4 Under-Floor Ventilation,2,"The space between the bottom of the floor joists and the earth under any building except spaces occupied by basements or cellars shall be provided with ventilation in accordance with Section 1202.4.1, 1202.4.2 or 1202.4.3."
12.1202,Section 1202 Ventilation,1202.4.1,1202.4.1 Ventilation Openings,3,"Ventilation openings through foundation walls shall be provided. The openings shall be placed so as to provide cross ventilation of the under-floor space. The net area of ventilation openings shall be in accordance with Section 1202.4.1.1 or 1202.4.1.2. Ventilation openings shall be covered for their height and width with any of the following materials, provided that the least dimension of the covering shall be not greater than 1/4 inch (6.4 mm):Perforated sheet metal plates not less than 0.070 inch (1.8 mm) thick.Expanded sheet metal plates not less than 0.047 inch (1.2 mm) thick.Cast-iron grilles or gratings.Extruded load-bearing vents.Hardware cloth of 0.035-inch (0.89 mm) wire or heavier.Corrosion-resistant wire mesh, with the least dimension not greater than 1/8 inch (3.2 mm).Operable louvres, where ventilation is provided in accordance with Section 1202.4.1.2."
12.1202,Section 1202 Ventilation,1202.4.1.1,1202.4.1.1 Ventilation Area for Crawl Spaces With Open Earth Floors,4,The net area of ventilation openings for crawl spaces with uncovered earth floors shall be not less than 1 square foot for each 150 square feet (0.67 m2 for each 100 m2) of crawl space area.
12.1202,Section 1202 Ventilation,1202.4.1.2,1202.4.1.2 Ventilation Area for Crawl Spaces With Covered Floors,4,"The net area of ventilation openings for crawl spaces with the ground surface covered with a Class I vapor retarder shall be not less than 1 square foot for each 1,500 square feet (0.67 m2 for each 1000 m2) of crawl space area."
12.1202,Section 1202 Ventilation,1202.4.3,1202.4.3 Mechanical Ventilation,3,Mechanical ventilation shall be provided in closed crawl spaces where the ground surface is covered with a Class I vapor retarder. Ventilation shall be in accordance with Section 1202.4.3.1 or 1202.4.3.2.
