id,section,reference,title,depth,body
,,14,Chapter 14 Exterior Walls,0,"User notes:About this chapter: Chapter 14 addresses requirements for exterior walls of buildings. Minimum standards for wall covering materials, such as material performance and fire resistance, installation of wall coverings and the ability of the wall to provide weather protection are provided. This chapter also contains limitations on the areas and heights of combustible wall coverings based on fire separation distances, radiant heat exposure and surface burning characteristics.Code development reminder: Code change proposals to sections preceded by the designation [BS] will be considered by the IBC—Structural Code Development Committee during the 2022 (Group B) Code Development Cycle."
14,Chapter 14 Exterior Walls,1401,Section 1401 General,1,
14.1401,Section 1401 General,1401.1,1401.1 Scope,2,The provisions of this chapter shall establish the minimum requirements for exterior walls; exterior wall coverings; exterior wall openings; exterior windows and doors; and architectural trim.
14,Chapter 14 Exterior Walls,1402,Section 1402 Performance Requirements,1,
14.1402,Section 1402 Performance Requirements,1402.1,1402.1 General,2,"The provisions of this section shall apply to exterior walls, wall coverings and components thereof."
14.1402,Section 1402 Performance Requirements,1402.2,1402.2 Weather Protection,2,"Exterior walls shall provide the building with a weather-resistant exterior wall envelope. The exterior wall envelope shall include flashing, as described in Section 1404.4. The exterior wall envelope shall be designed and constructed in such a manner as to prevent the accumulation of water within the wall assembly by providing a water-resistive barrier behind the exterior veneer, as described in Section 1403.2, and a means for draining water that enters the assembly to the exterior. Protection against condensation in the exterior wall assembly shall be provided in accordance with Section 1404.3. Exceptions: A weather-resistant exterior wall envelope shall not be required over concrete or masonry walls designed in accordance with Chapters 19 and 21, respectively. Compliance with the requirements for a means of drainage, and the requirements of Sections 1403.2 and 1404.4, shall not be required for an exterior wall envelope that has been demonstrated through testing to resist wind-driven rain, including joints, penetrations and intersections with dissimilar materials, in accordance with ASTM E331 under the following conditions: The exterior wall envelope design shall be considered to resist wind-driven rain where the results of testing indicate that water did not penetrate control joints in the exterior wall envelope, joints at the perimeter of openings or intersections of terminations with dissimilar materials. Exterior wall envelope test assemblies shall include not fewer than one opening, one control joint, one wall/eave interface and one wall sill. Tested openings and penetrations shall be representative of the intended end-use configuration. Exterior wall envelope test assemblies shall be not less than 4 feet by 8 feet (1219 mm by 2438 mm) in size. Exterior wall envelope assemblies shall be tested at a minimum differential pressure of 6.24 pounds per square foot (0.297 kN/m2). Exterior wall envelope assemblies shall be subjected to a minimum test exposure duration of 2 hours. Exterior insulation and finish systems (EIFS) complying with Section 1407.4.1."
14.1402,Section 1402 Performance Requirements,1402.3,[BS]  1402.3 Structural,2,"Exterior walls, and the associated openings, shall be designed and constructed to resist safely the superimposed loads required by Chapter 16."
14.1402,Section 1402 Performance Requirements,1402.4,1402.4 Fire Resistance,2,Exterior walls shall be fire-resistance rated as required by other sections of this code with opening protection as required by Chapter 7.
14.1402,Section 1402 Performance Requirements,1402.5,1402.5 Water-Resistive Barriers,2,"Exterior walls on buildings of Type I, II, III or IV construction that are greater than 40 feet (12 192 mm) in height above grade plane and contain a combustible water-resistive barrier shall be tested in accordance with and comply with the acceptance criteria of NFPA 285. Combustibility shall be determined in accordance with Section 703.3. For the purposes of this section, fenestration products, flashing of fenestration products and water-resistive-barrier flashing and accessories at other locations, including through wall flashings, shall not be considered part of the water-resistive barrier. Exceptions: Walls in which the water-resistive barrier is the only combustible component and the exterior wall has a wall covering of brick, concrete, stone, terra cotta, stucco or steel with minimum thicknesses in accordance with Table 1404.2. Walls in which the water-resistive barrier is the only combustible component and the water-resistive barrier complies with the following: A peak heat release rate of less than 150 kW/m2, a total heat release of less than 20 MJ/m2 and an effective heat of combustion of less than 18 MJ/kg when tested on specimens at the thickness intended for use, in accordance with ASTM E1354, in the horizontal orientation and at an incident radiant heat flux of 50 kW/m2. A flame spread index of 25 or less and a smoke-developed index of 450 or less as determined in accordance with ASTM E84 or UL 723, with test specimen preparation and mounting in accordance with ASTM E2404."
14.1402,Section 1402 Performance Requirements,1402.6,[BS]  1402.6 Flood Resistance,2,"For buildings in flood hazard areas as established in Section 1612.3, exterior walls extending below the elevation required by Section 1612 shall be constructed with flood-damage-resistant materials."
