id,section,reference,title,depth,body
,,33,Chapter 33 Safeguards During Construction,0,"User notes: About this chapter: While the balance of the chapters in this code specify how a building is to be designed and constructed in order to be in compliance with the code, Chapter 33 looks to the actual construction process. Parameters are provided for demolition and for protecting adjacent property during demolition and construction. This chapter also addresses the need for a fire watch during nonworking hours for certain buildings once the construction has progressed significantly. Issues such as how to provide egress while the building is growing, the timing of standpipe and sprinkler installation, and protection of pedestrians are addressed. Code development reminder: Code change proposals to sections preceded by the designation [BS] will be considered by the IBC—Structural Code Development Committee during the 2022 (Group B) Code Development Cycle."
33,Chapter 33 Safeguards During Construction,3301,Section 3301 General,1,
33.3301,Section 3301 General,3301.1,3301.1 Scope,2,The provisions of this chapter shall govern safety during construction and the protection of adjacent public and private properties.
33.3301,Section 3301 General,3301.2,3301.2 Storage and Placement,2,"Construction equipment and materials shall be stored and placed so as not to endanger the public, the workers or adjoining property for the duration of the construction project."
33.3301,Section 3301 General,3301.2.1,[BS]  3301.2.1 Structural and Construction Loads,3,Structural roof components shall be capable of supporting the roof-covering system and the material and equipment loads that will be encountered during installation of the system.
33,Chapter 33 Safeguards During Construction,3302,Section 3302 Construction Safeguards,1,
33.3302,Section 3302 Construction Safeguards,3302.1,"3302.1 Alterations, Repairs and Additions",2,"Required exits, existing structural elements, fire protection devices and sanitary safeguards shall be maintained at all times during alterations, repairs or additions to any building or structure.Exceptions:Where such required elements or devices are being altered or repaired, adequate substitute provisions shall be made.Maintenance of such elements and devices is not required where the existing building is not occupied."
33.3302,Section 3302 Construction Safeguards,3302.2,3302.2 Manner of Removal,2,"Waste materials shall be removed in a manner that prevents injury or damage to persons, adjoining properties and public rights-of-way."
33.3302,Section 3302 Construction Safeguards,3302.3,3302.3 Fire Safety During Construction,2,Fire safety during construction shall comply with the applicable requirements of this code and the applicable provisions of Chapter 33 of the International Fire Code.
33,Chapter 33 Safeguards During Construction,3303,Section 3303 Demolition,1,
33.3303,Section 3303 Demolition,3303.1,3303.1 Construction Documents,2,"Construction documents and a schedule for demolition shall be submitted where required by the building official. Where such information is required, work shall not be done until such construction documents or schedule, or both, are approved."
33.3303,Section 3303 Demolition,3303.2,3303.2 Pedestrian Protection,2,The work of demolishing any building shall not be commenced until pedestrian protection is in place as required by this chapter.
33.3303,Section 3303 Demolition,3303.3,3303.3 Means of Egress,2,A horizontal exit shall not be destroyed unless and until a substitute means of egress has been provided and approved.
33.3303,Section 3303 Demolition,3303.4,3303.4 Vacant Lot,2,"Where a structure has been demolished or removed, the vacant lot shall be filled and maintained to the existing grade or in accordance with the ordinances of the jurisdiction having authority."
33.3303,Section 3303 Demolition,3303.5,3303.5 Water Accumulation,2,Provision shall be made to prevent the accumulation of water or damage to any foundations on the premises or the adjoining property.
