id,section,reference,title,depth,body
,,1,Chapter 1 Scope and Administration,0,"User note: About this chapter: Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Administration (Sections 101—102) and Part 2—Administration and Enforcement (Sections 103—117). Section 101 identifies which buildings and structures come under its purview and references other I-Codes®as applicable. This code is intended to be adopted as a legally enforceable document, and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the code official appointed by the authority having jurisdiction and also establish the rights and privileges of the registered design professional, contractor and property owner."
1,Chapter 1 Scope and Administration,divider_1_1,Part 1 — Scope and Application,1,
1,Chapter 1 Scope and Administration,101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",1,
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.1,[A]  101.1 Title,2,"These regulations shall be known as the North Carolina Existing Building Code adopted by the North Carolina Building Code Council on June 13, 2023, to be effective January 1, 2025. References to the International Codes shall mean the North Carolina Codes. The North Carolina amendments to the International Code are underlined."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.2,[A]  101.2 Scope,2,"The provisions of this code shall apply to the repair, alteration, change of occupancy, addition to and relocation of existing buildings. Exception: Detached one- and two-family dwellings and townhouses not more than three stories above grade plane in height with a separate means of egress, and their accessory structures not more than three stories above grade plane in height, shall comply with this code or the International Residential Code."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.3,[A]  101.3 Purpose,2,"The intent of this code is to provide flexibility to permit the use of alternative approaches to achieve compliance with minimum requirements to safeguard the public health, safety and welfare insofar as they are affected by the repair, alteration, change of occupancy, addition and relocation of existing buildings."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.4,[A]  101.4 Applicability,2,"This code shall apply to the repair, alteration, change of occupancy, addition and relocation of existing buildings, regardless of occupancy, subject to the criteria of Sections 101.4.1 and 101.4.2."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.4.1,"[A]  101.4.1 Buildings Not Previously <span class=""code_addition u-italic"">Legally</span> Occupied",3,"A building or portion of a building that has not been previously legally occupied or used for its intended purpose in accordance with the laws in existence at the time of its completion shall be permitted to comply with the provisions of the laws in existence at the time of its original permit unless such permit has expired. Subsequent permits shall comply with the International Building Code or International Residential Code, as applicable, for new construction."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.4.2,"[A]  101.4.2 Buildings Previously <i><span class=""code_addition"">Legally</span> Occupied</i>",3,"The legal occupancy of any building existing on the date of adoption of this code shall be permitted to continue without change, except as is specifically covered in this code, the International Fire Code, or as is deemed necessary by the code official for the general safety and welfare of the occupants and the public."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.5,[A]  101.5 Safeguards During Construction,2,"Construction work covered in this code, including any related demolition, shall comply with the requirements of Chapter 15."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.6,[A]  101.6 Appendices,2,Provisions in the appendices shall not apply unless specifically adopted or referenced in this code.
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",101.7,[A]  101.7 Correction of Violations of Other Codes,2,"Repairs or alterations mandated by any property, housing, or fire safety maintenance code or mandated by any licensing rule or ordinance adopted pursuant to law shall conform only to the requirements of that code, rule, or ordinance and shall not be required to conform to this code unless the code requiring such repair or alteration so provides."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",new_101.8,"101.8 Requirements of Other State Agencies, Occupational Licensing Boards or Commissions",2,"The North Carolina State Building Codes do not include all additional requirements for buildings and structures that may be imposed by other State agencies, occupational licensing boards and commissions. It shall be the responsibility of a permit holder, registered design professional, contractor or occupational license holder to determine whether any additional requirements exist."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",new_101.9,101.9 Mixed Use Buildings,2,"Each portion of a building shall be separately classified as to use. The requirements of this code shall apply to each portion of the building based on the occupancy classification of that portion, except that the most restrictive requirements of this code for fire suppression shall apply to the entire building. Exception: An automatic fire suppression system shall not be required for uses that would not otherwise require suppression provided that there is a 1-hour separation between the uses requiring suppression and the other uses in the same building. A 2-hour fire separation shall be required to apply this exception to Group H."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",new_101.10,101.10 High-Rise Buildings,2,"High-rise buildings constructed prior to 1978 shall at a minimum comply with North Carolina General Statute 143-138, Section (i). The statute may be viewed at the following web address: http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_143/GS_143-138.html."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",new_101.11,101.11 Accessibility for Townhouses,2,"In townhouses, where there are four or more dwelling units in a single structure, the provisions for accessibility of this code for Group R-3 shall apply. See Section 306."
1.101,"Section 101 <span class=""code_deletion"">Scope and</span> General <span class=""code_deletion"">Requirements</span>",new_101.12,101.12 Energy Conservation Exceptions,2,"The following exceptions apply to the North Carolina Energy Conservation Code provisions in existing buildings in accordance with NC General Statutes: In accordance with N.C.G.S. 143-138 (b18), no energy conservation code provisions shall apply to any structure for which the primary occupancy classification is Group F, S, or U. This exclusion shall apply to the entire building area. In accordance with N.C.G.S. 143-138 (b19), for residential buildings, no energy code provisions shall apply to detached and attached garages located on the same lot as a dwelling. N.C.G.S. 143-138(b15): Exclusion from Energy Code Requirements for Existing Commercial Buildings. — The alteration of commercial buildings and structures that received a certificate of occupancy prior to January 1, 2012, may be subject to the rules pertaining to energy efficiency and energy conservation that were in effect on December 31, 2011, so long as the addition does not increase the building area of the existing commercial building or structure to more than one hundred fifty percent (150%) of the building area of the commercial building or structure as it was in existence on December 31, 2011. For the purpose of this subsection, the term ""commercial buildings and structures"" shall include all structures that are not classified as a Group R occupancy by the Building Code Council."
1,Chapter 1 Scope and Administration,102,Section 102 Applicability,1,
1.102,Section 102 Applicability,102.1,[A]  102.1 General,2,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where in any specific case different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
1.102,Section 102 Applicability,102.2,[A]  102.2 Other Laws,2,"The provisions of this code shall not be deemed to nullify any provisions of local, state, or federal law."
1.102,Section 102 Applicability,102.3,[A]  102.3 Application of References,2,"References to chapter or section numbers or to provisions not specifically identified by number shall be construed to refer to such chapter, section, or provision of this code."
1.102,Section 102 Applicability,102.4,[A]  102.4 Referenced Codes and Standards,2,"The codes and standards referenced in this code shall be considered part of the requirements of this code to the prescribed extent of each such reference and as further regulated in Sections 102.4.1 and 102.4.2.Exception: Where enforcement of a code provision would violate the conditions of the listing of the equipment or appliance, the conditions of the listing shall govern."
1.102,Section 102 Applicability,102.4.1,[A]  102.4.1 Conflicts,3,"Where conflicts occur between provisions of this code and referenced codes and standards, the provisions of this code shall apply."
1.102,Section 102 Applicability,102.4.2,[A]  102.4.2 Conflicting Provisions,3,"Where the extent of the reference to a referenced code or standard includes subject matter that is within the scope of this code, the provisions of this code as applicable, shall take precedence over the provisions in the referenced code or standard."
1.102,Section 102 Applicability,102.5,[A]  102.5 Partial Invalidity,2,"In the event that any part or provision of this code is held to be illegal or void, this shall not have the effect of making void or illegal any of the other parts or provisions."
1,Chapter 1 Scope and Administration,divider_1_2,Part 2 — Administration and Enforcement,1,
1,Chapter 1 Scope and Administration,103,"Section 103 <span class=""code_deletion"">Code Compliance Agency</span><span class=""code_addition"">Department of Building Safety</span>",1,See the North Carolina Administrative Code and Policies.
1,Chapter 1 Scope and Administration,104,Section 104 Duties and Powers of Code Official,1,
1.104,Section 104 Duties and Powers of Code Official,104.1,[A]  104.1 General,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.2,[A]  104.2 Applications and Permits,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.3,[A]  104.3 Notices and Orders,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.4,[A]  104.4 Inspections,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.5,[A]  104.5 Identification,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.6,[A]  104.6 Right of Entry,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.7,[A]  104.7 Department Records,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.8,[A]  104.8 Liability,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.9,[A]  104.9 Approved Materials and Equipment,2,See the North Carolina Administrative Code and Policies.
1.104,Section 104 Duties and Powers of Code Official,104.10,[A]  104.10 Modifications,2,"Wherever there are practical difficulties involved in carrying out the provisions of this code, the code official shall have the authority to grant modifications for individual cases upon application of the owner or owner's authorized representative, provided the code official shall first find that special individual reason makes the strict letter of this code impractical, the modification is in compliance with the intent and purpose of this code and such modification does not lessen health, accessibility, life and fire safety, or structural requirements. The details of action granting modifications shall be recorded and entered in the files of the Department of Building Safety."
