id,section,reference,title,depth,body
,,12,Chapter 12 Historic Buildings,0,"User note:About this chapter: Chapter 12 provides some exceptions from code requirements when the building in question has historic value. The most important criterion for application of this chapter is that the building must be essentially accredited as being of historic significance by a state or local authority after careful review of the historical value of the building. Most, if not all, states have such authorities, as do many local jurisdictions. The agencies with such authority can be located at the state or local government level or through the local chapter of the American Institute of Architects (AIA). Other considerations include the structural condition of the building (i.e., is the building structurally sound), its proposed use, its impact on life safety and how the intent of the code, if not the letter, will be achieved."
12,Chapter 12 Historic Buildings,1201,Section 1201 General,1,
12.1201,Section 1201 General,1201.1,1201.1 Scope,2,"This chapter is intended to provide means for the preservation of historic buildings. Historical buildings shall comply with the provisions of this chapter relating to their repair, alteration, relocation and change of occupancy."
12.1201,Section 1201 General,1201.2,[BS]  1201.2 Report,2,"A historic building undergoing repair, alteration, or change of occupancy shall be investigated and evaluated. If it is intended that the building meet the requirements of this chapter, a written report shall be prepared and filed with the code official by a registered design professional when such a report is necessary in the opinion of the code official. Such report shall be in accordance with Chapter 1 and shall identify each required safety feature that is in compliance with this chapter and where compliance with other chapters of these provisions would be damaging to the contributing historic features. For buildings assigned to Seismic Design Category D, E or F, a structural evaluation describing, at a minimum, the vertical and horizontal elements of the lateral force-resisting system and any strengths or weaknesses therein shall be prepared. Additionally, the report shall describe each feature that is not in compliance with these provisions and shall demonstrate how the intent of these provisions is complied with in providing an equivalent level of safety."
12.1201,Section 1201 General,1201.3,1201.3 Special Occupancy Exceptions—Museums,2,"When a building in Group R-3 is also used for Group A, B, or M purposes such as museum tours, exhibits, and other public assembly activities, or for museums less than 3,000 square feet (279 m2), the code official may determine that the occupancy is Group B when life-safety conditions can be demonstrated in accordance with Section 1201.2. Adequate means of egress in such buildings, which may include a means of maintaining doors in an open position to permit egress, a limit on building occupancy to an occupant load permitted by the means of egress capacity, a limit on occupancy of certain areas or floors, or supervision by a person knowledgeable in the emergency exiting procedures, shall be provided."
12.1201,Section 1201 General,1201.4,[BS]  1201.4 Flood Hazard Areas,2,"In flood hazard areas, if all proposed work, including repairs, work required because of a change of occupancy, and alterations, constitutes substantial improvement, then the existing building shall comply with Section 1612 of the International Building Code, or Section R322 of the International Residential Code, as applicable. Exception: If an historic building will continue to be an historic building after the proposed work is completed, then the proposed work is not considered a substantial improvement. For the purposes of this exception, an historic building is: Listed or preliminarily determined to be eligible for listing in the National Register of Historic Places; Determined by the Secretary of the U.S. Department of Interior to contribute to the historical significance of a registered historic district or a district preliminarily determined to qualify as a historic district; or Designated as historic under a state or local historic preservation program that is approved by the Department of Interior."
12.1201,Section 1201 General,1201.5,1201.5 Unsafe Conditions,2,Conditions determined by the code official to be unsafe shall be remedied. Work shall not be required beyond what is required to remedy the unsafe conditions.
12.1201,Section 1201 General,new_1201.6,1201.6 Ceiling Height,2,Existing ceiling heights shall be permitted to remain.
12,Chapter 12 Historic Buildings,1202,Section 1202 Repairs,1,
12.1202,Section 1202 Repairs,1202.1,1202.1 General,2,"Repairs to any portion of an historic building or structure shall be permitted with original or like materials and original methods of construction, subject to the provisions of this chapter. Hazardous materials, such as asbestos and lead-based paint, shall not be used where the code for new construction would not permit their use in buildings of similar occupancy, purpose and location."
12.1202,Section 1202 Repairs,1202.2,1202.2 Replacement,2,"Replacement of existing or missing features using original materials shall be permitted. Partial replacement for repairs that match the original in configuration, height, and size shall be permitted. Replacement glazing in hazardous locations shall comply with the safety glazing requirements of Chapter 24 of the International Building Code. Exception: Glass block walls, louvered windows, and jalousies repaired with like materials."
12.1202,Section 1202 Repairs,new_1202.2.1,1202.2.1 Wind-Borne Debris Protection,3,Replacement of window units shall require compliance with Section 1609.1.2 of the North Carolina Building Code or Section R609.6 of the North Carolina Residential Code. Replacement of individual glass panes or sashes shall not require compliance with Section 1609.1.2 of the North Carolina Building Code or R609.6 of the North Carolina Residential Code.
12,Chapter 12 Historic Buildings,1203,Section 1203 Fire Safety,1,
12.1203,Section 1203 Fire Safety,1203.1,1203.1 Scope,2,"Historic buildings undergoing alterations, changes of occupancy, or that are moved shall comply with Section 1203."
12.1203,Section 1203 Fire Safety,1203.2,1203.2 General,2,"Every historic building that does not conform to the construction requirements specified in this code for the occupancy or use and that constitutes a distinct fire hazard as identified by the code official shall be provided with an approved automatic fire-extinguishing system as determined appropriate by the code official. However, an automatic fire-extinguishing system shall not be used to substitute for, or act as an alternative to, the required number of exits from any facility."
12.1203,Section 1203 Fire Safety,1203.3,1203.3 Means of Egress,2,"Existing door openings and corridor and stairway widths less than those specified elsewhere in this code may be approved, provided that, in the opinion of the code official, there is sufficient width and height for a person to pass through the opening or traverse the means of egress. When approved by the code official, the front or main exit doors need not swing in the direction of the path of exit travel, provided that other approved means of egress having sufficient capacity to serve the total occupant load are provided."
12.1203,Section 1203 Fire Safety,1203.4,1203.4 Transoms,2,"In fully sprinklered buildings of Group R-1, R-2 or R-3 occupancy, existing transoms in corridors and other fire-resistance-rated walls may be maintained if fixed in the closed position. A sprinkler shall be installed on each side of the transom."
12.1203,Section 1203 Fire Safety,1203.5,1203.5 Interior Finishes,2,The existing finishes of walls and ceillings shall be accepted when it is demonstrated that they are the historic finishes.
12.1203,Section 1203 Fire Safety,1203.6,1203.6 Stairway Enclosure,2,"In buildings of three stories or less, exit enclosure construction shall limit the spread of smoke by the use of tight-fitting doors and solid elements. Such elements are not required to have a fire-resistance rating."
12.1203,Section 1203 Fire Safety,1203.7,1203.7 One-Hour Fire-Resistant Assemblies,2,"Where 1-hour fire-resistance-rated construction is required by these provisions, it need not be provided, regardless of construction or occupancy, where the existing wall and ceiling finish is wood or metal lath and plaster."
12.1203,Section 1203 Fire Safety,1203.8,1203.8 Glazing in Fire-Resistance-Rated Systems,2,Historic glazing materials are permitted in interior walls required to have a 1-hour fire-resistance rating where the opening is provided with approved smoke seals and the area affected is provided with an automatic sprinkler system.
12.1203,Section 1203 Fire Safety,1203.9,1203.9 Stairway Railings,2,"Grand stairways shall be accepted without complying with the handrail and guard requirements. Existing handrails and guards at all stairways shall be permitted to remain, provided they are not structurally dangerous."
12.1203,Section 1203 Fire Safety,1203.10,1203.10 Guards,2,Guards shall comply with Sections 1203.10.1 and 1203.10.2.
12.1203,Section 1203 Fire Safety,1203.10.1,1203.10.1 Height,3,Existing guards shall comply with the requirements of Section 404.
