id,section,reference,title,depth,body
,,2,Chapter 2 Definitions,0,"User note:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
2,Chapter 2 Definitions,201,Section 201 General,1,
2.201,Section 201 General,201.1,201.1 Scope,2,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
2.201,Section 201 General,201.2,201.2 Interchangeability,2,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
2.201,Section 201 General,201.3,201.3 Terms Defined in Other Codes,2,"Where terms are not defined in this code and are defined in the other International Codes, such terms shall have the meanings ascribed to them in those codes."
2.201,Section 201 General,201.4,201.4 Terms Not Defined,2,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies."
2,Chapter 2 Definitions,202,Section 202 General Definitions,1,
2.202,Section 202 General Definitions,ADDITION_,[A]   Addition,2,"An extension or increase in floor area, number of stories, or height of a building or structure."
2.202,Section 202 General Definitions,alteration_,[A]   Alteration,2,"Any construction or renovation to an existing structure other than a repair or addition. Alterations are classified as Level 1, Level 2, and Level 3."
2.202,Section 202 General Definitions,approved_,[A]   Approved,2,Acceptable to the code official or authority having jurisdiction for compliance with the provisions of the applicable code or reference.
2.202,Section 202 General Definitions,new_boarding_house_,Boarding House,2,"A building arranged or used for lodging for compensation, with or without meals, and not occupancies as a single-family unit."
2.202,Section 202 General Definitions,new_carbon_monoxide_alarm_,Carbon Monoxide Alarm,2,"A single- or multiple-station alarm intended to detect carbon monoxide gas and alert occupants by a distinct audible signal. It incorporates a sensor, control components and an alarm notification appliance in a single unit."
2.202,Section 202 General Definitions,new_carbon_monoxide_detector_,Carbon Monoxide Detector,2,A device with an integral sensor to detect carbon monoxide gas and transmit an alarm signal to a connected alarm control unit
2.202,Section 202 General Definitions,change_of_occupancy_,[A]   Change of Occupancy,2,"Any of the following shall be considered as a change of occupancy where the current International Building Code requires a greater degree of safety, accessibility, structural strength, fire protection, means of egress, ventilation or sanitation than is existing in the current building or structure: Any change in the occupancy classification. Any change from one group to another group within an occupancy classification. Any change in use within a group for which there is a change in application of the requirements of this code."
2.202,Section 202 General Definitions,change_of_use_,[A]   Change of Use,2,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements."
2.202,Section 202 General Definitions,code_official_,[A]   Code Official,2,The officer or other designated authority charged with the administration and enforcement of this code.
2.202,Section 202 General Definitions,new_commercial_building_,Commercial Building,2,"For energy conservation provisions, all buildings that are not included in the definition of ""Residential Building.""."
2.202,Section 202 General Definitions,dangerous_,[BS]   Dangerous,2,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation, or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under service loads."
2.202,Section 202 General Definitions,disproportionate_earthquake_damage_,[BS]   Disproportionate Earthquake Damage,2,A condition of earthquake-related damage where both of the following occur: The 0.3-second spectral acceleration at the building site as estimated by the United States Geological Survey for the earthquake in question is less than 40 percent of the mapped acceleration parameter SS. The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 10 percent from its predamage condition.
2.202,Section 202 General Definitions,emergency_escape_and_rescue_opening_,[BE]   Emergency Escape and Rescue Opening,2,"An operable exterior window, door or other similar device that provides for a means of escape and access for rescue in the event of an emergency."
