id,section,reference,title,depth,body
,,10,Chapter 10 Chimneys and Fireplaces,0,"User note:About this chapter: Chapter 10 contains requirements for the construction, seismic reinforcing and anchorage of masonry chimneys and fireplaces; and establishes standards for the use and installation of factory-built chimneys, fireplaces and masonry heaters. Chimneys and fireplaces constructed of masonry rely on prescriptive requirements for the details of their construction; factory-built versions rely on the listing and labeling method of approval."
10,Chapter 10 Chimneys and Fireplaces,R1001,Section R1001 Masonry Fireplaces,1,
10,Chapter 10 Chimneys and Fireplaces,R1001.1,R1001.1 General,2,"Masonry fireplaces shall be constructed in accordance with this section and the applicable provisions of Chapters 3 and 4. TABLE R1001.1 SUMMARY OF REQUIREMENTS FOR MASONRY FIREPLACES AND CHIMNEYS ITEM LETTERa REQUIREMENTS Hearth slab thickness A 4 inches Hearth extension (each side of opening) B 8-inch fireplace opening &lt; 6 square feet.12-inch fireplace opening ≥ 6 square feet. Hearth extension (front of opening) C 16-inch fireplace opening &lt; 6 square feet.20-inch fireplace opening ≥ 6 square feet. Hearth slab reinforcing D Reinforced to carry its own weight and all imposed loads. Thickness of wall of firebox E 10-inch solid brick or 8 inches where a firebrick lining is used.Joints in firebrick 1/4-inch maximum. Distance from top of opening to throat F 8 inches Smoke chamber wall thickness Unlined walls G 6 inches8 inches Chimney Vertical reinforcingb H Four No. 4 full-length bars for chimney up to 40 inches wide.Add two No. 4 bars for each additional 40 inches or fraction of width or each additional flue. Horizontal reinforcing J 1/4-inch ties at 18 inches and two ties at each bend in vertical steel. Bond beams K No specified requirements. Fireplace lintel L Noncombustible material. Chimney walls with flue lining M Solid masonry units or hollow masonry units grouted solid with not less than 4-inch nominal thickness. Distances between adjacent flues — See Section R1003.13. Effective flue area (based on area of fireplace opening) P See Section R1003.15. Clearances R Combustible material See Sections R1001.11 and R1003.18. Mantel and trim See Section R1001.11, Exception 4. Above roof 3 feet at roofline and 2 feet at 10 feet. Anchorageb S Strap 3/16-inch × 1-inch Number Two Embedment into chimney 12 inches hooked around outer bar with 6-inch extension. Fasten to 4 joists Bolts Three 1/2-inch diameter. Footing T Thickness 12 inches min. Width 12 inches each side of fireplace wall. For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 square foot = 0.0929 m2. Note: This table provides a summary of major requirements for the construction of masonry chimneys and fireplaces. Letter references are to Figure R1001.1, which shows examples of typical construction. This table does not cover all requirements, nor does it cover all aspects of the indicated requirements. For the actual mandatory requirements of the code, see the indicated section of text. The letters refer to Figure R1001.1. Not required in Seismic Design Category A, B or C. FIGURE R1001.1 FIREPLACE AND CHIMNEY DETAILS"
10,Chapter 10 Chimneys and Fireplaces,R1001.2,R1001.2 Footings and Foundations,2,"Footings for masonry fireplaces and their chimneys shall be constructed of concrete or solid masonry not less than 12 inches (305 mm) thick and shall extend not less than 12 inches (305 mm) beyond the face of the fireplace or foundation wall on all sides. Footings shall be founded on natural, undisturbed earth or engineered fill below frost depth. In areas not subjected to freezing, footings shall be not less than 12 inches (305 mm) below finished grade."
10,Chapter 10 Chimneys and Fireplaces,R1001.2.1,R1001.2.1 Ash Dump Cleanout,3,"Cleanout openings located within foundation walls below fireboxes, where provided, shall be equipped with ferrous metal or masonry doors and frames constructed to remain tightly closed except when in use. Cleanouts shall be located to allow access so that ash removal will not create a hazard to combustible materials."
10,Chapter 10 Chimneys and Fireplaces,R1001.5,R1001.5 Firebox Walls,2,"Masonry fireboxes shall be constructed of solid masonry units, hollow masonry units grouted solid, stone or concrete. Where a lining of firebrick not less than 2 inches (51 mm) thick or other approved lining is provided, the minimum thickness of back and sidewalls shall each be 8 inches (203 mm) of solid masonry, including the lining. The width of joints between firebricks shall not be greater than 1/4 inch (6.4 mm). Where a lining is not provided, the total minimum thickness of back and side walls shall be 10 inches (254 mm) of solid masonry. Firebrick shall conform to ASTM C27 or C1261 and shall be laid with medium- duty refractory mortar conforming to ASTM C199."
10,Chapter 10 Chimneys and Fireplaces,R1001.5.1,R1001.5.1 Steel Fireplace Units,3,"Installation of steel fireplace units with solid masonry to form a masonry fireplace is permitted where installed either in accordance with the requirements of their listing or the requirements of this section. Steel fireplace units incorporating a steel firebox lining shall be constructed with steel not less than 1/4 inch (6.4 mm) thick, and an air-circulating chamber that is ducted to the interior of the building. The firebox lining shall be encased with solid masonry to provide a total thickness at the back and sides of not less than 8 inches (203 mm), of which not less than 4 inches (102 mm) shall be of solid masonry or concrete. Circulating air ducts used with steel fireplace units shall be constructed of metal or masonry."
10,Chapter 10 Chimneys and Fireplaces,R1001.6,R1001.6 Firebox Dimensions,2,"The firebox of a concrete or masonry fireplace shall have a depth of not less than 20 inches (508 mm). The throat shall be not less than 8 inches (203 mm) above the fireplace opening. The throat opening shall be not less than 4 inches (102 mm) deep. The cross-sectional area of the passageway above the firebox, including the throat, damper and smoke chamber, shall be not less than the cross-sectional area of the flue.Exception: Rumford fireplaces shall be permitted provided that the depth of the fireplace is not less than 12 inches (305 mm) and not less than one-third of the width of the fireplace opening, that the throat is not less than 12 inches (305 mm) above the lintel and is not less than one-twentieth the cross-sectional area of the fireplace opening."
10,Chapter 10 Chimneys and Fireplaces,R1001.7,R1001.7 Lintel and Throat,2,Masonry over a fireplace opening shall be supported by a lintel of noncombustible material. The minimum required bearing length on each end of the fireplace opening shall be 4 inches (102 mm). The fireplace throat or damper shall be located not less than 8 inches (203 mm) above the lintel.
10,Chapter 10 Chimneys and Fireplaces,R1001.7.1,R1001.7.1 Damper,3,"Masonry fireplaces shall be equipped with a ferrous metal damper located not less than 8 inches (203 mm) above the top of the fireplace opening. Dampers shall be installed in the fireplace or the chimney venting the fireplace, and shall be operable from the room containing the fireplace."
