id,section,reference,title,depth,body
,,14,Chapter 14 Heating and Cooling Equipment and Appliances,0,"The text of this chapter is extracted from the 2018 edition of the North Carolina Mechanical Code and has been modified where necessary to conform to the scope of application of the North Carolina Residential Code for One- and Two-Family Dwellings. The section numbers appearing in parentheses after each section number are the section numbers of the corresponding text in the North Carolina Mechanical i.e., (312.1) and Residential i.e., (R1004.1) Codes."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401,Section M1401 General,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.1,M1401.1 Installation,2,Heating and cooling equipment and appliances shall be installed in accordance with the manufacturer's instructions and the requirements of this code.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.2,M1401.2 Access,2,"Heating and cooling equipment and appliances shall be located with respect to building construction and other equipment and appliances to permit maintenance, servicing and replacement. Clearances shall be maintained to permit cleaning of heating and cooling surfaces; replacement of filters, blowers, motors, controls and vent connections; lubrication of moving parts; and adjustments.Exception: Access shall not be required for ducts, piping, or other components approved for concealment."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.3,"M1401.3 <span class=""code_addition"">(312.1) </span>Equipment and Appliance Sizing",2,"Heating and cooling equipment and appliances shall be sized in accordance with ACCA Manual S or other approved sizing methodologies based on building loads calculated in accordance with ACCA Manual J or other approved heating and cooling calculation methodologies. Exception: Heating and cooling equipment and appliance sizing shall not be limited to the capacities determined in accordance with Manual S where either of the following conditions applies: The specified equipment or appliance utilizes multistage technology or variable refrigerant flow technology and the loads calculated in accordance with the approved heating and cooling calculation methodology are within the range of the manufacturer's published capacities for that equipment or appliance. The specified equipment or appliance manufacturer's published capacities cannot satisfy both the total and sensible heat gains calculated in accordance with the approved heating and cooling calculation methodology and the next larger standard size unit is specified. For permitting, inspections, certificate of compliance or certificate of occupancy, verification of Calculations for HVAC Systems—ACCA Manual D, ACCA Manual J, ACCA Manual S calculation submittals and review shall not be required."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.4,"M1401.4 <span class=""code_addition"">(303.5) </span><span class=""code_deletion"">Outdoor</span><span class=""code_addition"">Exterior</span> Installations",2,"Equipment and appliances installed outdoors shall be listed and labeled for outdoor installation. Supports and foundations shall prevent excessive vibration, settlement or movement of the equipment. Supports and foundations shall be in accordance with Section M1305.1.4.1."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1401.5,M1401.5 Flood Hazard,2,"In flood hazard areas as established by Table R301.2(1), heating and cooling equipment and appliances shall be located or installed in accordance with Section R322.1.6."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1402,Section M1402 Central Furnaces,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1402.1,"M1402.1 <span class=""code_addition"">(918.1)</span> General",2,"Oil-fired central furnaces shall conform to ANSI/UL 727. Electric furnaces shall conform to UL 1995 or UL/CSA 60335-2-40. Solid fuel furnaces shall be tested in accordance with UL 391.The delayed effective date of this Rule is January 1, 2022.The Statutory authority for Rule-making is G. S. 143-136; 143-138."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1402.2,M1402.2 Clearances,2,Clearances shall be provided in accordance with the listing and the manufacturer's installation instructions.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1402.3,M1402.3 Combustion Air,2,Combustion air shall be supplied in accordance with Chapter 17. Combustion air openings shall be unobstructed for a distance of not less than 6 inches (152 mm) in front of the openings.
14,Chapter 14 Heating and Cooling Equipment and Appliances,new_M1402.4,M1402.4 (918.3) Dampers,2,Volume dampers shall not be placed in the air inlet to a furnace in a manner that will reduce the required air to the furnace.
14,Chapter 14 Heating and Cooling Equipment and Appliances,new_M1402.5,M1402.5 (918.4) Circulating Air Ducts for Forced-Air Warm-Air Furnaces,2,"Circulating air for fuel-burning, forcedair-type, warm-air furnaces shall be conducted into the blower housing from outside the furnace enclosure by continuous air-tight ducts."
14,Chapter 14 Heating and Cooling Equipment and Appliances,new_M1402.6,M1402.6 (918.5) Outdoor and Return Air Openings,2,Outdoor intake openings shall be located in accordance with Section M1602.1. Return air openings shall be located in accordance with Section M1602.2.
14,Chapter 14 Heating and Cooling Equipment and Appliances,new_M1402.7,M1402.7 (918.6) Outdoor Opening Protection,2,Outdoor air intake openings shall be protected in accordance with Section R303.6.
14,Chapter 14 Heating and Cooling Equipment and Appliances,new_M1402.8,M1402.8 (918.7) Refrigeration Coils in Warm-Air Furnaces,2,"When a cooling coil is located in the supply plenum of a warm-air furnace, the furnace blower shall be rated at not less than 0.5-inch water column (124 Pa) static pressure unless the furnace is listed and labeled for use with a cooling coil. Cooling coils shall not be located upstream from heat exchangers unless listed and labeled for such use. Conversion of existing furnaces for use with cooling coils shall be permitted provided the furnace will operate within the temperature rise specified for the furnace."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1403,Section M1403 Heat Pump Equipment,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1403.1,"M1403.1 <span class=""code_addition"">(918.2) </span>Heat Pumps",2,"Electric heat pumps shall be listed and labeled in accordance with UL 1995 or UL/CSA 60335-2-40. The delayed effective date of this Rule is January 1, 2022.The Statutory authority for Rule-making is G. S. 143-136; 143-138."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1404,Section M1404 Refrigeration Cooling Equipment,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1404.1,M1404.1 Compliance,2,Refrigeration cooling equipment shall comply with Section M1411.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1405,Section M1405 Baseboard Convectors,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1405.1,"M1405.1 <span class=""code_addition"">(929.1) </span>General",2,Electric baseboard convectors shall be installed in accordance with the manufacturer's instructions and Chapters 34 through 43 of this code. Electric baseboard heaters shall be listed and labeled in accordance with UL 1042.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1406,Section M1406 Radiant Heating Systems,1,
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1406.1,"M1406.1 <span class=""code_addition"">(927) </span>General",2,Electric radiant heating systems shall be installed in accordance with the manufacturer's instructions and the North Carolina Electrical Code and shall be listed for the application.
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1406.2,M1406.2 Clearances,2,"Clearances for radiant heating panels or elements to any wiring, outlet boxes and junction boxes used for installing electrical devices or mounting luminaires shall comply with the North Carolina Electrical Code."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1406.3,M1406.3 Installation of Radiant Panels,2,"Radiant panels installed on wood framing shall conform to the following requirements:Heating panels shall be installed parallel to framing members and secured to the surface of framing members or mounted between framing members.Mechanical fasteners shall penetrate only the unheated portions provided for this purpose. Panels shall not be fastened at any point closer than 1/4 inch (6.4 mm) to an element. Other methods of attachment of the panels shall be in accordance with the panel manufacturer's instructions.Unless listed and labeled for field cutting, heating panels shall be installed as complete units."
14,Chapter 14 Heating and Cooling Equipment and Appliances,M1406.4,M1406.4 Installation in Concrete or Masonry,2,"Radiant heating systems installed in concrete or masonry shall conform to the following requirements:Radiant heating systems shall be identified as being suitable for the installation, and shall be secured in place as specified in the manufacturer's installation instructions.Radiant heating panels or radiant heating panel sets shall not be installed where they bridge expansion joints unless protected from expansion and contraction."
