id,section,title,body
25,,Plumbing Administration,User notes: About this chapter: Chapter 25 covers regulations for existing plumbing installations and testing of new or repaired systems. These general requirements can be superseded by more specific requirements for certain applications in Chapters 26 through 33. Code development reminder: Code change proposals to this chapter will be considered by the IRC—Mechanical/Plumbing Code Development Committee during the 2021 (Group A) Code Development Cycle. The text of this chapter is extracted from the 2024 edition of the North Carolina Plumbing Code and has been modified where necessary to conform to the scope of application of the North Carolina Residential Code for One- and Two-Family Dwellings.
P2501,Chapter 25 Plumbing Administration,General,
P2501.1,Chapter 25 Plumbing Administration,Scope,"The provisions of Chapters 25 through 33 of this code shall apply to the erection, installation, alteration, repairs, relocation, replacement, addition to, use or maintenance of plumbing systems within this jurisdiction. The installation of fuel gas distribution piping and equipment, fuel-gas-fired water heaters and water heater venting systems shall be regulated by the International Fuel Gas Code. Provisions in the appendices shall not apply unless specifically adopted."
P2501.2,Chapter 25 Plumbing Administration,Application,"In addition to the general administration requirements of Chapter 1, the administrative provisions of this chapter shall apply to the plumbing requirements of Chapters 25 through 33."
new_P2501.3,Chapter 25 Plumbing Administration,Intent,"The purpose of this code is to establish minimum standards to provide a reasonable level of safety, health, property protection and public welfare by regulating and controlling the design, construction, installation, quality of materials, location, operation and maintenance or use of plumbing equipment and systems."
new_P2501.4,Chapter 25 Plumbing Administration,Severability,"If any section, subsection, sentence, clause or phrase of this code is for any reason held to be unconstitutional, such decision shall not affect the validity of the remaining portions of this code."
new_P2501.5,Chapter 25 Plumbing Administration,Appendices,Provisions in the appendices shall not apply unless specifically adopted or referenced in this code.
new_P2501.6,Chapter 25 Plumbing Administration,"Requirements of Other State Agencies, Occupational Licensing Board or Commissions","The North Carolina State Building Codes do not include all additional requirements for buildings and structures that may be imposed by other State agencies, occupational licensing boards and commissions. It shall be the responsibility of a permit holder, design professional, contractor or occupational license holder to determine whether any additional requirements exist."
P2502,Chapter 25 Plumbing Administration,Existing Plumbing Systems,
P2502.1,Chapter 25 Plumbing Administration,Existing Building Sewers and Building Drains,"Plumbing systems lawfully in existence at the time of the adoption of this code shall be permitted to have their use and maintenance continued if the use, maintenance or repair is in accordance with the original design; and if hazard to life, health or property is not created by such plumbing system."
P2502.2,Chapter 25 Plumbing Administration,"Additions, Alterations or Repairs","Additions, alterations, renovations or repairs to any plumbing system shall conform to that required for a new plumbing system without requiring the existing plumbing system to comply with the requirements of this code. Additions, alterations or repairs shall not cause an existing system to become unsafe, insanitary or overloaded.Minor additions, alterations, renovations and repairs to existing plumbing systems shall be permitted in the same manner and arrangement as in the existing system, provided that such repairs or replacement are not hazardous and are approved."
new_P2502.3,Chapter 25 Plumbing Administration,Change in Occupancy,"It shall be unlawful to make any change in the occupancy of any structure that will subject the structure to any special provision of this code applicable to the new occupancy without approval of the code official. The code official shall certify that such structure meets the intent of the provisions of law governing building construction for the proposed new occupancy and that such change of occupancy does not result in any hazard to the public health, safety or welfare."
new_P2502.4,Chapter 25 Plumbing Administration,Historic Buildings,"The provisions of this code relating to the construction, alteration, repair, enlargement, restoration, relocation or moving of buildings or structures shall not be mandatory for existing buildings or structures identified and classified by the state or local jurisdiction as historic buildings where such buildings or structures are judged by the code official to be safe and in the public interest of health, safety and welfare regarding any proposed construction, alteration, repair, enlargement, restoration, relocation or moving of buildings."
new_P2502.5,Chapter 25 Plumbing Administration,Moved Buildings,"Except as determined by Section P2502.1, plumbing systems that are a part of buildings or structures moved into or within the jurisdiction shall comply with the provisions of this code for new installations."
new_P2502.6,Chapter 25 Plumbing Administration,Referenced Codes and Standards,The codes and standards referenced in this code shall be those that are listed in Chapter 44 and such codes and standards shall be considered as part of the requirements of this code to the prescribed extent of each such reference and as further regulated in Sections P2502.6.1 and P2502.6.2.
new_P2502.6.1,Chapter 25 Plumbing Administration,Conflicts,"Where conflicts occur between provisions of this code and the referenced standards, the provisions of this code shall apply."
new_P2502.6.2,Chapter 25 Plumbing Administration,Provisions in Referenced Codes and Standards,"Where the extent of the reference to a referenced code or standard includes subject matter that is within the scope of this code, the provisions of this code shall be the minimum requirements."
new_P2502.7,Chapter 25 Plumbing Administration,Requirements Not Covered by Code,"Any requirements necessary for the strength, stability or proper operation of an existing or proposed plumbing system, or for the public safety, health and general welfare, not specifically covered by this code shall be determined by the code official."
new_P2502.8,Chapter 25 Plumbing Administration,Other Laws,"The provisions of this code shall not be deemed to nullify any provisions of local, state or federal law."
