id,section,reference,title,depth,body
,,27,Chapter 27 Plumbing Fixtures,0,"User notes: About this code: Because fixture design and quality are paramount to ensure that plumbing fixtures operate properly, Chapter 27 specifies numerous product and material standards for plumbing fixtures. Regulations for locating plumbing fixtures and constructing field-built shower receptors are provided. Code development reminder: Code change proposals to this chapter will be considered by the IRC—Mechanical/Plumbing Code Development Committee during the 2021 (Group A) Code Development Cycle. The text of this chapter is extracted from the 2024 edition of the North Carolina Plumbing Code and has been modified where necessary to conform to the scope of application of the North Carolina Residential Code for One- and Two-Family Dwellings. The section numbers appearing in parentheses after each section number are the section numbers of the corresponding text in the North Carolina Plumbing Code."
27,Chapter 27 Plumbing Fixtures,P2701,"Section P2701 Fixtures, Faucets and Fixture Fittings",1,
27,Chapter 27 Plumbing Fixtures,P2701.1,P2701.1 Quality of Fixtures,2,"Plumbing fixtures, faucets and fixture fittings shall have smooth impervious surfaces, shall be free from defects, shall not have concealed fouling surfaces, and shall conform to the standards indicated in Table P2701.1 and elsewhere in this code. All porcelain enameled surfaces on plumbing fixtures shall be acid resistant. TABLE P2701.1 PLUMBING FIXTURES, FAUCETS AND FIXTURE FITTINGS MATERIAL STANDARD Air gap fittings for use with plumbing fixtures, appliances and appurtenances ASME A112.1.3 Bathtub/whirlpool pressure-sealed doors ASME A112.19.15 Diverters for faucets with hose spray, anti-syphon type, residential application ASME A112.18.1/CSA B125.1 Enameled cast-iron plumbing fixtures ASME A112.19.1/CSA B45.2 Floor drains ASME A112.6.3 Framing-affixed supports for off-the-floor water closets with concealed tanks ASME A112.6.2 Hose connection vacuum breaker ASSE 1052 Hot water dispensers, household storage type, electrical ASSE 1023 Household disposers ASSE 1008 Hydraulic performance for water closets and urinals ASME A112.19.2/CSA B45.1 Individual automatic compensating valves for individual fixture fittings ASME A112.18.1/CSA B125.1 Individual shower control valves anti-scald ASSE 1016/ASME A112.1016/CSA B125.16 Macerating toilet systems and related components ASME A112.3.4/CSA B45.9 Nonvitreous ceramic plumbing fixtures ASME A112.19.2/CSA B45.1 Plastic bathtub units CSA B45.5/IAPMO Z124; ASME A112.19.2/CSA B45.1 Plastic lavatories CSA B45.5/IAPMO Z124 Plastic shower receptors and shower stalls CSA B45.5/IAPMO Z124 Plastic sinks CSA B45.5/IAPMO Z124 Plastic water closet bowls and tanks CSA B45.5/IAPMO Z124 Plumbing fixture fittings ASME A112.18.1/CSA B125.1 Plumbing fixture waste fittings ASME A112.18.2/CSA B125.2; ASTM F409 Porcelain-enameled formed steel plumbing fixtures ASME A112.19.1/CSA B45.2 Pressurized flushing devices for plumbing fixtures ASSE 1016/ASME 112.1016/CSA B125.16; CSA B125.3 Specification for copper sheet and strip for building construction ASTM B370 Stainless steel plumbing fixtures ASME A112.19.3/CSA B45.4 Suction fittings for use in whirlpool bathtub appliances ASME A112.19.7/CSA B45.10 Temperature-actuated, flow reduction valves to individual fixture fittings ASSE 1062 Thermoplastic accessible and replaceable plastic tube and tubular fittings ASTM F409 Trench drains ASME A112.6.3 Trim for water closet bowls, tanks and urinals ASME A112.19.5/CSA B45.15 Vacuum breaker wall hydrant-frost-resistant, automatic-draining type ASSE 1019 Vitreous china plumbing fixtures ASME A112.19.2/CSA B45.1 Wall-mounted and pedestal-mounted, adjustable and pivoting lavatory and sink carrier systems ASME A112.19.12 Water closet flush tank fill valves ASSE 1002/ASME A112.1002/CSA B125.12; CSA B125.3 Whirlpool bathtub appliances ASME A112.19.7/CSA B45.10"
27,Chapter 27 Plumbing Fixtures,P2702,Section P2702 Fixture Accessories,1,
27,Chapter 27 Plumbing Fixtures,P2702.1,P2702.1 Plumbing Fixtures,2,"Plumbing fixtures, other than water closets, shall be provided with approved strainers.Exception: Hub drains receiving only clear water waste and standpipes shall not require strainers."
27,Chapter 27 Plumbing Fixtures,P2702.2,P2702.2 Waste Fittings,2,"Waste fittings shall conform to ASME A112.18.2/CSA B125.2, ASTM F409 or shall be made from pipe and pipe fittings complying with any of the standards indicated in Tables P3002.1(1) and P3002.3."
27,Chapter 27 Plumbing Fixtures,P2702.3,P2702.3 Plastic Tubular Fittings,2,Plastic tubular fittings shall conform to ASTM F409 as indicated in Table P2701.1.
27,Chapter 27 Plumbing Fixtures,P2702.4,P2702.4 Carriers for Wall-Hung Water Closets,2,Carriers for wall-hung water closets shall conform to ASME A112.6.2. Wall hung water closet bowls shall be supported by a concealed metal carrier that is attached to the building structural members so that strain is not transmitted to the closet connector or any other part of the plumbing system.
27,Chapter 27 Plumbing Fixtures,P2703,Section P2703 Tail Pieces,1,
27,Chapter 27 Plumbing Fixtures,P2703.1,P2703.1 Minimum Size,2,"Fixture tail pieces shall be not less than 11/2 inches (38 mm) in diameter for sinks, dishwashers, laundry tubs, bathtubs and similar fixtures, and not less than 11/4 inches (32 mm) in diameter for bidets, lavatories and similar fixtures."
