id,section,reference,title,depth,body
,,36,Chapter 36 Services,0,See the North Carolina Electrical Code.
36,Chapter 36 Services,E3601,"Section <span class=""code_deletion"">E3601</span> <span class=""code_deletion"">General Services</span>",1,
36,Chapter 36 Services,E3602,"Section <span class=""code_deletion"">E3602</span> <span class=""code_deletion"">Service Size and Rating</span>",1,
36,Chapter 36 Services,E3603,"Section <span class=""code_deletion"">E3603</span> <span class=""code_deletion"">Service, Feeder and Grounding Electrode Conductor Sizing</span>",1,
36,Chapter 36 Services,E3604,"Section <span class=""code_deletion"">E3604</span> <span class=""code_deletion"">Overhead Service and Service-Entrance Conductor Installation</span>",1,
36,Chapter 36 Services,E3605,"Section <span class=""code_deletion"">E3605</span> <span class=""code_deletion"">Service-Entrance Conductors</span>",1,
36,Chapter 36 Services,E3606,"Section <span class=""code_deletion"">E3606</span> <span class=""code_deletion"">Service Equipment—General</span>",1,
36,Chapter 36 Services,E3607,"Section <span class=""code_deletion"">E3607</span> <span class=""code_deletion"">System Grounding</span>",1,
36,Chapter 36 Services,E3608,"Section <span class=""code_deletion"">E3608</span> <span class=""code_deletion"">Grounding Electrode System</span>",1,
36,Chapter 36 Services,E3609,"Section <span class=""code_deletion"">E3609</span> <span class=""code_deletion"">Bonding</span>",1,
36,Chapter 36 Services,E3610,"Section <span class=""code_deletion"">E3610</span> <span class=""code_deletion"">Grounding Electrode Conductors</span>",1,
36,Chapter 36 Services,E3611,"Section <span class=""code_deletion"">E3611</span> <span class=""code_deletion"">Grounding Electrode Conductor Connection to the Grounding Electrodes</span>",1,
