id,section,reference,title,depth,body
,,39,Chapter 39 Power and Lighting Distribution,0,See the North Carolina Electrical Code.
39,Chapter 39 Power and Lighting Distribution,E3901,"Section <span class=""code_deletion"">E3901</span> <span class=""code_deletion"">Receptacle Outlets</span>",1,
39,Chapter 39 Power and Lighting Distribution,E3902,"Section <span class=""code_deletion"">E3902</span> <span class=""code_deletion"">Ground-Fault and Arc-Fault Circuit-Interrupter Protection</span>",1,
39,Chapter 39 Power and Lighting Distribution,E3903,"Section <span class=""code_deletion"">E3903</span> <span class=""code_deletion"">Lighting Outlets</span>",1,
39,Chapter 39 Power and Lighting Distribution,E3904,"Section <span class=""code_deletion"">E3904</span> <span class=""code_deletion"">General Installation Requirements</span>",1,
39,Chapter 39 Power and Lighting Distribution,E3905,"Section <span class=""code_deletion"">E3905</span> <span class=""code_deletion"">Boxes, Conduit Bodies and Fittings</span>",1,
39,Chapter 39 Power and Lighting Distribution,E3906,"Section <span class=""code_deletion"">E3906</span> <span class=""code_deletion"">Installation of Boxes, Conduit Bodies and Fittings</span>",1,
39,Chapter 39 Power and Lighting Distribution,E3907,"Section <span class=""code_deletion"">E3907</span> <span class=""code_deletion"">Cabinets and Panelboards</span>",1,
39,Chapter 39 Power and Lighting Distribution,E3908,"Section <span class=""code_deletion"">E3908</span> <span class=""code_deletion"">Grounding and Bonding</span>",1,
39,Chapter 39 Power and Lighting Distribution,E3909,"Section <span class=""code_deletion"">E3909</span> <span class=""code_deletion"">Flexible Cords and Flexible Cables</span>",1,
