id,section,reference,title,depth,body
,,5,Chapter 5 Floors,0,"User note:About this chapter: Chapter 5 provides the requirements for the design and construction of floor systems that will be capable of supporting minimum required design loads. This chapter covers wood floor framing, wood floors on the ground, cold-formed steel floor framing and concrete slabs on the ground. Allowable span tables are provided that greatly simplify the determination of joist, girder and sheathing sizes for raised floor systems of wood framing and cold-formed steel framing. This chapter also contains prescriptive requirements for wood-framed exterior decks and their attachment to the main building."
5,Chapter 5 Floors,R501,Section R501 General,1,
5,Chapter 5 Floors,R501.1,R501.1 Application,2,"The provisions of this chapter shall control the design and construction of the floors for buildings, including the floors of attic spaces used to house mechanical or plumbing fixtures and equipment."
5,Chapter 5 Floors,R501.2,R501.2 Requirements,2,Floor construction shall be capable of accommodating all loads in accordance with Section R301 and of transmitting the resulting loads to the supporting structural elements.
5,Chapter 5 Floors,R502,Section R502 Wood Floor Framing,1,
5,Chapter 5 Floors,R502.1,R502.1 General,2,Wood and wood-based products used for load-supporting purposes shall conform to the applicable provisions of this section.
5,Chapter 5 Floors,R502.1.1,R502.1.1 Sawn Lumber,3,"Sawn lumber shall be identified by a grade mark of an accredited lumber grading or inspection agency and have design values certified by an accreditation body that complies with DOC PS 20. In lieu of a grade mark, a certificate of inspection issued by a lumber grading or inspection agency meeting the requirements of this section shall be accepted."
5,Chapter 5 Floors,R502.1.1.1,R502.1.1.1 Preservative-Treated Lumber,4,Preservative treated dimension lumber shall be identified as required by Section R317.2.
5,Chapter 5 Floors,R502.1.1.2,R502.1.1.2 End-Jointed Lumber,4,"Approved end-jointed lumber identified by a grade mark conforming to Section R502.1.1 shall be permitted to be used interchangeably with solid-sawn members of the same species and grade. End-jointed lumber used in an assembly required elsewhere in this code to have a fire-resistance rating shall have the designation ""Heat-Resistant Adhesive"" or ""HRA"" included in its grade mark."
5,Chapter 5 Floors,R502.1.2,R502.1.2 Prefabricated Wood I-Joists,3,Structural capacities and design provisions for prefabricated wood I-joists shall be established and monitored in accordance with ASTM D5055.
5,Chapter 5 Floors,R502.1.3,R502.1.3 Structural Glued Laminated Timbers,3,"Glued laminated timbers shall be manufactured and identified as required in ANSI A190.1, ANSI 117 and ASTM D3737."
5,Chapter 5 Floors,R502.1.4,R502.1.4 Structural Log Members,3,Structural log members shall comply with the provisions of ICC 400.
5,Chapter 5 Floors,R502.1.5,R502.1.5 Structural Composite Lumber,3,Structural capacities for structural composite lumber shall be established and monitored in accordance with ASTM D5456.
5,Chapter 5 Floors,R502.1.6,R502.1.6 Cross-Laminated Timber,3,Cross-laminated timber shall be manufactured and identified as required by ANSI/APA PRG 320.
5,Chapter 5 Floors,R502.1.7,R502.1.7 Engineered Wood Rim Board,3,Engineered wood rim boards shall conform to ANSI/APA PRR 410 or shall be evaluated in accordance with ASTM D7672. Structural capacities shall be in accordance with ANSI/APA PRR 410 or established in accordance with ASTM D7672. Rim boards conforming to ANSI/APA PRR 410 shall be marked in accordance with that standard.
5,Chapter 5 Floors,R502.2,R502.2 Design and Construction,2,"Floors shall be designed and constructed in accordance with the provisions of this chapter, Figure R502.2 and Sections R317 and R318 or in accordance with ANSI AWC NDS. For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm. FIGURE R502.2 FLOOR CONSTRUCTION"
5,Chapter 5 Floors,R502.2.1,R502.2.1 Framing at Braced Wall Lines,3,"A load path for lateral forces shall be provided between floor framing and braced wall panels located above or below a floor, as specified in Section R602.10.8."
5,Chapter 5 Floors,R502.2.2,R502.2.2 Blocking and Subflooring,3,"Blocking for fastening panel edges or fixtures shall be not less than utility grade lumber. Subflooring shall be not less than utility grade lumber, No. 4 common grade boards or wood structural panels as specified in Section R503.2. Fireblocking shall be of any grade lumber."
5,Chapter 5 Floors,R502.3,R502.3 Allowable Joist Spans,2,"Spans for floor joists shall be in accordance with Tables R502.3.1(1) and R502.3.1(2). For other grades and species and for other loading conditions, refer to the AWC STJR."
