id,section,title,body
33,,Safeguards During Construction,"User notes: About this chapter: While the balance of the chapters in this code specify how a building is to be designed and constructed in order to be in compliance with the code, Chapter 33 looks to the actual construction process. Parameters are provided for demolition and for protecting adjacent property during demolition and construction. This chapter also addresses the need for a fire watch during nonworking hours for certain buildings once the construction has progressed significantly. Issues such as how to provide egress while the building is growing, the timing of standpipe and sprinkler installation, and protection of pedestrians are addressed. Code development reminder: Code change proposals to sections preceded by the designation [F] will be considered by a code development committee meeting during the 2024 (Group A) Code Development Cycle. All other code change proposals will be considered by a code development committee meeting during the 2025 (Group B) Code Development Cycle."
3301,Chapter 33 Safeguards During Construction,General,
3301.1,Section 3301 General,Scope,The provisions of this chapter shall govern safety during construction and the protection of adjacent public and private properties. Fire safety during construction shall also comply with the applicable provisions of Chapter 33 of the International Fire Code.
3301.2,Section 3301 General,Storage and Placement of Construction Equipment and Materials,"Construction equipment and materials shall be stored and placed so as not to endanger the public, the workers or adjoining property for the duration of the construction project."
3301.3,Section 3301 General,Roof Loads,Structural roof components shall be capable of supporting the roof-covering system and the material and equipment loads that will be encountered during installation of the system.
3301.4,Section 3301 General,"Maintenance of Exits, Existing Structural Elements, Fire Protection Devices and Sanitary Safeguards","Required exits, existing structural elements, fire protection devices and sanitary safeguards shall be maintained at all times during alterations, repairs or additions to any building or structure.Exceptions:Where such required elements or devices are being altered or repaired, adequate substitute provisions shall be made.Maintenance of such elements and devices is not required where the existing building is not occupied."
3301.5,Section 3301 General,Removal of Waste Materials,"Waste materials shall be removed in a manner that prevents injury or damage to persons, adjacent properties and public rights-of-way."
3302,Chapter 33 Safeguards During Construction,Owner's Responsibility for Fire Protection,
3302.1,[F] Section 3302 Owner's Responsibility for Fire Protection,Site Safety Plan,"The owner or owner's authorized agent shall be responsible for the development, implementation and maintenance of an approved, written site safety plan establishing a fire prevention program at the project site applicable throughout all phases of the construction, repair, alteration or demolition work. The plan shall be submitted and approved before a building permit is issued. Any changes to the plan shall address the requirements of this chapter and other applicable portions of the International Fire Code, the duties of staff and staff training requirements. The plan shall be submitted for approval in accordance with the International Fire Code."
3302.1.1,[F] Section 3302 Owner's Responsibility for Fire Protection,Components of Site Safety Plans,"Site safety plans shall include the following, as applicable: Name and contact information of site safety director.Documentation of the training of the site safety director and fire watch personnel.Procedures for reporting emergencies.Fire department vehicle access routes.Location of fire protection equipment, including portable fire extinguishers, standpipes, fire department connections and fire hydrants.Smoking and cooking policies, designated areas to be used where approved, and signage locations in accordance with the International Fire Code.Location and safety considerations for temporary heating equipment.Hot-work permit plan.Plans for control of combustible waste material.Locations and methods for storage and use of flammable and combustible liquids and other hazardous materials.Provisions for site security and, where required, for a fire watch.Changes that affect this plan.Other site-specific information required by the International Fire Code."
3302.2,[F] Section 3302 Owner's Responsibility for Fire Protection,Site Safety Director,"The owner shall designate a person to be the site safety director. The site safety director shall be responsible for ensuring compliance with the site safety plan. The site safety director shall have the authority to enforce the provisions of this chapter and other provisions as necessary to secure the intent of this chapter. Where guard service is provided in accordance with the International Fire Code, the site safety director shall be responsible for the guard service."
3302.3,[F] Section 3302 Owner's Responsibility for Fire Protection,Daily Fire Safety Inspection,"The site safety director shall be responsible for the completion of a daily fire safety inspection at the project site. Each day, all building and outdoor areas shall be inspected to ensure compliance with the inspection list in this section. The results of each inspection shall be documented and maintained on-site until a certificate of occupancy has been issued. Documentation shall be immediately available for on-site inspection and review. Any contractors entering the site to perform hot work each day have been instructed in the hot work safety requirements in the International Fire Code, and hot work is performed only in areas approved by the site safety director. Temporary heating equipment is maintained away from combustible materials in accordance with the equipment manufacturer's instructions. Combustible debris, rubbish and waste material is removed from the building in areas where work is not being performed. Temporary wiring does not have exposed conductors. Flammable liquids and other hazardous materials are stored in locations that have been approved by the site safety director when not involved in work that is being performed. Fire apparatus access roads required by the International Fire Code are maintained clear of obstructions that reduce the width of the usable roadway to less than 20 feet (6096 mm). Fire hydrants are clearly visible from access roads and are not obstructed. The location of fire department connections to standpipe and in-service sprinkler systems are clearly identifiable from the access road and such connections are not obstructed. Standpipe systems are in service and continuous to the highest work floor, as specified in Section 3311. Portable fire extinguishers are available in locations required by Section 3309 and for roofing operations in accordance with the International Fire Code. Where a fire watch is required, fire watch records complying with the International Fire Code are up-to-date."
3302.3.1,[F] Section 3302 Owner's Responsibility for Fire Protection,Violations,"Failure to properly conduct, document and maintain documentation required by this section shall constitute an unlawful act in accordance with Section 114.1 and shall result in the issuance of a notice of violation to the site safety director in accordance with Section 114.2. Upon the third offense, the building official is authorized to issue a stop work order in accordance with Section 115, and work shall not resume until satisfactory assurances of future compliance have been presented to and approved by the building official."
3303,Chapter 33 Safeguards During Construction,Demolition,
