id,section,reference,title,depth,body
,,2,Chapter 2 Definitions,0,"User notes:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
2,Chapter 2 Definitions,201,Section 201 General,1,
2.201,Section 201 General,201.1,[NY]  201.1 Scope,2,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
2.201,Section 201 General,201.2,[NY]  201.2 Interchangeability,2,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
2.201,Section 201 General,201.3,[NY]  201.3 Terms Defined in Other Codes,2,"Where terms are not defined in this code and are defined in the other International Codes, such terms shall have the meanings ascribed to them in those codes. Whenever electrical or plumbing codes are referenced by the International Code Council (ICC) in the International Building Code, International Residential Code, International Mechanical Code, International Fuel Gas Code, International Energy Conservation Code, International Existing Building Code, it shall mean the most recent versions of the National Electrical Code and the North Dakota State Wiring Standards adopted by the North Dakota State Electrical Board and the most recent versions of the Uniform Plumbing Code and the Laws, Rules and Plumbing Installation Standards of North Dakota adopted by the North Dakota State Plumbing Board."
2.201,Section 201 General,201.4,[NY]  201.4 Terms Not Defined,2,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies."
2,Chapter 2 Definitions,202,Section 202 General Definitions,1,
2.202,Section 202 General Definitions,addition_,[A]   Addition,2,"An extension or increase in floor area, number of stories, or height of a building or structure."
2.202,Section 202 General Definitions,alteration_,[A]   Alteration,2,Any construction or renovation to an existing structure other than a repair or addition.
2.202,Section 202 General Definitions,ambulatory_care_facility_,[BG]   Ambulatory Care Facility,2,"Buildings or portions thereof used to provide medical, surgical, psychiatric, nursing or similar care on a less than 24-hour basis to persons who are rendered incapable of self-preservation by the services provided or staff has accepted responsibility for care recipients already incapable."
2.202,Section 202 General Definitions,approved_,[A]   Approved,2,Acceptable to the code official.
2.202,Section 202 General Definitions,approved_agency_,[A]   Approved Agency,2,"An established and recognized organization that is regularly engaged in conducting tests, furnishing inspection services or furnishing product evaluation or certification where such organization has been approved by the code official."
2.202,Section 202 General Definitions,BUILDING_,[A]   Building,2,Any structure utilized or intended for supporting or sheltering any occupancy.
2.202,Section 202 General Definitions,change_of_occupancy_,[A]   Change of Occupancy,2,"Any of the following shall be considered as a change of occupancy where the current International Building Code requires a greater degree of safety, accessibility, structural strength, fire protection, means of egress, ventilation or sanitation than is existing in the current building or structure: Any change in the occupancy classification of a building or structure. Any change in the purpose of, or a change in the level of activity within, a building or structure. A change of use."
2.202,Section 202 General Definitions,change_of_use_,[A]   Change of Use,2,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements."
2.202,Section 202 General Definitions,code_official_,[A]   Code Official,2,The officer or other designated authority charged with the administration and enforcement of this code.
2.202,Section 202 General Definitions,dangerous_,[BS]   Dangerous,2,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under permanent, routine or frequent loads; under actual loads already in effect; or under snow, wind, rain, flood, earthquake aftershock or other environmental loads when such loads are imminent."
2.202,Section 202 General Definitions,deferred_submittal_,[A]   Deferred Submittal,2,Those portions of the design that are not submitted at the time of the application and that are to be submitted to the code official within a specified period.
2.202,Section 202 General Definitions,disproportionate_earthquake_damage_,[BS]   Disproportionate Earthquake Damage,2,"A condition of earthquake-related damage where both of the following occur: The 0.3-second spectral acceleration at the building site for the earthquake in question, as estimated by one of the following, is less than 30 percent of the mapped acceleration parameter SS: The United States Geological Survey's algorithm for the data point closest to the site. As determined from peer-reviewed seismograph records from the site or from locations closer to the site than the algorithm-provided data points. The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 10 percent from its pre-earthquake condition."
