id,section,reference,title,depth,body
,,4,Chapter 4 Repairs,0,User notes:About this chapter: Chapter 4 provides requirements for repairs of existing buildings. The provisions define conditions under which repairs may be made using materials and methods like those of the original construction or the extent to which repairs must comply with requirements for new buildings.
4,Chapter 4 Repairs,401,Section 401 General,1,
4.401,Section 401 General,401.1,401.1 Scope,2,Repairs shall comply with the requirements of this chapter. Repairs to historic buildings need only comply with Chapter 12.
4.401,Section 401 General,401.1.1,"401.1.1 Bleachers, Folding and Telescopic Seating and Grandstands",3,"Repairs to existing bleachers, folding and telescopic seating and grandstands shall comply with ICC 300."
4.401,Section 401 General,401.2,401.2 Compliance,2,The work shall not make the building less complying than it was before the repair was undertaken. Work on nondamaged components that is necessary for the required repair of damaged components shall be considered part of the repair and shall not be subject to requirements for alterations.
4.401,Section 401 General,401.3,[BS]  401.3 Flood Hazard Areas,2,"In flood hazard areas, repairs that constitute substantial improvement shall require that the building comply with Section 1612 of the International Building Code, or Section R306 of the International Residential Code, as applicable."
4,Chapter 4 Repairs,402,Section 402 Building Elements and Materials,1,
4.402,Section 402 Building Elements and Materials,402.1,402.1 Glazing in Hazardous Locations,2,"Replacement glazing in hazardous locations shall comply with the safety glazing requirements of the International Building Code or International Residential Code as applicable.Exception: Glass block walls, louvered windows and jalousies repaired with like materials."
4,Chapter 4 Repairs,403,Section 403 Fire Protection,1,
4.403,Section 403 Fire Protection,403.1,403.1 General,2,Repairs shall be done in a manner that maintains the level of fire protection provided.
4,Chapter 4 Repairs,404,Section 404 Means of Egress,1,
4.404,Section 404 Means of Egress,404.1,404.1 General,2,Repairs shall be done in a manner that maintains the level of protection provided for the means of egress.
4,Chapter 4 Repairs,405,Section 405 Structural,1,
4.405,Section 405 Structural,405.1,[BS]  405.1 General,2,Structural damage shall be repaired in compliance with this section and Section 401.2.
4.405,Section 405 Structural,405.1.1,405.1.1 Structural Concrete,3,"Repair of structural concrete shall be permitted to comply with ACI 562 Section 1.7, except where Section 405.2.2, 405.2.3 or 405.2.4.1 requires compliance with Section 304.3."
4.405,Section 405 Structural,405.2,[BS]  405.2 Repairs to Damaged Buildings,2,Repairs to damaged buildings shall comply with this section.
4.405,Section 405 Structural,405.2.1,[BS]  405.2.1 Repairs for Less Than Substantial Structural Damage,3,"Unless otherwise required by this section, for damage less than substantial structural damage, the damaged elements shall be permitted to be restored to their predamage condition."
4.405,Section 405 Structural,405.2.1.1,[BS]  405.2.1.1 Snow Damage,4,"Structural components whose damage was caused by or related to snow load effects shall be repaired, replaced or altered to satisfy the requirements of Section 1608 of the International Building Code."
4.405,Section 405 Structural,405.2.2,[BS]  405.2.2 Disproportionate Earthquake Damage,3,"A building assigned to Seismic Design Category D, E or F that has sustained disproportionate earthquake damage shall be subject to the requirements for buildings with substantial structural damage to vertical elements of the lateral force-resisting system."
4.405,Section 405 Structural,405.2.3,[BS]  405.2.3 Substantial Structural Damage to Vertical Elements of the Lateral Force-Resisting System,3,"A building that has sustained substantial structural damage to the vertical elements of its lateral force-resisting system shall be evaluated in accordance with Section 405.2.3.1, and either repaired in accordance with Section 405.2.3.2 or repaired and retrofitted in accordance with Section 405.2.3.3, depending on the results of the evaluation.Exceptions:Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
4.405,Section 405 Structural,405.2.3.1,[BS]  405.2.3.1 Evaluation,4,"The building shall be evaluated by a registered design professional, and the evaluation findings shall be submitted to the code official. The evaluation shall establish whether the lateral force-resisting system of the damaged building, including its foundation, if repaired to its predamage state, would comply with the provisions of the International Building Code for load combinations that include wind effects, and with Section 304.3.2 of this code."
4.405,Section 405 Structural,405.2.3.2,[BS]  405.2.3.2 Extent of Repair for Compliant Buildings,4,"If the evaluation establishes that the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the damaged elements shall be permitted to be restored to their predamage condition."
4.405,Section 405 Structural,405.2.3.3,[BS]  405.2.3.3 Extent of Repair for Noncompliant Buildings,4,"If the evaluation does not establish that the lateral force-resisting system of the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the lateral force-resisting system, and its foundation, shall be retrofitted to comply with the provisions of this section. The wind loads for the repair and retrofit shall be those required by the building code in effect at the time of original construction, unless the damage was caused by wind, in which case the wind loads shall be in accordance with the International Building Code. The seismic retrofit shall comply with Section 304.3.2 of this code, but the earthquake loads shall not be less than those required by the building code in effect at the time of original construction."
4.405,Section 405 Structural,405.2.4,[BS]  405.2.4 Substantial Structural Damage to Gravity Load-Carrying Components,3,"Gravity load-carrying components that have sustained substantial structural damage shall be retrofitted to comply with the applicable provisions for dead, live and snow loads in the International Building Code. Undamaged gravity load-carrying components, including undamaged foundation components, that receive dead, live or snow loads from retrofitted components shall also be retrofitted if required to comply with these design loads."
4.405,Section 405 Structural,405.2.4.1,[BS]  405.2.4.1 Lateral Force-Resisting Elements,4,"Regardless of the level of damage to vertical elements of the lateral force-resisting system, if substantial structural damage to gravity load-carrying components was caused primarily by wind or seismic effects, then the building shall be evaluated in accordance with Section 405.2.3.1 and, if noncompliant, retrofitted in accordance with Section 405.2.3.3.Exceptions: Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
4.405,Section 405 Structural,405.2.5,[BS]  405.2.5 Substantial Structural Damage to Snow Load-Carrying Components,3,"Where substantial structural damage to any snow load-carrying components is caused by or related to snow load effects, any components required to carry snow loads on roof framing of similar construction shall be repaired, replaced or retrofitted to satisfy the requirements of Section 1608 of the International Building Code."
4.405,Section 405 Structural,405.2.6,[BS]  405.2.6 Flood Hazard Areas,3,"In flood hazard areas, buildings that have sustained substantial damage shall be brought into compliance with Section 1612 of the International Building Code or Section R306 of the International Residential Code, as applicable."
4,Chapter 4 Repairs,406,Section 406 Electrical,1,
4.406,Section 406 Electrical,406.1,406.1 General,2,Repairs to existing electrical wiring and equipment shall be in accordance with Wiring Standards of North Dakota.
4.406,Section 406 Electrical,406.1.1,406.1.1 Reconditioned Electrical Equipment,3,Reconditioned electrical equipment shall comply with Wiring Standards of North Dakota. Electrical equipment prohibited from being reconditioned by the applicable sections of Wiring Standards of North Dakota shall not be reconditioned unless permitted by NFPA 99.
4.406,Section 406 Electrical,406.1.2,406.1.2 Health Care Facilities,3,"Portions of electrical systems being repaired in Group I-2, ambulatory care facilities and outpatient clinics shall comply with NFPA 99 requirements for repairs."
4,Chapter 4 Repairs,407,Section 407 Mechanical,1,
4.407,Section 407 Mechanical,407.1,407.1 General,2,Existing mechanical systems undergoing repair shall not make the building less complying than it was before the damaged occurred.
