id,section,reference,title,depth,body
,,1,Chapter 1 Scope and Administration,0,"User notes:About this chapter: Chapter 1 establishes the limits of applicability of this code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections R101—R102) and Part 2—Administration and Enforcement (Sections R103—R114). Section R101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section R102.4).The one- and two-family dwelling code is intended to be adopted as a legally enforceable document, and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the building official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner.QR code use: A QR code is placed at the beginning of any section that has undergone technical revision. To see those revisions, scan the QR code with a smart device or enter the 7-digit code beneath the QR code at the end of the following URL: qr.iccsafe.org/ (see Formatting Changes to the 2024 International Codes for more information)."
1,Chapter 1 Scope and Administration,divider_1_1,Part 1 Scope and Application,1,
1,Chapter 1 Scope and Administration,R101,Section R101 Scope and General Requirements,1,
1,Chapter 1 Scope and Administration,R101.1,R101.1 Title,2,"These provisions shall be known as the Residential Code for One- and Two-family Dwellings of [name of jurisdiction], and shall be cited as such and will be referred to herein as ""this code."""
1,Chapter 1 Scope and Administration,R101.2,R101.2 Scope,2,"The provisions of this code shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, removal and demolition of detached one- and two-family dwellings and townhouses not more than three stories above grade plane in height with a separate means of egress and their accessory structures not more than three stories above grade plane in height. Exception: The following shall be permitted to be constructed in accordance with this code where provided with an automatic sprinkler system complying with Section P2904: Live/work units located in townhouses and complying with the requirements of Section 508.5 of the International Building Code. Owner-occupied lodging houses with five or fewer guestrooms. A care facility with five or fewer persons receiving custodial care within a dwelling unit. A care facility with five or fewer persons receiving medical care within a dwelling unit. A day care facility for five or fewer persons of any age receiving care within a dwelling unit."
1,Chapter 1 Scope and Administration,R101.2.1,R101.2.1 Appendices,3,Provisions in the appendices shall not apply unless specifically adopted.
1,Chapter 1 Scope and Administration,R101.3,R101.3 Purpose,2,"The purpose of this code is to establish minimum requirements to provide a reasonable level of safety, health and general welfare through affordability, structural strength, means of egress, stability, sanitation, light and ventilation, energy conservation and safety to life and property from fire and other hazards and to provide a reasonable level of safety to firefighters and emergency responders during emergency operations."
1,Chapter 1 Scope and Administration,R102,Section R102 Applicability,1,
1,Chapter 1 Scope and Administration,R102.1,R102.1 General,2,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
1,Chapter 1 Scope and Administration,R102.2,R102.2 Other Laws,2,"The provisions of this code shall not be deemed to nullify any provisions of local, state or federal law."
