id,section,reference,title,depth,body
,,20,Chapter 20 Boilers and Water Heaters,0,"User notes:About this chapter: Chapter 20 is specific to boilers and water heaters. The provisions of this chapter apply to appliances generally without regard to the energy source. Gas-fired boilers and water heaters are also addressed in Chapter 24; therefore, Chapters 20 and 24 both apply to such appliances.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2024 (Group A) Code Development Cycle."
20,Chapter 20 Boilers and Water Heaters,M2001,Section M2001 Boilers,1,
20,Chapter 20 Boilers and Water Heaters,M2001.1,M2001.1 Installation,2,"In addition to the requirements of this code, the installation of boilers shall conform to the manufacturer's instructions. The manufacturer's rating data, the nameplate and operating instructions of a permanent type shall be attached to the boiler. Boilers shall have their controls set, adjusted and tested by the installer. A complete control diagram together with complete boiler operating instructions shall be furnished by the installer. Solid and liquid fuel-burning boilers shall be provided with combustion air as required by Chapter 17."
20,Chapter 20 Boilers and Water Heaters,M2001.1.1,M2001.1.1 Standards,3,"Packaged oil-fired boilers shall be listed and labeled in accordance with UL 726. Packaged electric boilers shall be listed and labeled in accordance with UL 834. Solid fuel-fired boilers shall be listed and labeled in accordance with UL 2523. Boilers shall be designed, constructed and certified in accordance with the ASME Boiler and Pressure Vessel Code, Section I or IV. Controls and safety devices for boilers with fuel input ratings of 12,500,000 Btu/hr (3663 kW) or less shall meet the requirements of ASME CSD-1. Gas-fired boilers shall conform to the requirements listed in Chapter 24."
20,Chapter 20 Boilers and Water Heaters,M2001.2,M2001.2 Clearance,2,Boilers shall be installed in accordance with their listing and label.
20,Chapter 20 Boilers and Water Heaters,M2001.3,M2001.3 Valves,2,"Every boiler or modular boiler shall have a shutoff valve in the supply and return piping. For multiple boiler or multiple modular boiler installations, each boiler or modular boiler shall have individual shutoff valves in the supply and return piping.Exception: Shutoff valves are not required in a system having a single low-pressure steam boiler."
20,Chapter 20 Boilers and Water Heaters,M2001.4,M2001.4 Flood-Resistant Installation,2,"In flood hazard areas established in Table R301.2, boilers, water heaters and their control systems shall be located or installed in accordance with Section R306.1.6."
20,Chapter 20 Boilers and Water Heaters,M2002,Section M2002 Operating and Safety Controls,1,
20,Chapter 20 Boilers and Water Heaters,M2002.1,M2002.1 Safety Controls,2,Electrical and mechanical operating and safety controls for boilers shall be listed and labeled.
20,Chapter 20 Boilers and Water Heaters,M2002.2,M2002.2 Hot Water Boiler Gauges,2,"Every hot water boiler shall have a pressure gauge and a temperature gauge, or combination pressure and temperature gauge. The gauges shall indicate the temperature and pressure within the normal range of the system's operation."
20,Chapter 20 Boilers and Water Heaters,M2002.3,M2002.3 Steam Boiler Gauges,2,Every steam boiler shall have a water-gauge glass and a pressure gauge. The pressure gauge shall indicate the pressure within the normal range of the system's operation. The gauge glass shall be installed so that the midpoint is at the normal water level.
20,Chapter 20 Boilers and Water Heaters,M2002.4,M2002.4 Pressure Relief Valve,2,Boilers shall be equipped with pressure relief valves with minimum rated capacities for the equipment served. Pressure relief valves shall be set at the maximum rating of the boiler.
20,Chapter 20 Boilers and Water Heaters,M2002.4.1,M2002.4.1 Requirements for Discharge Pipe,3,"The discharge piping serving a pressure relief valve, temperature relief valve or combination valve shall: Not be directly connected to the drainage system.Discharge through an air break located in the same room as the boiler. Not be smaller than the diameter of the outlet of the valve served and shall discharge full size to the air break.Serve a single relief device and shall not connect to piping serving any other relief device or equipment.Discharge to the floor, to the pan serving the boiler or storage tank, to a waste receptor or to the outdoors.Discharge in a manner that does not cause personal injury or structural damage.Discharge to a termination point that is readily observable by the building occupants.Not be trapped. Be installed to flow by gravity. Terminate not more than 6 inches (152 mm) above the floor or waste receptor flood level rim. Not have a threaded connection at the end of the piping.Not have valves or tee fittings.Be constructed of those materials indicated in Section P2906.5 or materials tested, rated and approved for such use in accordance with ASME A112.4.1."
20,Chapter 20 Boilers and Water Heaters,M2002.5,M2002.5 Boiler Low-Water Cutoff,2,Steam and hot water boilers shall be protected with a low-water cutoff control.Exception: A low-water cutoff is not required for coil-type and water-tube-type boilers that require forced circulation of water through the boiler and that are protected with a flow-sensing control.
20,Chapter 20 Boilers and Water Heaters,M2002.6,M2002.6 Operation,2,"Low-water cutoff controls and flow-sensing controls required by Section M2002.5 shall automatically stop the combustion operation of the appliance when the water level drops below the lowest safe water level as established by the manufacturer or when the water circulation flow is less than that required for safe operation of the appliance, respectively."
20,Chapter 20 Boilers and Water Heaters,M2003,Section M2003 Expansion Tanks,1,
20,Chapter 20 Boilers and Water Heaters,M2003.1,M2003.1 General,2,Hot water boilers shall be provided with expansion tanks. Nonpressurized expansion tanks shall be securely fastened to the structure or boiler and supported to carry twice the weight of the tank filled with water. Provisions shall be made for draining nonpressurized tanks without emptying the system.
20,Chapter 20 Boilers and Water Heaters,M2003.1.1,M2003.1.1 Pressurized Expansion Tanks,3,Pressurized expansion tanks shall be consistent with the volume and capacity of the system. Tanks shall be capable of withstanding a hydrostatic test pressure of two and one-half times the allowable working pressure of the system.
20,Chapter 20 Boilers and Water Heaters,M2003.2,M2003.2 Minimum Capacity,2,"The minimum capacity of expansion tanks shall be determined from Table M2003.2.TABLE M2003.2EXPANSION TANK MINIMUM CAPACITYa FOR FORCED HOT-WATER SYSTEMS SYSTEM VOLUMEb (gallons) PRESSURIZED DIAPHRAGM TYPE NONPRESSURIZED TYPE 10 1.0 1.5 20 1.5 3.0 30 2.5 4.5 40 3.0 6.0 50 4.0 7.5 60 5.0 9.0 70 6.0 10.5 80 6.5 12.0 90 7.5 13.5 100 8.0 15.0 For SI: 1 gallon = 3.785 L, 1 pound per square inch gauge = 6.895 kPa, °C = [(°F) — 32]/1.8.Based on average water temperature of 195°F, fill pressure of 12 psig and an operating pressure of not greater than 30 psig.System volume includes volume of water in boiler, convectors and piping, not including the expansion tank."
20,Chapter 20 Boilers and Water Heaters,M2004,Section M2004 Water Heaters Used for Space Heating,1,
20,Chapter 20 Boilers and Water Heaters,M2004.1,M2004.1 General,2,"Water heaters used to supply both potable hot water and hot water for space heating shall be installed in accordance with this chapter, Chapter 24, Chapter 28 and the manufacturer's instructions."
20,Chapter 20 Boilers and Water Heaters,M2005,Section M2005 Water Heaters,1,
