id,section,reference,title,depth,body
,,23,Chapter 23 Solar Thermal Energy Systems,0,"User notes:About this chapter: Chapter 23 is specific to thermal solar systems and equipment. Solar voltaic systems are not addressed in this chapter. This chapter covers solar collectors, system design, safety devices, relief valves, freeze protection, expansion tanks, signage, labeling, heat transfer fluids, protection of potable water and potable water heating.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2024 (Group A) Code Development Cycle."
23,Chapter 23 Solar Thermal Energy Systems,M2301,Section M2301 Solar Thermal Energy Systems,1,
23,Chapter 23 Solar Thermal Energy Systems,M2301.1,M2301.1 General,2,"This section provides for the design, construction, installation, alteration and repair of equipment and systems using solar thermal energy to provide space heating or cooling, hot water heating and swimming pool heating."
23,Chapter 23 Solar Thermal Energy Systems,M2301.2,M2301.2 Design and Installation,2,The design and installation of solar thermal energy systems shall comply with Sections M2301.2.1 through M2301.2.13.
23,Chapter 23 Solar Thermal Energy Systems,M2301.2.1,M2301.2.1 Access,3,"Access shall be provided to solar energy equipment for maintenance. Solar systems and appurtenances shall not obstruct or interfere with the operation of any doors, windows or other building components requiring operation or access. Roof-mounted solar thermal equipment shall not obstruct or interfere with the operation of roof-mounted equipment, appliances, chimneys, plumbing vents, roof hatches, smoke vents, skylights and other roof penetrations and openings."
23,Chapter 23 Solar Thermal Energy Systems,M2301.2.2,M2301.2.2 Collectors and Panels,3,Solar collectors and panels shall comply with Sections M2301.2.2.1 and M2301.2.2.2.
23,Chapter 23 Solar Thermal Energy Systems,M2301.2.2.1,M2301.2.2.1 Roof-Mounted Collectors,4,"The roof shall be constructed to support the loads imposed by roof-mounted solar collectors. Roof-mounted solar collectors that serve as a roof covering shall conform to the requirements for roof coverings in Chapter 9. Where mounted on or above the roof coverings, the collectors and supporting structure shall be constructed of noncombustible materials or fire-retardant-treated wood equivalent to that required for the roof construction."
23,Chapter 23 Solar Thermal Energy Systems,M2301.2.2.2,M2301.2.2.2 Collector Sensors,4,"Collector sensor installation, sensor location and the protection of exposed sensor wires from degradation shall be in accordance with ICC 900/SRCC 300."
23,Chapter 23 Solar Thermal Energy Systems,M2301.2.3,M2301.2.3 Pressure and Temperature Relief Valves and System Components,3,"System components containing fluids shall be protected with temperature and pressure relief valves or pressure relief valves. Relief devices shall be installed in sections of the system so that a section cannot be valved off or isolated from a relief device. Direct systems and the potable water portion of indirect systems shall be equipped with a relief valve in accordance with Section P2804. For indirect systems, pressure relief valves in solar loops shall comply with ICC 900/SRCC 300. System components shall have a working pressure rating of not less than the setting of the pressure relief device."
23,Chapter 23 Solar Thermal Energy Systems,M2301.2.4,M2301.2.4 Vacuum Relief,3,System components that might be subjected to a vacuum during operation or shutdown shall be designed to withstand such a vacuum or shall be protected with vacuum relief valves.
23,Chapter 23 Solar Thermal Energy Systems,M2301.2.5,M2301.2.5 Piping Insulation,3,"Piping shall be insulated in accordance with the requirements of Chapter 11. Exterior insulation shall be protected from ultraviolet degradation. The entire solar loop shall be insulated. Where split-style insulation is used, the seam shall be sealed. Fittings shall be fully insulated. Exceptions: Those portions of the piping that are used to help prevent the system from overheating shall not be required to be insulated. Those portions of piping that are exposed to solar radiation, made of the same material as the solar collector absorber plate and are covered in the same manner as the solar collector absorber, or that are used to collect additional solar energy, shall not be required to be insulated. Piping in thermal solar systems using unglazed solar collectors to heat a swimming pool shall not be required to be insulated."
