id,section,reference,title,depth,body
,,36,Chapter 36 Services,0,"ICC user notes:About this chapter: Chapter 36 is the first of the logical order of chapters that mimics the normal sequence of dwelling construction. The first step in dwelling wiring is typically the sizing, design and installation of the service that is the source of power for the building. This chapter addresses the sizing of services, service conductor sizing and installation, system grounding and bonding, overcurrent protection, disconnecting means and the grounding electrode system.This chapter requires services to be properly sized to serve the load. This is intended to prevent overloading and to provide the utility expected by the occupants. This chapter is also intended to protect occupants and the building from fire and protect the occupants from electrical shock hazards associated with service conductors and equipment."
36,Chapter 36 Services,E3601,Section E3601 General Services,1,
36,Chapter 36 Services,E3601.1,E3601.1 Scope,2,This chapter covers service conductors and equipment for the control and protection of services and their installation requirements. (230.1)
36,Chapter 36 Services,E3601.2,E3601.2 Number of Services,2,One- and two-family dwellings shall be supplied by only one service. (230.2)
36,Chapter 36 Services,E3601.3,E3601.3 One Building or Other Structure Not to Be Supplied Through Another,2,Service conductors supplying a building or other structure shall not pass through the interior of another building or other structure. (230.3)
36,Chapter 36 Services,E3601.4,E3601.4 Other Conductors in Raceway or Cable,2,"Conductors other than service conductors shall not be installed in the same service raceway, service cable, handhole enclosure or underground box in which the service conductors are installed. (230.7) Exceptions: Grounding electrode conductors or supply side bonding jumpers or conductors shall be permitted within service raceways. Load management control conductors having overcurrent protection shall be permitted within service raceways."
36,Chapter 36 Services,E3601.5,E3601.5 Raceway Seal,2,"Where a service raceway enters from an underground distribution system, it shall be sealed in accordance with Sections E3802.7 and E3803.6. Sealants shall be identified for use with the cable insulation, conductor insulation, bare conductor, shield, or other components. (230.8)"
36,Chapter 36 Services,E3601.6,E3601.6 Service Disconnect Required,2,Means shall be provided to disconnect all ungrounded conductors in a building or other structure from the service entrance conductors. (230.70)
36,Chapter 36 Services,E3601.6.1,E3601.6.1 Marking of Service Equipment and Disconnects,3,Service disconnects shall be permanently marked as a service disconnect. [230.70(B)]
36,Chapter 36 Services,E3601.6.2,E3601.6.2 Service Disconnect Location,3,"The service disconnecting means shall be installed at a readily accessible location either outside of a building or inside nearest the point of entrance of the service conductors. Service disconnecting means shall not be installed in bathrooms. Each occupant shall have access to the disconnect serving the dwelling unit in which they reside. [230.70(A)(1)(2), 230.72(C)]"
36,Chapter 36 Services,E3601.7,E3601.7 Maximum Number of Disconnects,2,"Each service shall have only one disconnecting means unless installed using one or more of the methods specified in Sections E3601.7.1 through E3601.7.3. In all cases, the maximum number of disconnecting means for any service shall not exceed six and the multiple service disconnecting means shall be grouped."
36,Chapter 36 Services,E3601.7.1,E3601.7.1 Separate Enclosures,3,A service with two to six separate enclosures with a single main service disconnecting means in each enclosure shall be permitted.
36,Chapter 36 Services,E3601.7.2,E3601.7.2 Panelboards,3,A service with two to six separate panelboards with a single main service disconnecting means in each panelboard shall be permitted.
36,Chapter 36 Services,E3601.7.3,E3601.7.3 Metering Centers,3,"A service with two to six disconnecting means in separate compartments of a metering center or a metering center with a main service disconnecting means shall be permitted. [230.71 (B), 230.72 (A)] Exception: Disconnecting means installed as part of listed equipment and used solely for the following shall not be considered a service disconnecting means: Power monitoring equipment. Surge-protective device(s). Power-operable service disconnecting means. [230.71 (A)]"
36,Chapter 36 Services,E3601.8,E3601.8 Emergency Disconnects,2,"For one- and two-family dwelling units, all service conductors shall terminate in disconnecting means having a short-circuit current rating equal to or greater than the available fault current, installed in a readily accessible outdoor location. If more than one disconnect is provided, they shall be grouped. Each disconnect shall be one of the following: Service disconnects marked as follows: EMERGENCY DISCONNECT, SERVICE DISCONNECT.Meter disconnect switches that have a short-circuit current rating equal to or greater than the available fault current and all metal housings and service enclosures are grounded in accordance with Section E3908.7 and bonded in accordance with Section E3609. A meter disconnect switch shall be capable of interrupting the load served and shall be marked as follows: EMERGENCY DISCONNECT, METER DISCONNECT, NOT SERVICE EQUIPMENT.Other listed disconnect switches or circuit breakers that are marked suitable for use as service equipment, but not marked as suitable only for use as service equipment and marked as follows: EMERGENCY DISCONNECT, NOT SERVICE EQUIPMENT. Markings shall comply with Section E3404.12 and both of the following:The marking or labels shall be located on the outside front of the disconnect enclosure with red background and white text. The letters shall be at least 1/2 inch (13mm) high. [230.82 (3), 230.85]"
36,Chapter 36 Services,E3602,Section E3602 Service Size and Rating,1,
36,Chapter 36 Services,E3602.1,E3602.1 Ampacity of Ungrounded Conductors,2,"Ungrounded service conductors shall have an ampacity of not less than the load served. For one-family dwellings, the ampacity of the ungrounded conductors shall be not less than 100 amperes, 3 wire. For all other installations, the ampacity of the ungrounded conductors shall be not less than 60 amperes. [230.42(B), 230.79(C) &amp; (D)]"
36,Chapter 36 Services,E3602.2,E3602.2 Service Load,2,"The minimum load for ungrounded service conductors and service devices that serve 100 percent of the dwelling unit load shall be computed in accordance with Table E3602.2. Ungrounded service conductors and service devices that serve less than 100 percent of the dwelling unit load shall be computed as required for feeders in accordance with Chapter 37. [220.82(A)] TABLE E3602.2 [220.82(B) &amp; (C)]MINIMUM SERVICE LOAD CALCULATION LOADS AND PROCEDURE 3 volt-amperes per square foot of floor area for general lighting and general use receptacle outlets. Plus 1,500 volt-amperes multiplied by total number of 20-ampere-rated small appliance and laundry circuits. Plus The nameplate volt-ampere rating of all fastened-in-place, permanently connected or dedicated circuit-supplied appliances such as ranges, ovens, cooking units, clothes dryers not connected to the laundry branch circuit and water heaters. Apply the following demand factors to the above subtotal: The minimum subtotal for the loads above shall be 100 percent of the first 10,000 volt-amperes of the sum of the above loads plus 40 percent of any portion of the sum that is in excess of 10,000 volt-amperes. Plus the largest of the following: One hundred percent of the nameplate rating(s) of the air-conditioning and cooling equipment. One hundred percent of the nameplate rating(s) of the heat pump where a heat pump is used without any supplemental electric heating. One hundred percent of the nameplate rating of the electric thermal storage and other heating systems where the usual load is expected to be continuous at the full nameplate value. Systems qualifying under this selection shall not be figured under any other category in this table. One hundred percent of nameplate rating of the heat pump compressor and 65 percent of the supplemental electric heating load for central electric space-heating systems. If the heat pump compressor is prevented from operating at the same time as the supplementary heat, the compressor load does not need to be added to the supplementary heat load for the total central electric space-heating load. Sixty-five percent of nameplate rating(s) of electric space-heating units if less than four separately controlled units. Forty percent of nameplate rating(s) of electric space-heating units of four or more separately controlled units. The minimum total load in amperes shall be the volt-ampere sum calculated above divided by 240 volts."
36,Chapter 36 Services,E3602.2.1,E3602.2.1 Services Under 100 Amperes,3,"Services that are not required to be 100 amperes shall be sized in accordance with Chapter 37. [230.42(A), (B), and (C)]."
36,Chapter 36 Services,E3602.3,E3602.3 Rating of Service Disconnect,2,The combined rating of all individual service disconnects serving a single dwelling unit shall be not less than the load determined from Table E3602.2 and shall be not less than as specified in Section E3602.1. (230.79 &amp; 230.80)
36,Chapter 36 Services,E3602.4,E3602.4 Voltage Rating,2,"Systems shall be three-wire, 120/240-volt, single-phase with a grounded neutral. [220.82(A)]"
36,Chapter 36 Services,E3603,"Section E3603 Service, Feeder and Grounding Electrode Conductor Sizing",1,
36,Chapter 36 Services,E3603.1,E3603.1 Grounded and Ungrounded Service Conductor Size,2,"Service and feeder conductors supplied by a single-phase, 120/240-volt system shall be sized in accordance with Sections E3603.1.1 through E3603.1.5 and Table E3705.1."
36,Chapter 36 Services,E3603.1.1,E3603.1.1 Ungrounded Service Conductors,3,"For a service rated at 100 through 400 amperes, the service conductors supplying the entire load associated with a one-family dwelling, or the service conductors supplying the entire load associated with an individual dwelling unit in a two-family dwelling, shall have an ampacity of not less than 83 percent of the service rating. The service rating is based on the standard ampere ratings in Section E3705.6. If no adjustment or correction factors are required, Table E3603.1.1 shall be permitted to be applied.[310.12(A)] TABLE E3603.1.1 (Table 310.12(A))SINGLE-PHASE DWELLING SERVICES AND FEEDERS SERVICE OR FEEDER RATING (amperes) CONDUCTOR (AWG or kcmil) Copper Aluminum or Copper-clad Aluminum 100 4 2 110 3 1 125 2 1/0 150 1 2/0 175 1/0 3/0 200 2/0 4/0 225 3/0 250 250 4/0 300 300 250 350 350 350 500 400 400 600"
36,Chapter 36 Services,E3603.1.2,E3603.1.2 Ungrounded Feeder Conductors,3,"For a feeder rated at 100 through 400 amperes, the feeder conductors supplying the entire load associated with a one-family dwelling, or the feeder conductors supplying the entire load associated with an individual dwelling unit in a two-family dwelling, shall have an ampacity of not less than 83 percent of the feeder rating. The feeder rating is based on the standard ampere ratings in Section E3705.6. If no adjustment or correction factors are required, Table E3603.1.1 shall be permitted to be applied.[310.12(B)]"
36,Chapter 36 Services,E3603.1.3,E3603.1.3 Feeder Size Relative to Service Size,3,A feeder for an individual dwelling unit shall not be required to have an ampacity greater than that specified in Sections E3603.1.1 and E3603.1.2. [310.12(C)]
36,Chapter 36 Services,E3603.1.4,E3603.1.4 Grounded Conductors,3,The grounded conductor ampacity shall be not less than the maximum unbalance of the load and the size of the grounded conductor shall be not smaller than the required minimum grounding electrode conductor size specified in Table E3603.4. [310.12(D)]
36,Chapter 36 Services,E3603.1.5,E3603.1.5 Adjustment/Correction Factors,3,"Where correction or adjustment factors are required by Section E3705.2 or E3705.3, they shall be permitted to be applied to the ampacity associated with the temperature rating of the conductor. [310.12]"
36,Chapter 36 Services,E3603.2,E3603.2 Ungrounded Service Conductors for Accessory Buildings and Structures,2,"Ungrounded conductors for other than dwelling units shall have an ampacity of not less than 60 amperes and shall be sized as required for feeders in Chapter 37. [230.79(D)] Exceptions: For limited loads of a single branch circuit, the service conductors shall have an ampacity of not less than 15 amperes. [230.79(A)] For loads consisting of not more than two two-wire branch circuits, the service conductors shall have an ampacity of not less than 30 amperes. [230.79(B)]"
36,Chapter 36 Services,E3603.3,E3603.3 Overload Protection,2,Each ungrounded service conductor shall have overload protection. (230.90)
36,Chapter 36 Services,E3603.3.1,E3603.3.1 Ungrounded Conductor,3,"Overload protection shall be provided by an overcurrent device installed in series with each ungrounded service conductor. The overcurrent device shall have a rating or setting not higher than the allowable service or feeder rating specified in Section E3603.1. A set of fuses shall be considered to be all of the fuses required to protect all of the ungrounded conductors of a circuit. Single pole circuit breakers, grouped in accordance with Section E3601.7, shall be considered as one protective device. [230.90(A)]Exception: Two to six circuit breakers or sets of fuses shall be permitted as the overcurrent device to provide the overload protection. The sum of the ratings of the circuit breakers or fuses shall be permitted to exceed the ampacity of the service conductors, provided that the calculated load does not exceed the ampacity of the service conductors. [230.90(A) Exception No. 3]"
36,Chapter 36 Services,E3603.3.2,E3603.3.2 Not in Grounded Conductor,3,Overcurrent devices shall not be connected in series with a grounded service conductor except where a circuit breaker is used that simultaneously opens all conductors of the circuit. [230.90(B)]
36,Chapter 36 Services,E3603.3.3,E3603.3.3 Location,3,"The service overcurrent device shall be an integral part of the service disconnecting means or shall be located immediately adjacent thereto. Where fuses are used as the service overcurrent device, the disconnecting means shall be located on the supply side of the fuses. (230.91)"
36,Chapter 36 Services,E3603.4,E3603.4 Grounding Electrode Conductor Size,2,"The grounding electrode conductors shall be sized based on the size of the service entrance conductors as required in Table E3603.4. (250.66) TABLE E3603.4 (Table 250.66)GROUNDING ELECTRODE CONDUCTOR SIZEa, b, c, d, e, f SIZE OF LARGEST UNGROUNDED SERVICE-ENTRANCE CONDUCTOR OR EQUIVALENT AREA FOR PARALLEL CONDUCTORS (AWG/kcmil) SIZE OF GROUNDING ELECTRODE CONDUCTOR (AWG/kcmil) Copper Aluminum or copper-clad aluminum Copper Aluminum or copper-clad aluminum 2 or smaller 1/0 or smaller 8 6 1 or 1/0 2/0 or 3/0 6 4 2/0 or 3/0 4/0 or 250 4 2 Over 3/0 through 350 Over 250 through 500 2 1/0 Over 350 through 600 Over 500 through 900 1/0 3/0 If multiple sets of service-entrance conductors connect directly to a service drop, set of overhead service conductors, set of underground service conductors, or service lateral, the equivalent size of the largest service-entrance conductor shall be determined by the largest sum of the areas of the corresponding conductors of each set. (Table 250.66) If there are no service-entrance conductors, the grounding electrode conductor size shall be determined by the equivalent size of the largest service-entrance conductor required for the load to be served. (Table 250.66) Where protected by a ferrous metal raceway, grounding electrode conductors shall be electrically bonded to the ferrous metal raceway at both ends. [250.64(E)(1)] An 8 AWG grounding electrode conductor shall be protected with rigid metal conduit, intermediate metal conduit, rigid polyvinyl chloride (Type PVC) nonmetallic conduit, rigid thermosetting resin (Type RTRC) nonmetallic conduit, electrical metallic tubing or cable armor. [250.64(B)] Where not protected, 6 AWG grounding electrode conductor shall closely follow a structural surface for physical protection. The supports shall be spaced not more than 24 inches on center and shall be within 12 inches of any enclosure or termination. [250.64(B)] If the grounding electrode conductor or bonding jumper connected to a single or multiple rod, pipe, or plate electrode(s) or any combination thereof, as described in Section E3608.3, does not extend on to other types of electrodes that require a larger size of conductor, the grounding electrode conductor shall not be required to be larger than 6 AWG copper or 4 AWG aluminum. If the grounding electrode conductor or bonding jumper connected to a single or multiple concrete-encased electrode(s), as described in Section E3608.1.2, does not extend on to other types of electrodes that require a larger size of conductor, the grounding electrode conductor shall not be required to be larger than 4 AWG copper conductor. [250.66(A) and (B)]"
36,Chapter 36 Services,E3603.5,E3603.5 Temperature Limitations,2,"Except where the equipment is marked otherwise, conductor ampacities used in determining equipment termination provisions shall be based on Table E3705.1. [110.14(C)(1)]"
36,Chapter 36 Services,E3604,Section E3604 Overhead Service and Service-Entrance Conductor Installation,1,
36,Chapter 36 Services,E3604.1,E3604.1 Clearances on Buildings,2,"Open conductors and multiconductor cables without an overall outer jacket shall have a clearance of not less than 3 feet (914 mm) from the sides of doors, porches, decks, stairs, ladders, fire escapes and balconies, and from the sides and bottom of windows that open. See Figure E3604.1. [230.9(A)] For SI: 1 foot = 304.8 mm. FIGURE E3604.1CLEARANCES FROM BUILDING OPENINGS"
36,Chapter 36 Services,E3604.2,E3604.2 Vertical Clearances,2,Overhead service conductors shall not be readily accessible and shall comply with Sections E3604.2.1 and E3604.2.2. (230.24)
36,Chapter 36 Services,E3604.2.1,E3604.2.1 Above Roofs,3,"Conductors shall have a vertical clearance of not less than 8 feet (2438 mm) above the roof surface. The vertical clearance above the roof level shall be maintained for a distance of not less than 3 feet (914 mm) in all directions from the edge of the roof. See Figure E3604.2.1. [230.24(A)] Exceptions: Conductors above a roof surface subject to pedestrian traffic shall have a vertical clearance from the roof surface in accordance with Section E3604.2.2. [230.24(A) Exception No. 1] Where the roof has a slope of 4 inches (102 mm) in 12 inches (305 mm), or greater, the minimum clearance shall be 3 feet (914 mm). [230.24(A) Exception No. 2] The minimum clearance above only the overhanging portion of the roof shall not be less than 18 inches (457 mm) where not more than 6 feet (1829 mm) of overhead service conductor length passes over 4 feet (1219 mm) or less of roof surface measured horizontally and such conductors are terminated at a through-the-roof raceway or approved support. [230.24(A) Exception No. 3] The requirement for maintaining the vertical clearance for a distance of 3 feet (914 mm) from the edge of the roof shall not apply to the final conductor span where the service drop is attached to the side of a building. [230.24(A) Exception No. 4] Where the voltage between conductors does not exceed 300 and the roof area is guarded or isolated, a reduction in clearance to 3 feet (914 mm) shall be permitted. [230.24(A) Exception No. 5] For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm. FIGURE E3604.2.1CLEARANCES FROM ROOFS"
36,Chapter 36 Services,E3604.2.2,E3604.2.2 Vertical Clearance From Grade,3,"Overhead service conductors shall have the following minimum clearances from final grade:For conductors supported on and cabled together with a grounded bare messenger wire, the minimum vertical clearance shall be 10 feet (3048 mm) at the electric service entrance to buildings, at the lowest point of the drip loop of the building electric entrance, and above areas or sidewalks accessed by pedestrians only. Such clearance shall be measured from final grade or other accessible surfaces.Twelve feet (3658 mm)—over residential property and driveways.Eighteen feet (5486 mm)—over public streets, alleys, roads or parking areas subject to truck traffic. [(230.24(B)(1), (2), and (4)]"
36,Chapter 36 Services,E3604.3,E3604.3 Point of Attachment,2,The point of attachment of the overhead service conductors to a building or other structure shall provide the minimum clearances as specified in Sections E3604.1 through E3604.2.2. The point of attachment shall be not less than 10 feet (3048 mm) above finished grade. (230.26)
